Geneid,0,1,2,3,4,5,6,7,8,9
HKK26_RS00005,-0.004939964847441748,0.025937075584321127,0.0015273110678314602,-0.00652688760043334,0.012180102068669811,0.01761542073021789,0.0035926409326094318,-0.014253819421720023,-0.013232419939911571,0.00044519837753807286
HKK26_RS00010,0.05981463278695677,0.012837043414280675,0.02638979295333496,0.011319383392175324,-0.012935087888354211,-0.024602908725161698,-0.012500223751511177,0.023104772167089786,-0.0034525558240378934,-0.0065092024024623555
HKK26_RS00015,0.023872747003782967,0.053144703958127294,0.05078754461708004,-0.005311449364961584,0.00664979563231305,-0.02607716061291335,0.007447873643604984,0.03289372360684614,-0.008534950278163733,0.008413961671316306
HKK26_RS00020,0.050633410360216374,0.03689055958449733,-0.009541002989855127,-0.017330822386470462,-0.00022279494727786494,-0.034715434815171906,0.0054078700218640145,0.024885094155832538,-0.002562868162547876,-0.019984532795833152
HKK26_RS00025,-0.008496742345104029,0.04348766323280501,0.0008186890859177274,0.014438525963551678,-0.01293026351712761,-0.02950013163467193,0.06994529255400446,0.0230804614240515,-0.010316098238156686,0.004307114325410765
HKK26_RS00030,-0.007095021727101648,0.0272194604891031,0.002794148938858424,-0.002437032141994599,0.0023124144062223826,-0.030721961125060614,-0.010963510915374942,0.03724948766834179,-0.011985359485981529,-0.012198511039809729
HKK26_RS00035,-0.011728636456434445,0.03105816523045852,-0.012536096006360449,-0.013555839924324136,-0.005482200393520221,-0.04338991226216111,0.09339822446171414,0.026498057983406112,0.0037027932553663654,-0.009302667694976258
HKK26_RS00040,-0.013198097641714692,-0.015887903074511794,-0.014997502797311133,0.002466133307853298,0.0017649377351781955,-0.020284133767837983,-0.0008079277734490452,0.007496878154600377,-0.010255840363559683,-0.024375575505401675
HKK26_RS00045,0.019352835110376724,0.04989276158107975,-0.016424252777865862,0.020346969765509256,-0.01620531922138803,-0.014502868620870215,0.045234388978312105,0.008561802598478697,-0.01562895431848574,0.018315530341731414
HKK26_RS00050,-0.020162441029724528,0.012992828940455912,0.006836973688102663,0.008761781381941728,-0.002195990012526209,-0.0107968749595356,-0.010568632027038347,0.010017791407231995,-0.0064457583886216255,-0.023989849153690342
HKK26_RS00055,0.010855919856809573,0.014662808572091245,-0.007203562686077578,-0.0027306317347826066,-0.003765007105525991,-0.03547530495302751,0.019777153085331525,0.019732356726521738,-0.007888285019706684,-0.011947744596607697
HKK26_RS00060,0.009036155852933148,0.026843431767904095,0.008672285809004292,0.018945943026879953,-0.011745992954530082,-0.016964759830120035,0.0018880069532809093,0.04427199565605742,0.00943058611645201,0.0032250781326383674
HKK26_RS00065,-0.020703297621695788,-0.01197036841246469,0.03395987765099105,-0.008191017867290677,-0.010915816659010015,-0.05750892905225616,-0.08916211841456749,0.054734912274882606,0.0295225799303546,-0.044549412062205335
