,0,SG_MPN_RS03590,SG_MPN_RS00295,SG_MPN_RS00580,4,5,SG_MPN_RS03665,SG_MPN_RS00765,8,SG_MPN_RS02405,SG_MPN_RS03490,GntR,SG_MPN_RS00635,13,14,SG_MPN_RS02090,16,WhiA,SG_MPN_RS02795,SG_MPN_RS01660,20,SG_MPN_RS02665,SG_MPN_RS00585,SG_MPN_RS00300,24,25,SG_MPN_RS00470,SG_MPN_RS03555,SG_MPN_RS02230,29,30,SG_MPN_RS03305,SG_MPN_RS01630,HrcA,34,35,36,37,SG_MPN_RS00480,39,SG_MPN_RS01555,SG_MPN_RS03265,42,43,44,SG_MPN_RS01955,CorB,SG_MPN_RS00760,SG_MPN_RS00520,49,SG_MPN_RS00465,SG_MPN_RS00650,YlxM,53,SG_MPN_RS02910,55,56,57,58,SG_MPN_RS00485
MPN_RS02030,0.0511995952,-0.0009437065000000001,-0.0036271112,-0.0225412233,-0.020047769400000002,-0.024036620800000002,0.042920504000000005,0.0195980704,0.1979038467,0.0373411728,-0.0200694036,-0.0043941055,0.0094903872,0.013709990200000001,-0.0278376294,-0.005792594000000001,0.0345156038,0.0033976587000000003,-0.0003659704,-0.0033031451,-0.0065921672,0.0157953892,3.59566e-05,-0.0144115834,-0.0007772299,0.0326064415,-0.0108613131,-0.0062745218,0.0163524338,-0.1075553811,-0.0155140337,0.0042244072,0.0377246772,0.0236548545,-0.0331427289,0.0171123012,-0.057530178800000005,-0.0207310426,-0.014745152400000001,0.0043789463,-0.0016660857000000001,0.0028632206000000003,-0.0067202048,-0.0218397934,0.0035213123,-0.0065628452,0.007137718,-0.0493973149,-0.012640973000000002,-0.1058283029,-0.0035360124,-0.0182316746,-0.0126631771,0.0424976902,-0.0239899075,0.011697590400000001,-0.004406718400000001,-0.0271355972,-0.030863790300000003,-0.10844784710000001
MPN_RS02035,0.0416665987,0.0127880664,-0.0207281008,0.0181255006,-0.0011769962,0.0074002892,-0.0069625001,-0.029419996400000002,0.2832334355,0.0255474013,0.032017615400000005,-0.0065015970000000005,-0.0010239562,-0.0038347276000000002,-0.0015626824,-0.022491245400000002,0.0010200847000000001,0.0316602646,-0.0082392116,0.044334771,-0.0078248046,-0.014990306,-0.0192233679,-0.0111915971,-0.0198341322,0.0179523703,0.0125647724,-0.0084116726,0.0121732326,-0.0526758451,-0.0498835085,0.0043202572,0.0116337583,0.0160478316,-0.0038197223000000003,-0.020712517700000002,-0.0365139675,0.0053965135,-0.0353874791,-0.0059589618,0.004694790700000001,-0.0175931005,-0.0548666651,-0.0463255287,-0.0432433516,-0.0334534915,-0.0068090829,-0.013971866900000001,0.0281340758,-0.0970425741,-0.0009700802000000001,-0.0153058449,-0.0116664309,-0.0005889430000000001,0.0524665766,-0.0140725415,-0.0154584299,0.0043680283,-0.009945702,0.0029894971000000003
MPN_RS02040,0.0106999148,0.0390643213,0.0136018936,0.0535192371,-0.0269205817,0.0212250103,-0.0520482434,0.0014829681000000001,0.3479808547,-0.041901491900000004,0.0049862225,-0.0305700609,0.0086738027,0.0411887219,0.1391931133,0.017972284300000002,0.0051964339,0.021393296500000002,-0.0022749878000000003,-0.023612208000000003,-0.036350328,0.001994582,0.0006439289,0.014296426400000001,-0.0072093671,0.0948874237,0.005480548,-0.0032704876,-0.0378905353,0.012755737500000001,0.022016801500000002,-0.0107182578,0.0245183135,-0.0278214928,-0.004617062,0.055108088900000005,-0.0008514130000000001,-0.0017974052,-0.0310719278,-0.0020159366,0.0065775606,-0.0212581301,-0.049159009600000005,0.1208307634,0.0012233616,0.0016445363000000001,-0.0006338487,0.0026798736,-0.0227859101,0.0683236245,0.0006543546,0.0032380490000000002,-0.0190472723,0.028718963400000002,-0.0070747122,0.011646877100000001,-0.012754186,-0.056006299700000005,0.0357839254,-0.0237401265
MPN_RS02045,0.012291763800000001,0.0040247262,0.0025564839,0.0190041463,-0.0216203888,0.037210361500000004,-0.022424055300000002,-0.0556596799,0.1861804414,-0.0410946156,-0.0345401669,0.0042412191000000005,-0.029302030200000002,-0.0307594396,0.0112592913,0.0249628966,-0.029132155200000003,-0.0317593996,0.0077007211,0.008384199200000001,-0.012395321400000001,-0.0253902183,-0.018694845,-0.010114311,-0.0035626166,-0.0287275697,-0.0090601547,0.0048765873000000005,-0.0173461065,-0.026046587700000002,0.0081742672,0.0003703173,-0.0338083553,-0.0081407751,0.044995994000000004,0.0059388449,0.0178080593,-0.007205210500000001,0.0278899549,-0.019917734200000002,-0.0005575401000000001,-0.023529282500000002,0.0091350081,-0.0144099332,-0.0023341263000000003,0.0342903251,-0.021083614900000002,-0.006571593200000001,-0.045578246100000004,-0.0202336772,-0.0088712559,-0.017764888700000002,-0.008642356700000001,-0.0076755091,-0.0277285759,0.0055313043000000004,0.031191599100000002,0.0329394437,-0.0138597812,0.0094445588
MPN_RS02050,-0.0086584997,-0.0113660387,-0.0017990097,-0.023012939000000003,-0.0199571497,-0.034820352900000004,0.0025365507,0.0082025022,0.0541839158,-0.023039825400000002,-0.0102039709,0.014686676800000001,-0.0148827565,-0.0058306032,-0.0191096346,0.0099646117,-0.0016911465,-0.0084585141,-0.0050205569000000005,-0.014384606400000001,0.0010837954,-0.0074819244,-0.0029162818,-0.0085652611,-0.008273409800000001,-0.006868602200000001,0.0018526111000000001,-0.0075319068,0.006613924100000001,0.0014011932,0.0101911916,0.0058092862,0.004631235,0.005407358100000001,0.0046810720000000005,0.000122785,0.1696037558,-0.011137703300000001,0.0108536829,-0.0005334754,-0.0023673906000000002,0.0093388787,0.0016567127,0.0102304292,-0.0082986542,-0.0086470494,-0.021283902,-0.012387967500000001,0.017827314,-0.0052646481,0.0010926388,0.0072990995000000005,0.0173657787,0.006056844400000001,0.0036024732,-0.0128817748,0.001583413,-0.0053324573,0.0304927412,0.0060935582
MPN_RS02055,-0.0340428615,-0.0096153112,-0.0008409667,-0.0223712224,-0.0057001254000000005,-0.013725069000000001,0.02041389,0.001660433,0.0585523629,-0.0334805464,-0.005586896,0.029668621500000002,0.0021187773,-0.0005060882,-0.0093838894,0.009405767300000001,-0.0224478164,0.0064173468,0.0026037179,-0.0175642431,0.0032968867,0.0119136641,0.0081661413,-0.0057106678,0.0027095268,-0.0220771389,0.0033383955000000002,-0.0108002322,0.0025396198,0.0085330994,0.0301066423,-0.0018965507000000001,-0.0015852470000000001,0.0035517803,-0.0008377667,0.0160857718,0.1759416615,-0.019609318900000002,-0.0122177924,0.0190089082,0.0021863192,0.018508019100000002,-0.013489312100000001,0.020431196500000002,-0.0194956219,-0.0094133212,-0.0126192529,0.0091469258,-0.013438044000000001,-0.0033776217,-0.0019707568,-0.021695800600000002,-0.0010242181,-0.0118413045,0.023133164100000003,-0.0123100608,0.0094761536,0.0037144538,0.0337951705,-0.037659032700000004
MPN_RS02065,0.016543668,-0.0209085545,-0.0026918311,0.0166203242,0.0207984013,0.07286860590000001,0.0056081847,0.015078802,0.1805225188,0.0133551995,0.051363411500000004,-0.0364426578,-0.0217977392,-0.019802315600000002,-0.0159177232,-7.2457e-06,-0.0399658324,-0.0298030435,0.0078281704,0.0099223001,-0.0169232811,-0.0029158042,0.0175186461,-0.0056589241000000005,0.0074545659000000005,0.0451074589,-0.021822128700000002,-0.0127452386,-0.0129344069,0.0587827604,0.1824476895,-0.0079542906,-0.021782681,-0.0155923873,-0.0118025705,-0.0036323077000000002,0.0211347892,0.0722818342,0.0052727163,0.010869825100000001,-0.0178049841,-0.0503748784,0.0343338148,-0.034605071,-0.0015445311,-0.0013201196,-0.0429936969,0.0211765593,0.0330258603,-0.0155361647,0.021015757700000002,-0.041577508900000004,0.0828182172,0.029039845800000002,-0.0029152091000000002,0.014261408900000001,0.0065056871,5.91413e-05,-0.0018326960000000002,-0.0549190993
MPN_RS02070,0.018674492600000002,-0.0238144393,0.0019547466,0.0055440596,0.0267375698,0.0444630036,-0.0171787419,0.0659938487,-0.024882383100000002,0.0035712662,-0.0145056538,-0.0512838861,-0.0534518376,-0.0291332608,0.013418577400000001,-0.0018411050000000002,0.0345470738,-0.0355761563,0.0001199209,0.0027541796,0.0113674701,0.0250464653,-0.0112615425,-0.0017463285,-0.001702533,-0.0127629799,-0.0196748199,0.0041303272000000005,-0.0380633715,0.0031686929,0.011628650800000001,-0.0051272134,0.012906094600000001,-0.0243239765,0.0111347405,-0.031948007,-0.0232681668,0.035052857800000004,-0.0042191662,-0.0279914507,-0.0032517391,-0.0173006874,-0.0548241052,0.0036234371000000002,-0.0178923474,-0.0156608091,0.0373396672,-0.0272072846,-0.0110778222,0.0166929122,0.0105242705,0.0052927381,0.014241462100000001,-0.0110278705,-0.038117275900000004,0.001631679,0.0988577061,0.0383731098,-0.043039486200000004,-0.0208789171
MPN_RS02080,0.0719438407,0.0365860253,-0.0089975003,0.0474984403,-0.031273512600000004,0.0008825143,0.002253881,0.1103732912,-0.0164399559,-0.0583332992,-0.0348756872,-0.0163516717,0.0032434271,-0.028684834700000002,-0.0143066913,-0.0096004058,-0.0238403384,-0.012582171900000001,-0.0017958885,0.0217096149,0.0072150913,-0.0032490585,0.0322065126,0.002458505,0.0383420754,-0.002789334,0.0010064503,-0.0002434196,-0.0598709813,0.0204390224,0.0086194309,0.0150801366,0.0079875015,0.001030298,0.0295529442,-0.0496417703,0.17346849590000002,0.0166638834,-0.0322875595,0.0006769605000000001,6.03705e-05,-0.0138151135,-0.0212957736,-0.0032679087,0.0146717887,-0.0216413934,-0.025395184100000003,0.0150720344,-0.0022257457,-0.0618651256,0.0102324866,-0.008091386,-0.010304526100000001,-0.0045140165,-0.027862837100000003,0.0059486700000000005,-0.0244609332,0.0247017617,-0.0092457508,0.0140070664
MPN_RS02085,0.007987631,-0.0021260945,-0.0020582196000000002,-0.024565309400000002,0.039394905200000004,0.016394574500000002,0.0034437167,0.0171198472,-0.030923206800000002,0.0033098631,0.00044489730000000003,-0.029888429100000002,-0.0039082942,0.0009009326,-0.0061611521,-0.0136684058,0.0031633774,-0.0163315349,-0.00046312290000000004,-0.0164514228,-0.0092786779,0.0055100118,-0.0048935648,-0.0035800434000000003,-0.0166648941,0.013938523100000001,0.016880156900000002,-0.006954115800000001,-0.0037907517,0.0324340468,-0.0563750035,-0.0053574037,0.0035932685000000003,0.0023426665,-0.0310439037,-0.0007000041,0.17608233210000002,-0.0245871536,0.0083268205,-0.0213501965,-0.0036646631000000003,-0.0135772206,-0.0038574280000000004,-0.0147600351,0.013604300500000001,0.0012348437,0.0007606416,0.0080331758,0.016502465,-0.0323674366,-0.0061376488,0.0272680886,0.0052341236000000005,-0.014364512400000001,-0.0129923756,-0.0102572914,-0.0113665463,0.0146821832,-0.018701968200000002,0.0180483201
