	mRNA-sense	mRNA-antisense	rRNA-sense	rRNA-antisense	tRNA-sense	tRNA-antisense	ncRNA-sense	ncRNA-antisense	unannotated	total-reads	unaligned	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX359375	706438.0	357.0	10817355.0	0.0	0.0	0.0	0.0	0.0	117902.0	11790971.0	148919.0	SRX359375_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11790971.0	0.0	20-51	54.0	3.5957627472544478	50.63742205794586	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	11791911	2643180	11791911	601387461	515481	597073996	0.7172522341632261	0.0326	0.9638	0.0036		
SRX359376	629653.0	455.0	9533089.0	104759.0	0.0	0.0	0.0	0.0	209867.0	10504781.0	26958.0	SRX359376_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10504781.0	0.0	20-51	54.0	4.261146328348936	50.59272439853815	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10505596	2383470	10505596	535785396	492799	531473627	0.8047567239029411	0.0439	0.9528	0.0032		
SRX359377	693607.0	427.0	10617806.0	0.0	0.0	0.0	0.0	0.0	231211.0	11571256.0	28205.0	SRX359377_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11571256.0	0.0	20-51	54.0	3.677283457999875	50.61187212520404	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11572325	2568566	11572325	590188575	560501	585650792	0.7688700175194005	0.0405	0.9574	0.0021		
SRX359378	721566.0	296.0	9266636.0	0.0	0.0	0.0	0.0	0.0	206264.0	10313195.0	118433.0	SRX359378_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10313195.0	0.0	20-51	54.0	4.332939118492314	50.52834179902543	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10314218	2452388	10314218	526025118	494284	521115834	0.9332793876204216	0.0227	0.9749	0.0024		
SRX359379	667524.0	277.0	8573585.0	95262.0	0.0	0.0	0.0	0.0	190822.0	9544087.0	16617.0	SRX359379_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9544087.0	0.0	20-51	54.0	4.244911364325155	50.57687812359632	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	9545489	2229358	9545489	486819939	467060	482720050	0.8421777071049672	0.0262	0.9715	0.0023		
SRX359380	623491.0	317.0	9546611.0	103768.0	0.0	0.0	0.0	0.0	207952.0	10392541.0	-89598.0	SRX359380_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10392541.0	0.0	20-51	54.0	3.895903319834587	50.51718140924342	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	10394961	2476568	10394961	530143011	593287	525018301	0.9666655777152178	0.0235	0.9756	0.0009		
SRX359381	795878.0	301.0	8846152.0	99395.0	0.0	0.0	0.0	0.0	199114.0	9954919.0	14079.0	SRX359381_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9954919.0	0.0	20-51	54.0	4.309033376584215	50.58607568780821	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9956083	2307553	9956083	507760233	495438	503587652	0.8217620697365641	0.0287	0.9696	0.0017		
SRX359382	977966.0	398.0	10869784.0	0.0	0.0	0.0	0.0	0.0	244642.0	12249229.0	156439.0	SRX359382_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12249229.0	0.0	20-51	54.0	4.273910675184712	50.54554535636488	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	12250324	2898440	12250324	624766524	555276	619150505	0.8988988340866996	0.0216	0.9761	0.0022		
SRX359383	850613.0	360.0	10924674.0	121385.0	0.0	0.0	0.0	0.0	243164.0	12166072.0	25876.0	SRX359383_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12166072.0	0.0	20-51	54.0	4.071480542783624	50.559132561438076	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	12167077	2860619	12167077	620520927	594348	615115070	0.8711804493259259	0.0237	0.9745	0.0018		
SRX4105497	2139116.0	65591.0	2784367.0	841785.0	0.0	0.0	0.0	0.0	583448.0	13547027.0	7132720.0	SRX4105497_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13547027.0	0.0	20-50	54.0	9.25356213974097	49.37109950397234	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	13566664	4192626	13566664	678333200	2372853	668923131	1.3872340318887528	0.036000000000000004	0.9608	0.0033		
SRX4105498	1315121.0	66163.0	3547612.0	1313930.0	0.0	0.0	0.0	0.0	328850.0	18060491.0	11488815.0	SRX4105498_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18060491.0	0.0	20-50	54.0	5.923542845767052	49.41958327711024	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	18071214	5520303	18071214	903560700	3004699	892642696	1.2083309953609094	0.0281	0.9695	0.0024		
