	mRNA-sense	mRNA-antisense	rRNA-sense	rRNA-antisense	tRNA-sense	tRNA-antisense	ncRNA-sense	ncRNA-antisense	unannotated	total-reads	unaligned	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX4105533	2779686.0	255584.0	2894038.0	377483.0	0.0	0.0	0.0	0.0	6293951.0	16182366.0	3581624.0	SRX4105533_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16182366.0	0.0	20-50	52.0	8.206652866442319	49.41807841943508	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	16257562	5368377	16257562	812878100	1602457	799740429	1.6161920219034072	0.0758	0.9194	0.0048		
SRX4105534	451695.0	50277.0	1302680.0	526082.0	0.0	0.0	0.0	0.0	175587.0	7692735.0	5186414.0	SRX4105534_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7692735.0	0.0	20-50	54.0	2.1451643596704857	49.464430400891224	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	8244829	2955194	8244829	412241450	568766	380654030	7.662359037403929	0.0758	0.9193	0.0049		
SRX4105535	388044.0	43204.0	1118908.0	451867.0	0.0	0.0	0.0	0.0	172318.0	6680652.0	4506311.0	SRX4105535_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6680652.0	0.0	20-50	54.0	2.370369427190392	49.44443701004034	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	7224940	2628371	7224940	361247000	745550	330464346	8.521220660656006	0.0777	0.9185	0.0038		
SRX4105536	6065731.0	266439.0	4609162.0	263381.0	0.0	0.0	0.0	0.0	1846429.0	15561205.0	2510063.0	SRX4105536_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15561205.0	0.0	20-50	55.0	13.459326289822945	49.4557873249533	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	15590917	4626968	15590917	779545850	1702486	769637022	1.2711026554756208	0.0425	0.9544	0.0031		
SRX4105537	3804750.0	212872.0	1688672.0	211084.0	0.0	0.0	0.0	0.0	1127449.0	9097860.0	2053033.0	SRX4105537_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9097860.0	0.0	20-50	55.0	17.535825214811602	49.43734405673422	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	9117939	2787858	9117939	455896950	1018562	449800957	1.3371427468422414	0.0444	0.9523	0.0033		
SRX4105538	9517902.0	472746.0	2493142.0	311643.0	0.0	0.0	0.0	0.0	2808772.0	18425735.0	2821530.0	SRX4105538_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18425735.0	0.0	20-50	55.0	15.485644203563382	49.46708790721239	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	18452104	5564529	18452104	922605200	2062336	911525029	1.2009655917829207	0.0477	0.9489	0.0035		
SRX4105539	6691430.0	435340.0	1185583.0	107780.0	0.0	0.0	0.0	0.0	2374185.0	12025582.0	1231264.0	SRX4105539_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12025582.0	0.0	20-50	54.0	13.674881593805125	49.44216546026629	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	12077848	3718258	12077848	603892400	1286890	594606455	1.5376820440197625	0.0553	0.9407	0.004		
SRX4105540	6305873.0	446385.0	1215091.0	662777.0	0.0	0.0	0.0	0.0	2432990.0	17557688.0	6494572.0	SRX4105540_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17557688.0	0.0	20-50	52.0	5.671994280778126	49.370196748000076	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	18212672	6707518	18212672	910633600	2248767	866886643	4.80401305201126	0.0599	0.9364	0.0037		
SRX4105541	467651.0	28778.0	35345.0	7069.0	0.0	0.0	0.0	0.0	169986.0	834150.0	125321.0	SRX4105541_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	834150.0	0.0	20-75	58.0	30.94540792495257	72.06117844512377	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	926185	151293	926185	68294666	1233672	60912558	10.809201409667924	0.0593	0.9346	0.006		
SRX4105542	1674825.0	89036.0	762857.0	0.0	0.0	0.0	0.0	0.0	411429.0	3026512.0	88365.0	SRX4105542_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3026512.0	0.0	20-75	56.0	31.264105561648016	72.7798614378532	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3073202	277427	3073202	226653348	327585	222713094	1.7384495021886903	0.0459	0.9488	0.0053		
SRX4105543	2001801.0	79948.0	26311.0	0.0	0.0	0.0	0.0	0.0	500556.0	2740879.0	132263.0	SRX4105543_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2740879.0	0.0	20-75	57.0	28.03932512554543	72.75165594686959	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2930160	428218	2930160	216170840	466748	201627954	6.727496641082581	0.0341	0.9616	0.0043		
SRX4105544	1875654.0	74759.0	49311.0	0.0	0.0	0.0	0.0	0.0	469068.0	2538318.0	69526.0	SRX4105544_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2538318.0	0.0	20-75	56.0	32.92998848831963	73.00105108973737	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2588064	272473	2588064	191453327	196682	187350751	2.142859601494416	0.0329	0.9629	0.0042		
SRX4105545	2395243.0	96829.0	95707.0	0.0	0.0	0.0	0.0	0.0	607014.0	3316244.0	121451.0	SRX4105545_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3316244.0	0.0	20-75	57.0	32.24992371245117	72.80322678307145	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3341653	307840	3341653	246682675	489680	244119845	1.0389177107796486	0.0374	0.9574	0.0052		
SRX4105546	2255211.0	92233.0	121771.0	0.0	0.0	0.0	0.0	0.0	548720.0	3184302.0	166367.0	SRX4105546_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3184302.0	0.0	20-75	57.0	31.803386208398827	73.02847908270006	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3223445	304111	3223445	238706200	528861	235143659	1.4924375655094002	0.0387	0.9562	0.0051		
SRX4105547	314308.0	26310.0	784832.0	1412698.0	0.0	0.0	0.0	0.0	104825.0	14484666.0	11841693.0	SRX4105547_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14484666.0	0.0	20-50	54.0	5.692076139975629	48.95350855863711	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	14501627	4707457	14501627	725081350	8007822	709204023	2.1897304350746296	0.0464	0.9522	0.0014		
SRX4105548	486691.0	37836.0	1492836.0	1492836.0	0.0	0.0	0.0	0.0	224377.0	17130163.0	13395587.0	SRX4105548_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17130163.0	0.0	20-50	54.0	6.312406111629483	49.00599865862339	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	17159377	5638278	17159377	857968850	9047658	839624954	2.1380608398545005	0.0607	0.9367	0.0026		
SRX4105549	464839.0	26182.0	1391696.0	541215.0	0.0	0.0	0.0	0.0	155077.0	8364896.0	5785887.0	SRX4105549_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8364896.0	0.0	20-50	54.0	1.9707314831621296	49.51759388281695	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	8555852	2806619	8555852	427792600	843924	414333722	3.146122209687592	0.0513	0.946	0.0027		
SRX4105550	334071.0	203.0	1455753.0	1122143.0	0.0	0.0	0.0	0.0	121502.0	13741165.0	10707493.0	SRX4105550_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13741165.0	0.0	20-50	54.0	5.8646183267723	48.95615408154986	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	13752960	4488408	13752960	687648000	7848356	672839431	2.1535100807389833	0.0351	0.9634	0.0016		
SRX4105551	625848.0	21922.0	1034635.0	193994.0	0.0	0.0	0.0	0.0	259123.0	4489656.0	2354134.0	SRX4105551_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4489656.0	0.0	20-50	54.0	3.7765312471478634	49.51568583428218	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	4619401	1559129	4619401	230970050	344993	222368739	3.7239940849473774	0.0423	0.9546	0.003		
SRX4105552	957237.0	53539.0	2867919.0	1168412.0	0.0	0.0	0.0	0.0	319115.0	16425543.0	11059321.0	SRX4105552_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16425543.0	0.0	20-50	54.0	8.119888295310298	49.007238238638436	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	16450782	5248263	16450782	822539100	8922702	805113878	2.11846731662969	0.0501	0.9465	0.0034		
SRX4105553	398174.0	36326.0	1987898.0	1084308.0	0.0	0.0	0.0	0.0	144797.0	14528857.0	10877354.0	SRX4105553_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14528857.0	0.0	20-50	54.0	5.950760424832174	48.93454467891039	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	14541575	4791639	14541575	727078750	8460920	711111880	2.196030347469239	0.0554	0.9425	0.0021		
SRX4105554	415866.0	29901.0	1275718.0	1097711.0	0.0	0.0	0.0	0.0	118860.0	13113365.0	10175309.0	SRX4105554_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13113365.0	0.0	20-50	55.0	6.731435509532621	49.00208207428071	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	13161952	4245043	13161952	658097600	7156954	642704482	2.3390326905917904	0.0404	0.9571	0.0025		
SRX4105555	2275765.0	161317.0	63947.0	0.0	0.0	0.0	0.0	0.0	704655.0	3358472.0	152788.0	SRX4105555_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3358472.0	0.0	20-75	56.0	24.63358300131581	72.81908379763178	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3504605	432784	3504605	258890338	516112	247293994	4.479249434175485	0.0601	0.9336	0.0063		
SRX4105556	501458.0	27770.0	6860.0	0.0	0.0	0.0	0.0	0.0	144265.0	777456.0	97103.0	SRX4105556_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	777456.0	0.0	20-75	59.0	42.982658098079455	72.42507871828116	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	891757	171619	891757	65879686	664302	56999141	13.479944333675178	0.0511	0.9437	0.0051		
SRX4105557	2571126.0	101259.0	33354.0	0.0	0.0	0.0	0.0	0.0	634568.0	3443039.0	102732.0	SRX4105557_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3443039.0	0.0	20-75	56.0	32.06504724382428	73.2043366340027	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3450089	306039	3450089	255924164	244379	254843436	0.4222844701760948	0.0361	0.9597	0.0042		
SRX4105558	1779305.0	72886.0	72051.0	0.0	0.0	0.0	0.0	0.0	456974.0	2552083.0	170867.0	SRX4105558_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2552083.0	0.0	20-75	56.0	34.96805950470559	73.01636898172983	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2565990	237868	2565990	189833690	131038	188402381	0.7539804973500752	0.0409	0.9546	0.0045		
SRX4105559	2060049.0	116999.0	115898.0	0.0	0.0	0.0	0.0	0.0	609327.0	3066598.0	164325.0	SRX4105559_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3066598.0	0.0	20-75	57.0	28.633653209191074	72.54764334940545	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3196009	385705	3196009	235333584	763755	224972649	4.402658908216007	0.0464	0.9482	0.0054		
SRX4105560	1342607.0	74064.0	73467.0	0.0	0.0	0.0	0.0	0.0	367895.0	2410054.0	552021.0	SRX4105560_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2410054.0	0.0	20-75	64.0	25.255668303938204	71.36194624684758	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2620262	313838	2620262	193806621	8670479	174794720	9.809727295126828	0.0443	0.9503	0.0054		
SRX4105561	675663.0	37845.0	1686730.0	1087004.0	0.0	0.0	0.0	0.0	225291.0	13979479.0	10266946.0	SRX4105561_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13979479.0	0.0	20-50	55.0	7.844291250844027	48.99809356271432	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	14182011	4688632	14182011	709100550	7878085	685096311	3.3851671670540933	0.0436	0.9531	0.0033		
SRX4105562	266012.0	26766.0	1113768.0	1113768.0	0.0	0.0	0.0	0.0	132849.0	12147672.0	9494509.0	SRX4105562_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12147672.0	0.0	20-50	54.0	6.4227989716733696	48.94345566788435	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	12169171	3977481	12169171	608458550	6734342	594658020	2.268113415449581	0.0696	0.9263	0.0041		
SRX4105563	811573.0	43245.0	2174587.0	938057.0	0.0	0.0	0.0	0.0	299019.0	13200185.0	8933704.0	SRX4105563_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13200185.0	0.0	20-50	54.0	8.250124454502416	49.02638879682368	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	13221228	4155948	13221228	661061400	6642051	647259202	2.0878844234438736	0.0585	0.9374	0.0041		
SRX4105564	1083296.0	49797.0	2950678.0	540958.0	0.0	0.0	0.0	0.0	344758.0	10646234.0	5676747.0	SRX4105564_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10646234.0	0.0	20-50	54.0	11.18627740673678	49.05654638062624	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	10715824	3340838	10715824	535791200	5507006	522357944	2.5071811556442136	0.0464	0.9502	0.0034		
SRX4105565	3903068.0	188173.0	3619393.0	371220.0	0.0	0.0	0.0	0.0	1208470.0	13210201.0	3919877.0	SRX4105565_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13210201.0	0.0	20-50	55.0	14.684121013321494	49.04760374198697	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	13619396	4283312	13619396	680969800	7271207	648036111	4.836292152750387	0.048	0.9490000000000001	0.003		
SRX4105566	1022685.0	47006.0	2135146.0	1067573.0	0.0	0.0	0.0	0.0	325494.0	14699737.0	10101833.0	SRX4105566_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14699737.0	0.0	20-50	54.0	8.888549783077757	49.007718233326216	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	14789484	4787431	14789484	739474200	7835328	720523916	2.5626700701660723	0.0549	0.9422	0.0029		
SRX4105567	330854.0	25609.0	838573.0	1219742.0	0.0	0.0	0.0	0.0	127242.0	13096105.0	10554085.0	SRX4105567_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13096105.0	0.0	20-50	55.0	6.7543026345470905	49.009163029771074	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	13229291	4362598	13229291	661464550	7169912	641950249	2.9501658100951897	0.0548	0.9420000000000001	0.0032		
SRX4105568	725629.0	40631.0	1811560.0	1167450.0	0.0	0.0	0.0	0.0	241944.0	15013073.0	11025859.0	SRX4105568_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15013073.0	0.0	20-50	54.0	7.7217491158605265	49.01567254085823	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	15242591	5057840	15242591	762129550	7908762	735999813	3.428516451041689	0.0544	0.9419	0.0037		
SRX5055969	3858119.0	2719809.0	410245.0	0.0	512806.0	0.0	0.0	0.0	2799451.0	11275105.0	974675.0	SRX5055969_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11275105.0	0.0	20-101	55.0	28.12040323625498	88.44642528827892	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	11692556	6168085	11692556	1180948156	8289157	1016611965	13.915614344716413			0.0111	0.5897	0.3992
SRX5055970	3612020.0	1681913.0	1246427.0	0.0	575274.0	0.0	0.0	0.0	2615917.0	10901590.0	1170039.0	SRX5055970_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10901590.0	0.0	20-101	55.0	32.872403721413995	86.22507414056116	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	11573236	6236992	11573236	1168896836	24037791	956874280	18.13868850270376			0.0121	0.6444	0.3435
SRX5055971	3544193.0	1740857.0	496484.0	0.0	695077.0	0.0	0.0	0.0	3504842.0	10912523.0	931070.0	SRX5055971_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10912523.0	0.0	20-101	56.0	39.894656135705404	86.57100617336614	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11312587	6024953	11312587	1142571287	17810130	956218720	16.30992911517126			0.0111	0.6458	0.3431
SRX5055972	2972172.0	2790361.0	1098615.0	0.0	253526.0	0.0	0.0	0.0	1571207.0	9728686.0	1042805.0	SRX5055972_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9728686.0	0.0	20-101	54.0	37.898542709317816	90.21306947310255	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10096137	5100917	10096137	1019709837	7725134	892977814	12.428243643588582			0.0126	0.4994	0.488
SRX689242	279811.0	45577.0	143718.0	0.0	44912.0	0.0	0.0	0.0	387379.0	1132707.0	231310.0	SRX689242_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1132707.0	0.0	20-51	53.0	16.456613679994494	49.91213967954644	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	1167972	313952	1167972	59566572	394720	56975830	4.349321965346603	0.8754	0.1207	0.0039		
SRX7119038	3858119.0	2719809.0	410245.0	0.0	512806.0	0.0	0.0	0.0	2799451.0	11275105.0	974675.0	SRX7119038_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11275105.0	0.0	20-101	55.0	28.12040323625498	88.44642528827892	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	11692556	5890390	11692556	1180948156	20645450	1010360499	14.444974246608671			0.0111	0.5897	0.3992
SRX7119039	3612020.0	1681913.0	1246427.0	0.0	575274.0	0.0	0.0	0.0	2615917.0	10901590.0	1170039.0	SRX7119039_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10901590.0	0.0	20-101	55.0	32.872403721413995	86.22507414056116	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	11573236	6236992	11573236	1168896836	24037791	956874280	18.13868850270376			0.0121	0.6444	0.3435
SRX7119040	3076768.0	952596.0	758827.0	0.0	505884.0	0.0	0.0	0.0	3218930.0	9386774.0	873769.0	SRX7119040_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9386774.0	0.0	20-101	56.0	36.326973213094355	86.4276046275323	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9949625	5200466	9949625	1004912125	24273961	823863846	18.01632943776054			0.0106	0.733	0.2563
SRX7119041	3045568.0	3135833.0	2057423.0	0.0	195945.0	0.0	0.0	0.0	1525651.0	11126621.0	1166201.0	SRX7119041_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11126621.0	0.0	20-101	54.0	38.165448978445134	90.69463640399005	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11561646	5540282	11561646	1167726246	17833196	1022756751	12.414681565699775			0.0132	0.48100000000000004	0.5058
