Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HKK26_RS00005,-0.016819383394160413,0.015370966975384094,0.027625534103838813,0.07005808101862394,0.018136287770354538,-0.0074850558615151665,0.006907004965353413,-0.012189691130129278,0.025889337944078213,-0.02569595081984753,0.01859450633703786,-0.017136027494087266,-0.0182470510410455,-0.003786153326808973,-0.014496916013397983,-0.022181762102876052,-0.0028017995959479848,0.017347089698583486,-0.01646392037663653,-0.004212904420428033,-0.009754819027425348,0.005618671429906927,0.02066973258025688,0.03275779482854079,0.012598743274456089,0.0008226303366739178,-0.020382230898423222,-0.031961144668569474,0.005177272261417804,-0.013110826352952189
HKK26_RS00010,-0.01168525434060572,0.13150004540587332,0.007741241854906327,0.0011836254163493263,0.008205018977110535,-0.003863106238993564,-0.009580452619675484,-0.019411056760964166,0.0014360363489245033,-0.022662824385186693,0.01463282211073876,0.015499788155721651,-0.01345147886119661,0.00020774276535948246,0.03190751125267846,-0.032605057619353596,0.011272245458117598,-0.010481075561245464,0.001998517472895051,0.02025444369824944,0.021611196533674933,0.0066375918298476385,0.009556173171080944,0.017361011076712635,0.015405980889112013,-0.008503759420857486,-0.01405720732117734,0.03876881620410402,-0.027527927688259478,0.028191419625677085
HKK26_RS00015,-0.022300450178064934,0.015284146633741868,-0.019095584039886405,-0.0015281258839059627,-0.007835755416513627,-0.021697095426216007,-0.007830332327275799,0.009891762922516199,0.0034876186768117924,-0.03041627099059033,0.045743464698500026,0.006277719937803089,-0.02559663951133609,0.022926717707996428,0.021166275065674953,-0.002095822736252457,-0.015895991787407183,-0.0187748499028194,0.00022275865061031528,0.000657688786192787,-0.005579461604523448,-0.006301403437181745,-0.002955658938834998,0.004796362642858581,0.035823369692862435,0.0004283916235743741,-0.006893277594006662,-0.021321592781811064,-0.010586178220738466,-0.005773536418157235
HKK26_RS00020,-0.005461951454693657,0.029563733286054692,-0.018683653694884676,0.004710867467846498,-0.00821556294961905,-0.030271166565992047,-0.0019380886298880824,-0.007591678735259511,0.01674793499133155,0.032113535627106705,0.00041253967175163475,-3.434272963519241e-05,-0.01900084590374156,0.0025184070512999862,0.0029706248383714316,-0.005870857171742893,0.007577768610109507,0.005520491916399649,-0.0006079723266412523,0.023353162684124473,0.006741807911273746,-0.019514349594509803,-0.008636288171756497,0.010351862096874345,0.005065314323366327,-0.007211413614021348,-0.03644233137020154,0.025589271639540084,-0.009016455985307743,0.014027700284399444
HKK26_RS00025,0.006942692221105496,0.021806010948661286,-0.038194674377037205,0.025013206723856603,0.004020220735711129,0.011415997341797483,-0.013047186249954577,0.06304131036989627,0.02480806851260425,-0.013864473153939764,0.010800771047256987,0.010497999971251268,-0.025861718934783364,-0.006010114614094824,-0.016861381289625797,-0.020294954189372452,-0.007016783517152546,0.03231690132841252,-0.016458892247823115,-0.02382950368928283,0.030719683368427866,-0.03775606397714306,-0.0012336278826761,0.035153719999566645,0.01967070148293744,0.00986504798033471,0.01266928830466095,-0.008517241663915629,-0.06331224587020101,-0.002996479227310504
HKK26_RS00030,-0.008935944749330049,-0.00630924195583172,0.00525875712491253,0.007949102485517851,0.008934740908589733,0.002357918523103135,-0.019255313990834223,-0.0030068530383370656,0.006225942271729563,-0.012434831494063553,0.011990109146810849,0.04519121394397013,-0.012795694125627343,0.011973509424151048,-0.0037216115024540745,-0.014027909803505802,-0.01932435396444354,-0.0075040533707630246,-0.0023924890573228676,-0.007379305106516162,-0.016473546632731477,-0.0005793323203392873,0.014435235284166742,0.010234003066637253,-0.0022279356553020348,0.005734492622567189,0.01662363823323536,0.010365240011288693,-0.008878094108019471,0.04754855006787989
HKK26_RS00035,0.007863322906444089,-0.01936323533325305,-0.00463827813816724,0.10610556169622494,0.022182593976505332,0.0022512324430547384,-0.011695250010628808,0.07182233243158156,-0.012806654237629823,0.01802855758290149,0.028391716282305402,0.010490670241033156,0.000937631302665541,0.02479377797812838,-0.016993360918283,-0.007442360858493293,0.00013967543099916064,-0.0020592883224884446,-0.0008648289531496345,0.01506344656334195,0.04564543859121496,-0.0020206713554107455,-0.013350204588607388,0.01149847338740428,-0.008055615567022882,-0.014180583182363624,0.004280492805439002,0.011847287776682031,0.03993572767858175,-0.031562907750942976
HKK26_RS00040,-0.026918871392929682,0.001503096210221667,0.0003885476133326991,-0.007601227681640729,0.002006972642221507,0.0035632147226506887,0.0003859964022026566,0.0037020442478837945,-0.012550693938126658,-0.017050470091510995,-0.03948177814171214,0.009125717666278649,-0.004716612680781949,0.017528356933660724,-0.0017479435736887658,-0.019094416178739592,-0.005368643820464802,-0.030417659033704098,-0.01581201319170779,0.021823394227084965,-0.006392024848674443,0.004685238648276789,0.016208446532179212,0.004817234668060328,0.010226909803719994,0.006788698746395533,-0.00976692272148371,0.03973530159712281,-0.06162312226357862,-0.01849798308275443
HKK26_RS00045,-0.0036958481602969292,0.03798527974231463,0.01621264589323407,0.07702926592308874,0.00041228538831769183,0.06374664171204429,-0.011172438940288448,0.0013878311813430289,0.009163850047093356,-0.05779057217410787,-0.039712690415997655,0.025797244539594276,-0.02833786527242621,0.007295202567558088,-0.0016158569473757683,-0.010856323877644774,0.03476791420901814,-0.0015872649102403008,-0.042795248597850444,0.025655442413378006,-0.018754788933901347,-0.0004927937359135666,0.001031025893657968,0.03420343593397653,-0.014757655170407372,-0.078205980851105,0.02999618827261406,-0.17975633853527465,0.06041292023618174,0.008136569396957416
HKK26_RS00050,-0.006029294689093029,0.006481261656780103,-0.0010870122354742534,-0.006981679738817177,0.03277714347382433,-0.013404025462056948,0.002893692897638134,-0.0034751541594994673,0.010276109828260356,-0.004822006592088674,-0.018163955175054213,0.014282222328198703,-0.014288682523237888,0.04548752445559557,0.01280458737182061,-0.020331625310579072,-0.0036961876614941044,-0.016963130750456697,0.02221901464793334,0.01230573063017706,0.0006892431461322619,0.0015555002569500411,-0.01568220977179022,-0.002494944008803693,0.011512458321445365,-0.0337178639591144,-0.026242352899596005,0.025149809283302026,-0.025727802156793458,-0.00785892263955776
