Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
HKK26_RS00005,-0.018678075077045563,0.018489423887319095,0.06925584669098461,-0.039206155823534074,0.002689607524539637,0.02986552122506742,0.0029963590341901395,0.018852043722229227,0.0013295178621806447,-0.018650213456067065,-5.269617104472293e-05,-0.023892547325096946,-0.004549275870141223,-0.0028214213994551046,0.006385656250284151,-0.012882811138316871,-0.0034725853024221496,0.010215320036759113,0.0605312491788326,-0.022582284269733004,-0.03435775832747519,0.011775095066350137,0.015070159888283472,0.005229285244885866,0.011688254262240934,0.005303759576813842,0.005427430667147523,0.06931128524769055,-0.01344880675811607,-0.01190823146217248,-0.01793106573878866
HKK26_RS00010,-0.010999913804340311,0.020728733980028825,-0.0020286043540544943,-0.0013886953090108626,0.010257265647769775,0.010081347080671548,0.007540316811659687,-0.004699038485233582,0.000264210622707847,-0.010630825929508238,-0.0004812409238399089,-0.032725096108193574,-0.002051813332567555,-0.002315093214786582,0.02369267461916349,0.026696237651452896,0.0027268724035764947,-0.005481590475124188,-0.017189336091929172,-0.021945930763155146,-0.015094386513172207,0.12977388589951155,-0.01551130914735701,0.009047573375127238,-0.006770855919701572,0.028232281332013068,-0.013736807209547524,0.021731729681588083,-0.005968521927971279,0.007699103884034553,0.01772901950649081
HKK26_RS00015,0.02376975282566277,0.011363263521486868,0.0024876693877887695,-0.016356944456805782,-0.019450695994416713,-0.006449373521004363,-0.007326013519500531,0.001812169983281936,-0.009110999907148918,-0.020624679591516416,0.03261971929140208,-0.034098396954303216,-0.025799163169531115,5.4790119332270264e-05,-0.026013097316782977,-0.0012548660105562814,0.012787185985816265,-0.03447213362660154,-0.006605586160859234,-0.06096055181602423,-0.015493086734715333,0.0013403625744800578,-0.012864035678224356,0.0477211292700852,0.02940313613101042,0.026784493460376476,-0.027876758796539353,-0.025690859282735824,-0.00859484144834573,-0.00822283742861871,0.017928699023878055
HKK26_RS00020,-0.023081045965252005,-0.02424410394877769,0.00931286968363169,0.0020235752734605733,0.004037719282260701,-0.012238757535008738,-0.015387752998574242,0.010746259725881717,-0.004689019006479301,-0.01670388186107922,-0.010401378435761525,0.009110016764178545,0.006174422129278171,-0.021500760490803104,-0.022555772713315717,0.02437201038876526,0.03491595020455097,-0.03515029603514182,-0.015947797126527885,-0.03744548345049804,-0.007230653212979722,0.010215285480139634,-0.00041249099234582585,0.06433190172136202,0.004197990260621555,-0.007731362676505308,-0.008595807861813692,-0.03034107046633511,-0.0037600550764472027,0.04239945680375453,0.002037361272128773
HKK26_RS00025,0.031374594704075234,0.01856203900179218,0.03297620945302828,-0.008390309229926216,-0.006012942559303089,-0.0004518708449411695,-0.0006277887989069261,0.025246744014164636,0.04254921848194443,-0.029855738280897496,-0.01495603976378413,-0.010851023442003747,0.025410954977779444,0.05796222515119334,-0.035178859438674985,-0.01421017918039268,-0.022184887046906496,-0.02154188400348491,0.004995062852537377,-0.007180764607899087,-0.021979118984755974,-0.0019471339686741528,-0.009168098569803097,-0.006985576894080894,-0.01050874889442799,0.023645397579476275,0.018747558404282653,-0.05126105658678635,-0.00775256098698651,0.022094835842906488,0.014853737420759497
HKK26_RS00030,0.018180066203658203,0.02727358383872697,0.0027443970578915206,-0.0015088969118920814,-0.018546466021682716,0.01812404121673634,0.04609215954321009,0.0019168198677664643,-0.008291987906647867,-0.0037328685656181993,-0.0013152764965515828,-0.011495537838494281,-0.003565404217635239,-0.0064311119148998995,-0.005629024337725125,-0.020298427352527033,0.00042446883116144447,-0.01570450678444959,0.03854373540654567,-0.028326435032598657,-0.013147253064741168,-0.01789557709931268,-0.02948308448117796,0.020209182678900706,0.025281026678369303,-0.005446105257686842,-0.01375448933262424,-0.016184649492218803,0.012305980026904641,-0.004008563549192055,0.014888334718350852
HKK26_RS00035,0.008352444595679935,-0.0003290332804525717,0.10472523975616063,0.005771168960861158,-0.0004837952731559223,0.03502553282320045,0.008736595643274172,-0.03101067428014523,0.012368081815469875,-0.003999702429800932,-0.0018677669769424988,0.016245284747798034,0.003850170342095206,0.09683157771538257,-0.006787819469388494,-0.04792622013497448,0.026915543955213526,-0.002988375955056867,0.008067394235740077,-0.010066817368098445,-0.0021153016236692855,-0.012666815520958179,-0.02183115413490684,0.02188490689700243,0.04709784292331686,0.014957991262777283,0.0001299578046814791,-0.02873537203305099,-0.0021870550276491094,-0.00845984543105452,0.0196096482874403
HKK26_RS00040,-0.009942623449427724,-0.0003277545001323862,-0.008033053168426972,0.010358965797037135,0.0018234601210973462,0.01214343106158333,0.0006649913569911111,-0.0025984012060179264,-0.019223249197172994,-0.003359619718036987,0.005301787399376979,-0.015500138984109344,-0.04586314750604856,-0.0033606311929079225,-0.012341572648254393,0.029324941746691542,0.02405142778604823,0.021090377490831095,0.047563266282204496,-0.0135709632029539,-0.026433696648251712,-0.015155375522469377,-0.008735313503095947,0.03806700635386916,0.00774994014766961,-0.032069075323939,-0.007091163429647744,-0.00757824606393913,-0.021297906623330105,0.0012549887266100023,-0.01793579121665963
HKK26_RS00045,-0.011303396080237888,-0.017145662166343913,0.07704788001730119,0.024663559378267415,0.007912766274111405,0.0055622381921923356,0.029454438020920924,0.04891953666878439,0.05965379938981418,-0.04499337378968913,0.005475714121168178,-0.04133860194339565,0.008022997589743282,0.015124331970936745,0.11700340612933752,0.05567936159026109,0.01023518651491357,0.025946732796818674,0.012547139846882643,-0.002267015478346288,-0.08664727143807731,0.018994042492407593,0.0018570365078058823,-0.003385989265968783,-0.013646335094201512,-0.0046233122517442896,-0.014035037391070641,0.011190162107588568,0.014974395859816877,0.0042602703982615895,0.07148837923925776
HKK26_RS00050,-0.013906660532407085,-0.018390052115726536,-0.0077281046705573965,-0.0014880859270410755,-0.004574171303491222,0.02582388398392603,0.00307745182579782,0.015443435526359166,-0.0020373900005656274,-0.014111303915095741,0.011142545546589767,-0.009167687701071105,-0.013714924662828568,-0.009050317044902289,0.009856013132940124,0.02968424082682071,0.011890068075881612,-0.015597635809604183,-0.006735644074854291,0.00041321969486991827,-0.02890319007475365,0.0017515841657193007,-0.0020879057680710357,0.013682131527483741,0.026598895087926493,-0.01112913190397981,0.019772584773435832,-0.008074674732781591,0.0011555750027573163,0.0032605176990193442,-0.0075200729693870975
