	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX3159654	18764116.0	11124438.0	962131.0	1952093.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3783614.0	927231.0	14609.0	59.28570256120778	18764116.0	16812023.0	89.6	1952093.0	10.4	SRX3159654_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18764116.0	0.0	20-50	54.0	12.083591053642118	49.396243500093476	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18769338	5744779	18769338	938466900	2416300	926906945	1.2317914462406718	0.2792	0.32899999999999996	0.3918		
SRX3159655	16619909.0	8881035.0	2599063.0	1396637.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3077396.0	652175.0	13603.0	53.4361229053661	16619909.0	15223272.0	91.6	1396637.0	8.4	SRX3159655_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16619909.0	0.0	20-50	55.0	11.563814628715816	49.325150576937574	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	16627313	5090015	16627313	831365650	2374312	819806889	1.3903342049313678	0.2543	0.3632	0.3825		
SRX3159656	10815927.0	6129077.0	1060692.0	1076497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2067046.0	473438.0	9177.0	56.66714466545494	10815927.0	9739430.0	90.05	1076497.0	9.95	SRX3159656_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10815927.0	0.0	20-50	54.0	13.631328302265592	49.32053840600071	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	10827488	3387592	10827488	541374400	1335236	533469519	1.460150498435094	0.2451	0.3432	0.4118		
SRX3159657	12280934.0	8208839.0	762737.0	917759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1787387.0	591508.0	12704.0	66.84213920537314	12280934.0	11363175.0	92.53	917759.0	7.47	SRX3159657_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12280934.0	0.0	20-50	55.0	14.599466894586275	49.370700632378615	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	12286581	3726881	12286581	614329050	1893957	606342710	1.3000101492840035	0.2406	0.3569	0.4024		
SRX3159658	13841871.0	8920453.0	1414960.0	892886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2023074.0	576776.0	13722.0	64.4454279338393	13841871.0	12948985.0	93.55	892886.0	6.45	SRX3159658_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13841871.0	0.0	20-50	55.0	12.247305319131925	49.28721500149799	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13874664	4291609	13874664	693733200	1905966	682255583	1.6544713443150767	0.2519	0.3752	0.3728		
SRX3159659	16918006.0	10732614.0	1642071.0	1273576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2589144.0	661786.0	18815.0	63.43900102648031	16918006.0	15644430.0	92.47	1273576.0	7.53	SRX3159659_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16918006.0	0.0	20-50	55.0	12.247644729379726	49.252934477029974	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	16938257	5265181	16938257	846912850	2702067	833303314	1.6069582602271295	0.2281	0.3291	0.4428		
SRX3159660	16578507.0	7418106.0	6455121.0	798360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1415852.0	479686.0	11382.0	44.74531994949847	16578507.0	15780147.0	95.18	798360.0	4.82	SRX3159660_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16578507.0	0.0	20-50	55.0	9.530579548224443	49.434947730817974	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	16587665	4620732	16587665	829383250	1977114	819582948	1.1816373190560576	0.2132	0.3365	0.4503		
SRX3159661	18088638.0	9343119.0	1915644.0	4257651.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1928820.0	632270.0	11134.0	51.65186566285421	18088638.0	13830987.0	76.46	4257651.0	23.54	SRX3159661_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18088638.0	0.0	20-50	54.0	9.240557882052244	49.46886393547153	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	18128276	5608059	18128276	906413800	1219173	894901850	1.2700545821345617	0.2436	0.3987	0.3577		
SRX3159662	21216943.0	14291400.0	874147.0	2575304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2480901.0	978565.0	16626.0	67.35843141964419	21216943.0	18641639.0	87.86	2575304.0	12.14	SRX3159662_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21216943.0	0.0	20-50	54.0	7.83543311342222	49.518796840807845	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	21252494	6466291	21252494	1062624700	1677632	1050727676	1.1195885057066712	0.2321	0.4214	0.3464		
SRX3159663	17112856.0	10890352.0	1006918.0	2584233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1967985.0	649387.0	13981.0	63.63842481932881	17112856.0	14528623.0	84.9	2584233.0	15.1	SRX3159663_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17112856.0	0.0	20-50	54.0	9.143083149194672	49.49291988432556	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	17171120	5363330	17171120	858556000	1181115	847027861	1.3427358262012028	0.2009	0.39399999999999996	0.4051		
SRX3159664	19430842.0	10633476.0	1686899.0	3874247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2520553.0	709424.0	6243.0	54.72473092004968	19430842.0	15556595.0	80.06	3874247.0	19.94	SRX3159664_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19430842.0	0.0	20-50	54.0	7.957956271322546	49.480013012302805	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	19459621	6077008	19459621	972981050	1232795	961504007	1.1795751828876833	0.1912	0.4368	0.3719		
SRX3159665	16013940.0	11770844.0	472797.0	1236481.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1806470.0	713630.0	13718.0	73.50373487099364	16013940.0	14777459.0	92.28	1236481.0	7.72	SRX3159665_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16013940.0	0.0	20-50	55.0	9.830558987146171	49.49088693975374	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	16040799	4885286	16040799	802039950	1073076	792598775	1.1771452282395658	0.2357	0.376	0.3883		
SRX3159666	17256524.0	10774967.0	1240310.0	2906772.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1640487.0	682255.0	11733.0	62.43996183704203	17256524.0	14349752.0	83.16	2906772.0	16.84	SRX3159666_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17256524.0	0.0	20-50	54.0	7.815988605747029	49.533707599514244	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	17278594	5213264	17278594	863929700	1151931	854826073	1.0537462712533208	0.2126	0.36700000000000005	0.4205		
SRX3159667	13317165.0	9859677.0	489812.0	947850.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1425431.0	583119.0	11276.0	74.03735705009288	13317165.0	12369315.0	92.88	947850.0	7.12	SRX3159667_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13317165.0	0.0	20-50	55.0	10.565124585315182	49.53847962385387	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13327653	4047112	13327653	666382650	753736	659748892	0.9954878026911416	0.2009	0.3848	0.4143		
SRX3159668	16996035.0	12000236.0	448607.0	1547524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2226749.0	757753.0	15166.0	70.60609136189704	16996035.0	15448511.0	90.89	1547524.0	9.11	SRX3159668_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16996035.0	0.0	20-50	55.0	9.724730708118859	49.450512957875176	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	17028987	5314804	17028987	851449350	969771	840521817	1.283403763242053	0.2212	0.3836	0.3952		
SRX3172761	9588489.0	4729157.0	90324.0	1093207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3213788.0	454277.0	7736.0	49.32119127424561	9588489.0	8495282.0	88.6	1093207.0	11.4	SRX3172761_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9588489.0	0.0	20-50	52.0	8.604887360631345	49.24085359017464	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9648458	3160308	9648458	482422900	1782718	472179931	2.123234406990216	0.2316	0.3438	0.4246		
SRX3172762	13274502.0	6087974.0	149516.0	1350477.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5037139.0	644632.0	4764.0	45.86216492339975	13274502.0	11924025.0	89.83	1350477.0	10.17	SRX3172762_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13274502.0	0.0	20-50	52.0	6.0982008271615005	49.19374459395915	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13333991	4345323	13333991	666699550	2572531	653089195	2.041452555352707	0.1614	0.4994	0.3392		
SRX3172763	15077901.0	6370300.0	149088.0	1748619.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6036194.0	769399.0	4301.0	42.24924941475607	15077901.0	13329282.0	88.4	1748619.0	11.6	SRX3172763_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15077901.0	0.0	20-50	51.0	5.876631612197191	49.32543694244975	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	15104219	4748235	15104219	755210950	2759409	743803301	1.5105248407746206	0.1508	0.5094	0.3397		
SRX3172764	16876445.0	8871413.0	538963.0	1413911.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5280553.0	757327.0	14278.0	52.56683501768293	16876445.0	15462534.0	91.62	1413911.0	8.38	SRX3172764_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16876445.0	0.0	20-50	53.0	5.5789338553239105	49.15791518889198	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	16923984	5473175	16923984	846199200	3478644	829690460	1.950928339331921	0.2641	0.3803	0.3556		
SRX3172765	14017168.0	7220680.0	742766.0	1158148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4210554.0	679681.0	5339.0	51.513115916139405	14017168.0	12859020.0	91.74	1158148.0	8.26	SRX3172765_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14017168.0	0.0	20-50	53.0	8.582184387249905	49.32496507140387	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14040791	4308137	14040791	702039550	2992256	691433162	1.5107963646777451	0.1372	0.5359	0.3269		
SRX3172766	13088071.0	5804951.0	458808.0	1389311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4848657.0	581874.0	4470.0	44.35299136137022	13088071.0	11698760.0	89.38	1389311.0	10.62	SRX3172766_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13088071.0	0.0	20-50	52.0	6.7412713731448495	49.240708963146666	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13107597	4216419	13107597	655379850	2519349	644509958	1.6585636558707135	0.1677	0.4787	0.3537		
SRX3176780	16694501.0	8632534.0	75952.0	3187917.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3954286.0	829729.0	14083.0	51.708847122774145	16694501.0	13506584.0	80.9	3187917.0	19.1	SRX3176780_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16694501.0	0.0	20-50	52.0	8.98740913310522	49.5146230486314	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	16703814	5177701	16703814	835190700	713885	826651418	1.022434995983552	0.2564	0.3656	0.37799999999999995		
SRX3176781	15204811.0	7945121.0	59031.0	2444606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4023667.0	722138.0	10248.0	52.25399381814086	15204811.0	12760205.0	83.92	2444606.0	16.08	SRX3176781_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15204811.0	0.0	20-50	52.0	8.285557436946375	49.51985322277271	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	15219015	4747139	15219015	760950750	594405	752966456	1.049252399054735	0.2349	0.3615	0.4036		
SRX3176782	10889117.0	5232842.0	64849.0	2153877.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2925721.0	505116.0	6712.0	48.0557055269036	10889117.0	8735240.0	80.22	2153877.0	19.78	SRX3176782_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10889117.0	0.0	20-50	51.0	9.14386820969684	49.513023875122286	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	10893187	3427523	10893187	544659350	396499	539164984	1.0087710786567787	0.2103	0.2817	0.508		
SRX3176783	17134418.0	7451063.0	177035.0	2928994.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5727033.0	840251.0	10042.0	43.485941570936355	17134418.0	14205424.0	82.91	2928994.0	17.09	SRX3176783_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17134418.0	0.0	20-50	50.0	6.312855372443726	49.517488309203145	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	17146733	5265388	17146733	857336650	697051	848481329	1.0328872561321156	0.2152	0.2621	0.5227		
SRX3176784	14657620.0	5201841.0	92448.0	3138453.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5498838.0	717354.0	8686.0	35.48898798031331	14657620.0	11519167.0	78.59	3138453.0	21.41	SRX3176784_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14657620.0	0.0	20-50	49.0	6.927465879987437	49.533087363432806	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	14669490	4467282	14669490	733474500	653877	726059406	1.010954573062867	0.2248	0.2396	0.5357		
SRX3176785	16883125.0	5211835.0	185455.0	2406781.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8431799.0	638608.0	8647.0	30.870084773997704	16883125.0	14476344.0	85.74	2406781.0	14.26	SRX3176785_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16883125.0	0.0	20-50	49.0	5.941654486353961	49.52202444748825	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	16892576	5376595	16892576	844628800	659850	836104239	1.0092671478879245	0.2255	0.2602	0.5143		
SRX3176786	12593236.0	3067711.0	92863.0	2160999.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6818205.0	448091.0	5367.0	24.359989759582053	12593236.0	10432237.0	82.84	2160999.0	17.16	SRX3176786_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12593236.0	0.0	20-50	48.0	7.017229113959052	49.53307998039583	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	12604460	3940096	12604460	630223000	659414	623799026	1.0193176066249563	0.2442	0.225	0.5308		
SRX3176787	12281423.0	2357996.0	109555.0	1988293.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7420639.0	403728.0	1212.0	19.199696973225333	12281423.0	10293130.0	83.81	1988293.0	16.19	SRX3176787_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12281423.0	0.0	20-50	47.0	5.49181751141721	49.52676005052509	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	12288862	3993082	12288862	614443100	602794	608275544	1.0037635706219177	0.1718	0.4346	0.3935		
SRX3176788	15362469.0	2578647.0	149938.0	2398808.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9694906.0	538624.0	1546.0	16.785368289433166	15362469.0	12963661.0	84.39	2398808.0	15.61	SRX3176788_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15362469.0	0.0	20-50	47.0	4.522660486178343	49.5158832216358	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	15394420	4931642	15394420	769721000	1297937	760726807	1.1685004046920895	0.139	0.5303	0.3307		
SRX3176789	10859474.0	7277453.0	339718.0	1055560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1725008.0	456417.0	5318.0	67.01478358896573	10859474.0	9803914.0	90.28	1055560.0	9.72	SRX3176789_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10859474.0	0.0	20-50	54.0	13.541056336401743	49.53450609117901	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	10865195	3301318	10865195	543259750	446902	537941282	0.9789917254131196	0.1859	0.4074	0.4067		
SRX3176790	15696999.0	10628187.0	524043.0	1415487.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2455416.0	666316.0	7550.0	67.70840082234827	15696999.0	14281512.0	90.98	1415487.0	9.02	SRX3176790_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15696999.0	0.0	20-50	54.0	10.458668007074305	49.534916706053174	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	15708983	4764935	15708983	785449150	670818	777580351	1.00182156922571	0.1732	0.3841	0.4427		
SRX3176791	11596281.0	7864200.0	337300.0	991599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1905490.0	486822.0	10870.0	67.81656981233897	11596281.0	10604682.0	91.45	991599.0	8.55	SRX3176791_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11596281.0	0.0	20-50	54.0	11.578704621704734	49.38959533664285	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	11620415	3670090	11620415	581020750	511030	572767434	1.4204855850673148	0.1732	0.3366	0.4902		
SRX3176792	10009855.0	6476080.0	306441.0	1015951.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1754257.0	448217.0	8909.0	64.69704106602943	10009855.0	8993904.0	89.85	1015951.0	10.15	SRX3176792_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10009855.0	0.0	20-50	54.0	12.802629743364506	49.46768449692828	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	10028620	3099325	10028620	501431000	464379	495187210	1.2451942540449237	0.1936	0.26	0.5464		
SRX3176793	13687696.0	8209817.0	458845.0	1779129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2643652.0	582804.0	13449.0	59.9795392884237	13687696.0	11908567.0	87.0	1779129.0	13.0	SRX3176793_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13687696.0	0.0	20-50	53.0	11.056965061071244	49.468503391659205	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13707700	4253402	13707700	685385000	653661	677141340	1.2027780006857458	0.2108	0.2083	0.5808		
SRX3176794	17633163.0	10676942.0	688904.0	1652611.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3886453.0	708893.0	19360.0	60.55035049582426	17633163.0	15980552.0	90.63	1652611.0	9.37	SRX3176794_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17633163.0	0.0	20-50	53.0	10.134927529249936	49.52003131826093	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	17654626	5345670	17654626	882731300	1043453	873235778	1.075697893571917	0.2344	0.2069	0.5587		
SRX3176795	13883075.0	7212253.0	1238099.0	1964815.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2937865.0	514875.0	15168.0	51.94996785654475	13883075.0	11918260.0	85.85	1964815.0	14.15	SRX3176795_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13883075.0	0.0	20-50	52.0	9.903595153366613	49.52315067087083	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13894197	4233018	13894197	694709850	545693	687557772	1.0295057713662759	0.2936	0.1576	0.5487		
SRX3176796	21458195.0	8904580.0	2576139.0	3908162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5332722.0	719503.0	17089.0	41.497339361488706	21458195.0	17550033.0	81.79	3908162.0	18.21	SRX3176796_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21458195.0	0.0	20-50	51.0	5.780191447437147	49.5020827241061	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	21507478	6683323	21507478	1075373900	1055618	1062275351	1.2180460210165043	0.3189	0.1613	0.5199		
SRX3176797	15359038.0	345290.0	111879.0	7759821.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7119642.0	22081.0	325.0	2.2481225712183277	15359038.0	7599217.0	49.48	7759821.0	50.52	SRX3176797_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15359038.0	0.0	20-50	52.0	6.1181144802043175	49.52954293100909	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	15363622	4835124	15363622	768181100	529304	760741964	0.9684091420629848	0.3144	0.1519	0.5337		
SRX3176798	9019509.0	5576945.0	100328.0	789002.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2065321.0	480265.0	7648.0	61.832024337466706	9019509.0	8230507.0	91.25	789002.0	8.75	SRX3176798_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9019509.0	0.0	20-50	54.0	15.203595693072293	49.43779179110526	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9024779	2786986	9024779	451238950	728193	445922402	1.1782112337598516	0.2388	0.3501	0.4111		
SRX3176799	8266995.0	4473190.0	164293.0	778075.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2424341.0	421190.0	5906.0	54.109020266735385	8266995.0	7488920.0	90.59	778075.0	9.41	SRX3176799_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8266995.0	0.0	20-50	53.0	13.597602180326051	49.41866204104394	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8272300	2585203	8272300	413615000	656820	408566189	1.2206547151336389	0.2332	0.3717	0.3951		
SRX3176800	9224575.0	4754250.0	95279.0	779875.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3099502.0	490021.0	5648.0	51.53895978947539	9224575.0	8444700.0	91.55	779875.0	8.45	SRX3176800_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9224575.0	0.0	20-50	52.0	11.731836992640133	49.45139488811136	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9228198	2838668	9228198	461409900	680137	456197026	1.1297707309704452	0.2078	0.3125	0.4798		
SRX3176801	9001492.0	3773029.0	232900.0	700307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3867953.0	422155.0	5148.0	41.91559577012345	9001492.0	8301185.0	92.22	700307.0	7.78	SRX3176801_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9001492.0	0.0	20-50	52.0	7.610611136101447	49.173218839721244	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9039329	3052403	9039329	451966450	747695	442669020	2.0571062298982588	0.2329	0.2744	0.4927		
SRX3176802	7641957.0	2668002.0	136126.0	603663.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3872752.0	357310.0	4104.0	34.912549233134925	7641957.0	7038294.0	92.1	603663.0	7.9	SRX3176802_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7641957.0	0.0	20-50	50.0	7.427312950369007	49.31472330974906	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7662295	2465935	7662295	383114750	584807	376889133	1.6250006036050555	0.2115	0.2334	0.555		
SRX3176803	7918176.0	2319568.0	248090.0	613369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4369577.0	363680.0	3892.0	29.29422129540945	7918176.0	7304807.0	92.25	613369.0	7.75	SRX3176803_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7918176.0	0.0	20-50	50.0	9.881704139419883	49.454534099772474	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7920633	2580514	7920633	396031650	565339	391616073	1.11495558498923	0.2281	0.2496	0.5224		
SRX3176804	11926316.0	2278661.0	399235.0	794270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8080835.0	369693.0	3622.0	19.10615985690803	11926316.0	11132046.0	93.34	794270.0	6.66	SRX3176804_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11926316.0	0.0	20-50	48.0	5.1215425389613625	49.31159831753578	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11945294	4093013	11945294	597264700	807958	588136581	1.528320525221062	0.2499	0.2622	0.4879		
SRX3176805	10626721.0	2190636.0	140829.0	743763.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7179356.0	370864.0	1273.0	20.614411538611016	10626721.0	9882958.0	93.0	743763.0	7.0	SRX3176805_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10626721.0	0.0	20-50	48.0	6.844912749211421	49.364504347107626	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10630626	3733433	10630626	531531300	579289	524606126	1.3028722861664026	0.1876	0.431	0.3814		
SRX3176806	7886297.0	1036639.0	2865472.0	347208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3464735.0	171620.0	623.0	13.144813085279438	7886297.0	7539089.0	95.6	347208.0	4.4	SRX3176806_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7886297.0	0.0	20-50	51.0	7.177432302924907	49.349318063978565	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7894546	2469379	7894546	394727300	464839	389197547	1.400904624534457	0.1534	0.5392	0.3073		
SRX3176807	10405590.0	7732295.0	172604.0	522495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1439969.0	522028.0	16199.0	74.30904927063241	10405590.0	9883095.0	94.98	522495.0	5.02	SRX3176807_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10405590.0	0.0	20-50	55.0	10.453621603751968	49.22952316975778	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	10435731	3091512	10435731	521786550	3721588	512336896	1.8110190843363057	0.2371	0.3122	0.4507		
