	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX259784	18909243.0	12070274.0	4415180.0	1130929.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	834737.0	441374.0	16749.0	63.83266638437086	18909243.0	17778314.0	94.02	1130929.0	5.98	SRX259784_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18909243.0	0.0	20-101	55.0	32.83411524286047	90.72202848099207	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	21995675	6752360	21995675	2221563175	407176744	1737383123	21.794565981676392	0.2588	0.2791	0.4621		
SRX259785	23295119.0	5836204.0	15095101.0	1429429.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	688832.0	238304.0	7249.0	25.053334134073324	23295119.0	21865690.0	93.86	1429429.0	6.14	SRX259785_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23295119.0	0.0	20-101	54.0	22.510707838945656	90.44529671644949	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	26841587	7734157	26841587	2711000287	528496669	2134193122	21.276543856005873	0.2788	0.2878	0.4335		
SRX259786	61005765.0	32563160.0	20760270.0	3681591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2692172.0	1266608.0	41964.0	53.377184926703244	61005765.0	57324174.0	93.97	3681591.0	6.03	SRX259786_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61005765.0	0.0	20-101	55.0	22.0441226942434	90.37117383906259	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	74021944	21517646	74021944	7476216344	1660802824	5590420103	25.223938878032023	0.2421	0.2624	0.4955		
SRX259787	40375154.0	28653241.0	6144237.0	2689609.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1749598.0	1102411.0	36058.0	70.96750887934694	40375154.0	37685545.0	93.34	2689609.0	6.66	SRX259787_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40375154.0	0.0	20-101	55.0	27.47735018472085	91.11546868650952	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass	46857767	13799118	46857767	4732634467	872151076	3724272494	21.306567833014935	0.2549	0.27	0.4751		
SRX259788	51421520.0	26687627.0	18114871.0	3350962.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2237447.0	996255.0	34358.0	51.89972408439114	51421520.0	48070558.0	93.48	3350962.0	6.52	SRX259788_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51421520.0	0.0	20-101	55.0	23.346377726131006	90.52219611555628	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	60204551	16916544	60204551	6080659651	1254428958	4718086939	22.40830420061279	0.2453	0.267	0.4877		
SRX259789	15400005.0	482080.0	13823390.0	901332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154318.0	38154.0	731.0	3.1303885940296774	15400005.0	14498673.0	94.15	901332.0	5.85	SRX259789_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15400005.0	0.0	20-101	54.0	13.613202563535182	94.27800887077636	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	16475592	5105869	16475592	1664034792	164850179	1465369714	11.938757467998904	0.3141	0.2763	0.4095		
SRX259790	9211244.0	3789320.0	4234876.0	640119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388214.0	153249.0	5466.0	41.13798309978544	9211244.0	8571125.0	93.05	640119.0	6.95	SRX259790_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9211244.0	0.0	20-101	55.0	30.886284178597283	94.27889522848379	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass	11325835	4390340	11325835	1143909335	150673589	876643195	23.36427650535783	0.3109	0.3173	0.3718		
SRX259791	29256025.0	15320300.0	10190633.0	1943880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1190250.0	590536.0	20426.0	52.366307452909275	29256025.0	27312145.0	93.36	1943880.0	6.64	SRX259791_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29256025.0	0.0	20-101	55.0	25.14135440131805	93.97371071428877	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	33450692	11455490	33450692	3378519892	402602684	2776205859	17.827748607495845	0.2619	0.2802	0.4579		
SRX259792	12823449.0	5241550.0	4795002.0	2091161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479140.0	209226.0	7370.0	40.874728787863546	12823449.0	10732288.0	83.69	2091161.0	16.31	SRX259792_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12823449.0	0.0	20-101	54.0	28.607239516947622	90.83664714539745	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass	18703355	9409621	18703355	1889038855	319722448	1176691052	37.70953684274536	0.3061	0.3285	0.3654		
SRX259793	15585581.0	8241330.0	4419967.0	1880584.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	691195.0	341164.0	11341.0	52.87791324558256	15585581.0	13704997.0	87.93	1880584.0	12.07	SRX259793_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15585581.0	0.0	20-101	55.0	28.56204560859953	92.87415836470902	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass	23108719	11770597	23108719	2333980619	353523188	1461397183	37.38606177346325	0.2355	0.2507	0.5138		
