,0
SYNPCC7942_RS01245,Synpcc7942_0244
SYNPCC7942_RS01250,Synpcc7942_0245
SYNPCC7942_RS01255,Synpcc7942_0246
SYNPCC7942_RS01260,Synpcc7942_0247
SYNPCC7942_RS01265,Synpcc7942_0248
SYNPCC7942_RS01270,Synpcc7942_0249
SYNPCC7942_RS01275,Synpcc7942_0250
SYNPCC7942_RS01280,Synpcc7942_0251
SYNPCC7942_RS01285,Synpcc7942_0252
SYNPCC7942_RS01290,Synpcc7942_0253
SYNPCC7942_RS01295,Synpcc7942_0254
SYNPCC7942_RS01300,Synpcc7942_0255
SYNPCC7942_RS01305,Synpcc7942_0256
SYNPCC7942_RS01310,Synpcc7942_0257
SYNPCC7942_RS01315,Synpcc7942_0258
SYNPCC7942_RS01320,Synpcc7942_0259
SYNPCC7942_RS01325,Synpcc7942_0260
SYNPCC7942_RS01330,Synpcc7942_0261
SYNPCC7942_RS01335,Synpcc7942_0262
SYNPCC7942_RS01340,Synpcc7942_0263
SYNPCC7942_RS01345,Synpcc7942_0264
SYNPCC7942_RS01350,Synpcc7942_0265
SYNPCC7942_RS01355,Synpcc7942_0266
SYNPCC7942_RS13905,
SYNPCC7942_RS01360,Synpcc7942_0267
SYNPCC7942_RS01365,Synpcc7942_0268
SYNPCC7942_RS01370,Synpcc7942_0269
SYNPCC7942_RS01375,Synpcc7942_0270
SYNPCC7942_RS01380,Synpcc7942_0271
SYNPCC7942_RS01385,Synpcc7942_0272
SYNPCC7942_RS01390,Synpcc7942_0273
SYNPCC7942_RS01395,Synpcc7942_0274
SYNPCC7942_RS01400,Synpcc7942_0275
SYNPCC7942_RS01405,Synpcc7942_0276
SYNPCC7942_RS01410,Synpcc7942_0277
SYNPCC7942_RS01415,Synpcc7942_0278
SYNPCC7942_RS01420,Synpcc7942_0279
SYNPCC7942_RS01425,Synpcc7942_0280
SYNPCC7942_RS01430,Synpcc7942_0281
SYNPCC7942_RS01435,Synpcc7942_0282
SYNPCC7942_RS01440,Synpcc7942_0283
SYNPCC7942_RS01445,Synpcc7942_0284
SYNPCC7942_RS01450,Synpcc7942_0285
SYNPCC7942_RS01455,Synpcc7942_0286
SYNPCC7942_RS13610,Synpcc7942_0287
SYNPCC7942_RS01465,Synpcc7942_0288
SYNPCC7942_RS01470,Synpcc7942_0289
SYNPCC7942_RS01475,Synpcc7942_0290
SYNPCC7942_RS01485,Synpcc7942_0291
SYNPCC7942_RS01490,Synpcc7942_0292
SYNPCC7942_RS01495,Synpcc7942_0293
SYNPCC7942_RS01500,Synpcc7942_0294
SYNPCC7942_RS01505,Synpcc7942_0295
SYNPCC7942_RS01510,Synpcc7942_0296
SYNPCC7942_RS01515,Synpcc7942_0297
SYNPCC7942_RS01520,Synpcc7942_0298
SYNPCC7942_RS01525,Synpcc7942_0299
SYNPCC7942_RS01530,Synpcc7942_0300
SYNPCC7942_RS01535,Synpcc7942_0301
SYNPCC7942_RS01540,Synpcc7942_0302
SYNPCC7942_RS01545,Synpcc7942_0303
SYNPCC7942_RS01550,Synpcc7942_0304
SYNPCC7942_RS01555,Synpcc7942_0305
SYNPCC7942_RS01560,
SYNPCC7942_RS01565,Synpcc7942_0307
SYNPCC7942_RS01570,Synpcc7942_0308
SYNPCC7942_RS01575,Synpcc7942_0309
SYNPCC7942_RS01580,Synpcc7942_0310
SYNPCC7942_RS01585,Synpcc7942_0311
SYNPCC7942_RS01590,Synpcc7942_0312
SYNPCC7942_RS01595,Synpcc7942_0313
SYNPCC7942_RS01600,Synpcc7942_0314
SYNPCC7942_RS01605,Synpcc7942_0315
SYNPCC7942_RS01610,Synpcc7942_0316
SYNPCC7942_RS01615,Synpcc7942_0317
SYNPCC7942_RS01620,Synpcc7942_0318
SYNPCC7942_RS01625,Synpcc7942_0319
SYNPCC7942_RS01630,Synpcc7942_0320
SYNPCC7942_RS01635,Synpcc7942_0321
SYNPCC7942_RS01640,Synpcc7942_0322
SYNPCC7942_RS01645,Synpcc7942_0323
SYNPCC7942_RS01650,Synpcc7942_0324
SYNPCC7942_RS01655,Synpcc7942_0325
SYNPCC7942_RS01660,Synpcc7942_0326
SYNPCC7942_RS01665,Synpcc7942_0327
SYNPCC7942_RS01670,Synpcc7942_0328
SYNPCC7942_RS01675,Synpcc7942_0329
SYNPCC7942_RS01680,Synpcc7942_0330
SYNPCC7942_RS01685,Synpcc7942_0331
SYNPCC7942_RS01690,Synpcc7942_0332
SYNPCC7942_RS01695,Synpcc7942_0333
SYNPCC7942_RS01700,Synpcc7942_0334
SYNPCC7942_RS01705,Synpcc7942_0335
SYNPCC7942_RS01710,Synpcc7942_0336
SYNPCC7942_RS01715,Synpcc7942_0337
SYNPCC7942_RS01720,Synpcc7942_0338
SYNPCC7942_RS01725,
SYNPCC7942_RS01730,Synpcc7942_0339
SYNPCC7942_RS01735,Synpcc7942_0340
SYNPCC7942_RS01740,Synpcc7942_0341
SYNPCC7942_RS01745,Synpcc7942_0342
SYNPCC7942_RS01750,Synpcc7942_0343
SYNPCC7942_RS01755,Synpcc7942_0344
SYNPCC7942_RS01760,Synpcc7942_0345
SYNPCC7942_RS01765,Synpcc7942_0346
SYNPCC7942_RS01770,Synpcc7942_0348
SYNPCC7942_RS01775,Synpcc7942_0349
SYNPCC7942_RS01780,Synpcc7942_0350
SYNPCC7942_RS01785,Synpcc7942_0351
SYNPCC7942_RS01790,Synpcc7942_0352
SYNPCC7942_RS01795,Synpcc7942_0353
SYNPCC7942_RS13910,
SYNPCC7942_RS01800,Synpcc7942_0354
SYNPCC7942_RS01805,Synpcc7942_0355
SYNPCC7942_RS01810,Synpcc7942_0356
SYNPCC7942_RS01815,
SYNPCC7942_RS01820,Synpcc7942_0357
SYNPCC7942_RS01825,Synpcc7942_0358
SYNPCC7942_RS01830,Synpcc7942_0359
SYNPCC7942_RS01835,Synpcc7942_0360
SYNPCC7942_RS01840,Synpcc7942_0361
SYNPCC7942_RS01845,Synpcc7942_0362
SYNPCC7942_RS01850,Synpcc7942_0363
SYNPCC7942_RS01855,Synpcc7942_0364
SYNPCC7942_RS01860,Synpcc7942_0365
SYNPCC7942_RS13915,
SYNPCC7942_RS01865,Synpcc7942_0366
SYNPCC7942_RS01870,Synpcc7942_0367
SYNPCC7942_RS01875,Synpcc7942_0368
SYNPCC7942_RS01880,Synpcc7942_0369
SYNPCC7942_RS01885,Synpcc7942_0370
SYNPCC7942_RS01890,Synpcc7942_0371
SYNPCC7942_RS13670,Synpcc7942_0372
SYNPCC7942_RS01900,Synpcc7942_0373
SYNPCC7942_RS01905,Synpcc7942_0374
SYNPCC7942_RS01910,Synpcc7942_0375
SYNPCC7942_RS01915,Synpcc7942_0376
SYNPCC7942_RS01920,Synpcc7942_0377
SYNPCC7942_RS01925,Synpcc7942_0378
SYNPCC7942_RS01930,Synpcc7942_0379
SYNPCC7942_RS01935,Synpcc7942_0380
SYNPCC7942_RS01940,
SYNPCC7942_RS01945,Synpcc7942_0381
SYNPCC7942_RS01950,Synpcc7942_0382
SYNPCC7942_RS01955,Synpcc7942_0383
SYNPCC7942_RS01960,Synpcc7942_0384
SYNPCC7942_RS01965,Synpcc7942_0385
SYNPCC7942_RS01970,Synpcc7942_0386
SYNPCC7942_RS01975,Synpcc7942_0387
SYNPCC7942_RS01980,Synpcc7942_0388
SYNPCC7942_RS01985,
SYNPCC7942_RS01990,Synpcc7942_0390
SYNPCC7942_RS01995,Synpcc7942_0391
SYNPCC7942_RS02000,Synpcc7942_0392
SYNPCC7942_RS02005,Synpcc7942_0393
SYNPCC7942_RS02010,Synpcc7942_0394
SYNPCC7942_RS02015,Synpcc7942_0395
SYNPCC7942_RS02020,Synpcc7942_0396
SYNPCC7942_RS02025,Synpcc7942_0397
SYNPCC7942_RS02030,Synpcc7942_0398
SYNPCC7942_RS02035,Synpcc7942_0399
SYNPCC7942_RS02040,Synpcc7942_0400
SYNPCC7942_RS02045,Synpcc7942_0401
SYNPCC7942_RS02050,Synpcc7942_0402
SYNPCC7942_RS02055,Synpcc7942_0403
SYNPCC7942_RS02060,Synpcc7942_0404
SYNPCC7942_RS02065,Synpcc7942_0405
SYNPCC7942_RS02070,Synpcc7942_0406
SYNPCC7942_RS02075,Synpcc7942_0407
SYNPCC7942_RS02080,Synpcc7942_0408
SYNPCC7942_RS02085,Synpcc7942_0409
SYNPCC7942_RS02090,Synpcc7942_0410
SYNPCC7942_RS02095,Synpcc7942_0411
SYNPCC7942_RS02100,Synpcc7942_0412
SYNPCC7942_RS02105,
SYNPCC7942_RS02115,Synpcc7942_0414
SYNPCC7942_RS02120,Synpcc7942_0415
SYNPCC7942_RS02125,Synpcc7942_0416
SYNPCC7942_RS02130,Synpcc7942_0417
SYNPCC7942_RS02135,Synpcc7942_0418
SYNPCC7942_RS02140,Synpcc7942_0419
SYNPCC7942_RS02145,Synpcc7942_0420
SYNPCC7942_RS02150,Synpcc7942_0421
SYNPCC7942_RS02155,Synpcc7942_0422
SYNPCC7942_RS02160,Synpcc7942_0423
SYNPCC7942_RS02165,Synpcc7942_0424
SYNPCC7942_RS02170,Synpcc7942_0425
SYNPCC7942_RS02175,Synpcc7942_0426
SYNPCC7942_RS02180,Synpcc7942_0427
SYNPCC7942_RS02185,Synpcc7942_0428
SYNPCC7942_RS02190,Synpcc7942_0429
SYNPCC7942_RS02195,Synpcc7942_0430
SYNPCC7942_RS02200,Synpcc7942_0431
SYNPCC7942_RS02205,Synpcc7942_0432
SYNPCC7942_RS02210,Synpcc7942_0433
SYNPCC7942_RS02220,Synpcc7942_0434
SYNPCC7942_RS02225,Synpcc7942_0435
SYNPCC7942_RS02230,Synpcc7942_0436
SYNPCC7942_RS02235,
SYNPCC7942_RS02240,Synpcc7942_0437
SYNPCC7942_RS13920,Synpcc7942_0438
SYNPCC7942_RS02245,Synpcc7942_0439
SYNPCC7942_RS02250,Synpcc7942_0440
SYNPCC7942_RS02255,Synpcc7942_0441
SYNPCC7942_RS02260,Synpcc7942_0442
SYNPCC7942_RS02265,Synpcc7942_0443
SYNPCC7942_RS02270,Synpcc7942_0444
SYNPCC7942_RS02275,Synpcc7942_0445
SYNPCC7942_RS02280,Synpcc7942_0446
SYNPCC7942_RS02285,Synpcc7942_0447
SYNPCC7942_RS02290,Synpcc7942_0448
SYNPCC7942_RS02295,Synpcc7942_0449
SYNPCC7942_RS02300,Synpcc7942_0450
SYNPCC7942_RS02305,Synpcc7942_0451
SYNPCC7942_RS02310,
SYNPCC7942_RS02315,Synpcc7942_0453
SYNPCC7942_RS02320,Synpcc7942_0454
SYNPCC7942_RS02325,Synpcc7942_0455
SYNPCC7942_RS13675,Synpcc7942_0456
SYNPCC7942_RS02330,Synpcc7942_0457
SYNPCC7942_RS02335,Synpcc7942_0458
SYNPCC7942_RS02340,Synpcc7942_0459
SYNPCC7942_RS02345,Synpcc7942_0460
SYNPCC7942_RS02350,Synpcc7942_0461
SYNPCC7942_RS02355,Synpcc7942_0462
SYNPCC7942_RS02360,Synpcc7942_0463
SYNPCC7942_RS02365,Synpcc7942_0464
SYNPCC7942_RS02370,Synpcc7942_0465
SYNPCC7942_RS02375,Synpcc7942_0466
SYNPCC7942_RS02380,Synpcc7942_0467
SYNPCC7942_RS02385,Synpcc7942_0468
SYNPCC7942_RS02390,Synpcc7942_0469
SYNPCC7942_RS02400,Synpcc7942_0470
SYNPCC7942_RS02405,Synpcc7942_0471
SYNPCC7942_RS02410,Synpcc7942_0472
SYNPCC7942_RS02415,Synpcc7942_0473
SYNPCC7942_RS02420,Synpcc7942_0475
SYNPCC7942_RS02425,
SYNPCC7942_RS02430,Synpcc7942_0477
SYNPCC7942_RS02435,Synpcc7942_0478
SYNPCC7942_RS02440,Synpcc7942_0479
SYNPCC7942_RS02445,Synpcc7942_0480
SYNPCC7942_RS02450,Synpcc7942_0481
SYNPCC7942_RS02455,Synpcc7942_0482
SYNPCC7942_RS02460,Synpcc7942_0483
SYNPCC7942_RS02465,Synpcc7942_0484
SYNPCC7942_RS02470,Synpcc7942_0485
SYNPCC7942_RS02475,Synpcc7942_0486
SYNPCC7942_RS02480,Synpcc7942_0487
SYNPCC7942_RS02485,Synpcc7942_0488
SYNPCC7942_RS02490,Synpcc7942_0489
SYNPCC7942_RS02495,Synpcc7942_0490
SYNPCC7942_RS13925,Synpcc7942_0491
SYNPCC7942_RS02505,Synpcc7942_0492
SYNPCC7942_RS02510,Synpcc7942_0493
SYNPCC7942_RS02515,Synpcc7942_0494
SYNPCC7942_RS02520,Synpcc7942_0495
SYNPCC7942_RS02525,Synpcc7942_0496
SYNPCC7942_RS02530,Synpcc7942_0498
SYNPCC7942_RS02535,Synpcc7942_0499
SYNPCC7942_RS02540,Synpcc7942_0500
SYNPCC7942_RS02545,Synpcc7942_0501
SYNPCC7942_RS02550,Synpcc7942_0502
SYNPCC7942_RS02555,Synpcc7942_0503
SYNPCC7942_RS02560,Synpcc7942_0504
SYNPCC7942_RS02565,Synpcc7942_0505
SYNPCC7942_RS02570,Synpcc7942_0506
SYNPCC7942_RS02575,Synpcc7942_0507
SYNPCC7942_RS02580,Synpcc7942_0508
SYNPCC7942_RS02585,Synpcc7942_0509
SYNPCC7942_RS02590,Synpcc7942_0510
SYNPCC7942_RS02595,Synpcc7942_0511
SYNPCC7942_RS02600,Synpcc7942_0512
SYNPCC7942_RS02605,Synpcc7942_0513
SYNPCC7942_RS02610,Synpcc7942_0514
SYNPCC7942_RS02615,Synpcc7942_0515
SYNPCC7942_RS02620,Synpcc7942_0516
SYNPCC7942_RS02625,Synpcc7942_0517
SYNPCC7942_RS02630,Synpcc7942_0518
SYNPCC7942_RS02635,Synpcc7942_0519
SYNPCC7942_RS02640,Synpcc7942_0520
SYNPCC7942_RS02645,Synpcc7942_0521
SYNPCC7942_RS02655,Synpcc7942_0522
SYNPCC7942_RS02660,Synpcc7942_0523
SYNPCC7942_RS02665,Synpcc7942_0524
SYNPCC7942_RS02670,Synpcc7942_0525
SYNPCC7942_RS02675,Synpcc7942_0526
SYNPCC7942_RS02680,Synpcc7942_0527
SYNPCC7942_RS02685,
SYNPCC7942_RS02690,Synpcc7942_0529
SYNPCC7942_RS02695,Synpcc7942_0530
SYNPCC7942_RS02700,Synpcc7942_0531
SYNPCC7942_RS02705,Synpcc7942_0532
SYNPCC7942_RS02710,Synpcc7942_0533
SYNPCC7942_RS02715,Synpcc7942_0534
SYNPCC7942_RS02720,Synpcc7942_0535
SYNPCC7942_RS02725,Synpcc7942_0536
