Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
HKK26_RS00005,0.02238926186472256,-0.006085050573442719,0.026773529258065573,0.0021161222372320485,0.004468677818344558,0.004129921742117276,0.0023183644818428593,0.014972743554338048,-0.013431122828706456,-0.018375015423037,0.03192043124058339,0.021084198233164337,0.0020799970746876893,0.03168513405187737,-0.03115943120126332,-0.019968998429352333,0.06763135662082681,-0.02017288850978181,0.018334425775394795,0.00813002605100205,-0.03484530752886025,-0.0007047076657864124,0.004415483856182548,0.010685013257270077,-0.01804291696078702
HKK26_RS00010,-0.004248788896148063,0.002379753054883116,0.009764465590874292,0.036966741383327284,-0.005310075233335189,-0.007696692746116237,-1.3032817193393627e-05,-0.027752276414117115,-0.01670007347982825,-0.006821723869841919,0.012871506057292958,-0.032252801512781856,-0.0012051108312153423,-0.008496806495241252,-0.009040799063435748,0.012912315915944342,0.01766762299470366,-0.017079830706795297,0.11480701725787024,-0.017096088036572536,-0.016956114791095645,-0.009125405383795464,0.023823978638529152,0.010319033856370048,0.01822226566091738
HKK26_RS00015,-0.030716902691213757,-0.02304756653157893,0.00244843538905547,0.0006031837610920557,-0.01588901249629547,0.030928933097084443,-0.026921267096672405,-0.06797630765229855,0.05380642636309881,0.019373897720914645,-0.017841704678074593,-0.011505527301982423,0.0029830269385623114,-0.006315743977214347,0.0026422695462457475,-0.0036172174288127768,0.015056359679845319,-0.010459566682812884,0.04046329519288393,-0.026756782435916837,0.004162673858192799,-0.03171680516648732,0.022247399083571862,0.03621917957540073,-0.015500179889381885
HKK26_RS00020,-0.04792843700215971,0.009629686895923983,-0.011512942095506316,-0.012822396800296914,0.01571419713721481,0.03880115438636837,-0.028701855904749333,-0.0036989220345637064,0.003839466499132126,0.0026678241251076973,-0.01978823572101216,-0.00464385805959836,0.031763357592034254,0.006359829853062218,0.00710252629519612,2.204769623923915e-05,0.033792170716675285,-0.0536774158297218,0.05142243314115218,-0.04540470917674872,0.005695696125234453,-0.022218838401859807,-0.022185722996133205,0.01094757495344824,0.0016777203063903933
HKK26_RS00025,-0.007343581837382842,-0.006343956162595112,0.006790586910840007,0.01564417706823593,-0.02515794720445903,0.035528978688042605,-0.00957128887845723,-0.03376648811471695,0.06421905752375003,-0.01937132140098326,-0.02796996235304309,-0.025021501376512864,0.0241331453098488,0.006568474077954581,-0.004538282307416584,0.00235105516341189,0.05597453951299389,0.038205751140993185,-0.0007568477704838279,-0.019704747025848537,-0.00753756382717435,-0.020854404528150638,-0.026950237673983003,-0.01286797319790029,0.0019753552428440125
HKK26_RS00030,0.0032797307470547243,-0.015560644481790089,0.010869015885561013,0.022515876070630807,-0.011381358192193386,0.014976253016213848,-0.009481098343216022,-0.02675208058498099,0.05081938215796542,0.016179623739654536,0.02121378304495013,-0.014828755740788728,0.005898403442447476,-0.005837678866058544,-0.009122131994742618,0.04940551566820495,-0.00403908503057435,0.001907723871059771,0.012566152832590195,-0.01296973236612303,-0.012855176946674117,-0.008791964002245413,-0.019500477103183308,0.01657454356387058,0.03149795301914292
HKK26_RS00035,-0.017036455850335565,0.02115537273608585,0.022746822457591024,-0.0039034860811541197,0.024871838518458405,0.025819658647761378,-0.002924625675620952,-0.012422893390510129,0.04073994904781345,0.019387984584979905,0.014551236227797696,-0.007616517453042725,0.01852060043282389,-0.011810161889922925,-0.01141204340229686,0.004726203096666649,0.10758888173695523,0.08338083799108428,-0.016965879139668124,-0.0134001465026942,5.428481782186696e-05,-0.00495470461475486,-0.02182339051678285,0.016432282140278885,-0.002369165483178971
HKK26_RS00040,0.007620971163534354,-0.013554930078688153,-0.0027196605565291774,0.030746153593137322,-0.020062000566982294,-0.001208263003134098,-0.018095915641145252,0.0017403630766911263,0.01832899912463092,-0.03844676659622348,0.01855852922892931,-0.006096817929528463,-0.002342801370890838,-0.014210346087368209,0.012207557510004408,0.014943246208298013,0.011901647044951367,-0.0014519988683661417,-0.005843346007886113,0.008969759210249785,-0.01678400319346796,0.0004093604247500144,0.004133232285079733,-0.025715099377577162,0.04947781532061385
HKK26_RS00045,0.00033778541618048277,-0.0023978447201106075,-0.006053941735049683,-0.03824568060459241,-0.034331029295789274,0.035034021898017506,-0.0013828169341398287,0.019939683527251513,0.025359184888554154,-0.01403866209853536,-0.0057961368493086645,-0.012453779145220927,0.008820655596446993,0.05995113906183084,0.046395470719292994,0.02885212897962462,0.06527379426579437,0.03591118846581473,0.009545443167093123,-0.01696486217658845,-0.0318004073999665,0.005734600196480026,0.02464522055082556,-0.007493428006826576,0.029493107436246335
HKK26_RS00050,-0.019179079979191122,-2.5051305994706754e-05,0.029569234843017763,-0.023397239239072627,-0.00031076823085292413,-0.008245190963483225,0.0018562162297133388,0.005739293964897243,0.01336115868859533,0.000402220003086755,0.0023688192402869313,-0.0038908401385851494,0.0010010355041224278,0.01328647894164709,0.007626854862684701,0.011592815840581208,0.004510658239809926,-0.013690204097428143,-0.00794918455462146,-0.01055562337830697,-0.008861498312661113,-0.013302308763362265,0.014317937392178097,0.0037859884070087575,0.026386684702793005
HKK26_RS00055,-0.019153738931177767,-0.006182622733996187,0.027114972393257032,-0.02167780599545992,0.009388943587872588,0.009809292207764197,0.01077205819920226,-0.007057230608320431,-0.005253017812098336,0.02089326230888372,-0.006867828767055917,-0.010549917049619415,-0.007217104453861209,0.0025753402650139272,-0.009744821887388845,0.016274574230837717,0.029441282708520863,0.012819511946125375,0.011303703864421876,-0.03458719704388351,-0.011358272600095714,-0.0012725032603174658,-0.031345601985801955,0.015361813160992594,0.02593718135996907
HKK26_RS00060,-0.0481269677958803,-0.03294749840509414,0.0067087138413088445,-0.0017769725764197567,-0.0020831336290562273,0.018594074216249593,0.018617905974534214,-0.012171240933137779,-0.007470830983623993,-0.011483030110195466,0.008579619172227772,-0.01564355024367878,0.03319793888092186,0.0033484646313529046,-0.002080246156081796,0.015069110667410502,0.01750219366937519,-0.01705834663552303,0.03340677502834649,-0.02593119526022158,-0.0013826796636549664,-0.00520676352168752,0.01638814292362695,0.00017203910623995205,-0.02072169810411055
HKK26_RS00065,-0.0898434238180978,-0.0586255629986837,0.047197530228987886,0.031939673659445604,-0.0019522735087790677,0.020453347932028482,-0.016285236231425356,-0.03401976489673584,-0.060908587721022804,-0.03732908067636025,0.08049624405555271,-0.02240745591095413,-0.0694088264110757,0.04634186293895023,0.00815844214085068,-9.509063362523872e-05,-0.009011075824712044,-0.06327619685742296,-0.005182425708405852,-0.04393869806164481,-0.008870823204741298,-0.009289820106144524,0.08762416330286138,-0.04008652729367264,0.06927810018709683
HKK26_RS00070,-0.06663634800608408,-0.04561858021130729,0.03617086969374722,0.0347156702356544,0.02027492562844496,0.004428432832474478,-0.0029459688646875765,-0.002876159441815175,-0.021509587896400683,-0.011108265076226698,0.027387646318095846,-0.006742621071696875,-0.03987319925814944,0.03187663851707116,-0.00996527379332814,0.001502741503756669,0.0035536705607840295,0.018336408221655495,-0.016489757024482528,-0.03001113816911188,-0.012191322601892469,0.0019394594396530303,0.06184192044781464,-0.0363025278463677,0.06228555878698981
HKK26_RS00075,-0.05065898813420748,-0.05615644121031942,0.021028617902945503,0.04488390102834932,0.03214348526113214,0.03148640431777137,-0.015018552411631358,-0.009283606094135942,-0.029333473290591928,-0.02205838936001964,0.023454900925224544,-0.010780415076402787,-0.04262063770293084,0.028881078144927814,0.004436808894293998,0.01959715929174694,-0.005230862075503992,-0.03694689235896185,0.0011291304622626484,-0.04356526952631925,-0.008438658546500864,-0.00790283942765753,0.06638696661661721,-0.03990283923556728,0.04541399261426037
HKK26_RS00080,-0.03462233196625645,0.015134720853594267,0.026101108562290677,0.011433748913825575,0.02190392128982604,-0.002581625018191508,0.0057845333563215084,-0.01681794921202138,0.019709799039651966,0.00027688296466065707,0.03353967791051097,-0.004491926452228938,-0.05269258462727541,-0.009870457734238985,0.026611992315832347,-0.005859296161791408,0.013934666644012795,0.017928970808645417,0.007550470456260304,0.006173210121748869,-0.0140439630937244,-0.009630452259170481,0.03000994212428682,-0.0058356152440198214,-0.01334146668086463
HKK26_RS00085,0.02550481028350236,-0.0016395920803904404,0.005713026026048336,0.0008898417482913562,0.02042056098267299,-0.03108473922480239,0.027859721364099754,-0.026378917934497374,-0.049333103068621584,0.04364819293092203,0.028464927184043424,-0.002610748725935641,-0.020853194042943776,0.0010914301807358811,0.06605007084395308,0.005975480422365779,0.03699982026742937,-0.028903833232968554,-0.007049295379088851,0.029589489056258956,0.0009455328278542529,-0.01332403530579014,-0.01267812744366097,-0.04206575385226923,0.007897061631046946
HKK26_RS00090,-0.025484802372257538,-0.0077715789232567015,0.022594210982550253,-0.016466651765566998,0.011430848010586397,-0.007950344205615687,0.007323212035979159,0.00180282577502789,0.02266258537816985,0.003925164071978287,-0.008738480208276346,-0.005152250585078702,0.015561279512344999,-0.0005095657599775309,0.0271704036065981,0.017154543549355777,0.015765247626504365,-0.009694961613094256,0.0040049514120235104,-0.008124481973469207,-0.022977203777527423,0.005245031320710789,0.019809410305439087,-0.021309255414304104,0.006600838669400759
HKK26_RS00095,-0.013037155192835069,0.009226285940629853,-0.00278535457537556,-0.013109811781170065,0.00014162389550074992,-0.002804758914619486,-0.0018651708903695335,0.006876329690929836,0.035415737775939544,-0.021798300324698743,0.017391501842336166,-0.008678519848322127,0.019133090903424476,0.007691468424933963,0.008026410053934901,0.02023012229918455,0.015706979989345556,-0.031240016298119164,0.004248264605866682,-0.022567417342610842,-0.021093306559828835,0.003529953621057112,0.02806291956929094,-0.027322268599759742,0.00326814879788774
HKK26_RS00100,-0.0003378553652523385,0.02273353391333591,0.013028603835341067,-0.011702068435964464,-0.017933097229962527,-0.003703936086307167,0.00478260927122154,-0.005151815033403003,0.0353447687587464,0.00493037992038237,0.0170160582257338,-0.009642128676720403,-0.026477560617134882,0.01049804964838089,-0.003653196094804698,0.014981920303883236,0.00980991935269495,-0.015319503007149635,0.005832321437622944,-0.0069031203938489435,-0.020962896221424075,-0.0011278917909514409,0.024424217653126287,-0.012214487659555087,0.0030663495512683056
HKK26_RS00105,3.31993354208814e-05,-0.010522308141539406,-0.007887393696954013,-0.01745090750307627,0.004930925895777692,0.005125982020809855,0.004780832613919892,-0.00372013921113613,0.01841947620199357,0.008658162296045034,0.013544373783401157,-0.005014505129378035,-0.010164349100173251,0.004632325271059914,-0.007697145062073766,0.03190065814495819,-0.0011143552697907408,-0.009958721543534882,-0.010794021993916016,-0.008324730806588444,-0.012689459031114602,0.00022292348895526889,0.015477731500573647,-0.013009315276648442,-0.006043906945676002
HKK26_RS00110,-0.014647664815156584,-0.009224678515544073,0.008479026423069578,0.0019354919515490714,-0.024422960837996888,0.0028058279256241905,-0.0008834874821501659,0.008616597753540478,0.009755454030161734,-0.007556884280911284,0.021753699643143266,-0.018954857470423043,-0.005235002589946339,0.019312500469449125,0.009299981137605216,0.016460388826248142,0.04510027799867165,-0.02001461209579601,-0.01772824358498948,-0.0068636974895035854,-0.019995581037766597,0.012851806747121074,0.000220268088914055,0.009490235398976407,0.007236013023687351
HKK26_RS00115,-0.018285770049432014,-0.010986055877267998,0.011757275173933204,0.0034181697564200576,-0.024312608576248985,0.001201091131225699,-0.01188810342949253,-0.005762382546214977,-0.0018016152669341914,0.011702586422457036,0.02893580566776832,-0.027707595658588723,0.003833382394532641,-0.00019209491655639645,0.04091346240434883,0.005088344952943643,0.03683261232169269,-0.010785802226260466,-0.017840790806917865,-0.0020802066007930536,-0.011090763337580332,-0.011700662214042,-0.021220010753791287,0.024793528639199786,0.003522121747092503
HKK26_RS00120,-0.01982375338466159,-0.029422080392215923,0.005081408149778176,0.00753011778525287,0.009710965334682808,0.01452667172149832,0.01438581204721736,-0.021742468886447965,0.025107870239265643,-0.0030809257615804545,0.021114855816152807,-0.026623370729095357,0.009302965877314278,-0.0031403192254640584,-0.04315528066146485,0.006092325495184774,0.009662725563570042,-0.012973977926278786,0.0014126798275298736,-0.018009732996788885,-0.009963261125341526,0.011553982585082875,0.029550285004513937,0.0062398487008732,0.01859170176057252
HKK26_RS00125,-0.01899050910812405,-0.012454215589094923,0.003253098544959262,0.018751009734324947,0.01414231962601055,-0.003935448859849758,0.0041967902130741344,-0.014249162313666628,0.02876815117743674,0.028196366827620008,0.007913577293146663,-0.028074149473909807,-0.009263851698027008,0.0024268543294475343,-0.01050260015924486,0.012259410536082243,0.006571760413309861,0.01787675409970662,0.02082381116844304,-0.01616257640652998,0.0023060033096084244,-0.002924818727408974,0.04070968022050875,0.006725013777592884,0.04233718987093636
HKK26_RS00130,0.01707988109566446,-0.022825015374186495,-0.02893971985650345,-0.004551657997855329,0.00868362465285129,-0.02297221308044828,-0.019761115691567854,0.04055378486717478,0.0336475795111353,0.03130218787094932,0.0020828503635756126,-0.008221829925498532,0.11673580724425246,0.017888121616783853,0.003153022739330082,0.07112503240959095,0.010794270122689471,-0.02128638596358206,0.013863641431863442,0.014879575547047741,-0.014054032458851083,0.002174612529979798,0.02475357253425612,0.010185851183803963,0.008146838094612134
HKK26_RS00135,-0.03392585608813494,-0.0027285361828707938,0.009280068472795978,0.024501215799407193,0.02089133263860622,0.00041501141938715983,-0.008380705398560966,0.00039565333874879175,-0.002051697825924507,-0.003820878688578855,0.010139657646813096,0.0014071974759838684,0.02122697062049131,0.007053254063703296,-0.0014045605348986282,0.008856326893438446,0.006938597297957232,-0.018937829198359093,0.0020538138800106883,-0.026012575689234426,-0.020989409305192056,-0.006356234879493381,0.010292733789056808,-0.009827899013860355,-0.030231878386248832
HKK26_RS00140,-0.0065098741150590046,-0.023544801981138154,0.00722748166761295,0.04248556275815449,0.018531897444482526,0.013752649347811886,-0.030042878219865055,-0.015508415665189526,0.002305112500025606,0.008502872373089948,0.01704478764358349,-0.0022605516734575653,0.021076273179650395,0.0017065224900027747,0.005686541415807251,0.02447938431422498,0.02087798668512031,0.012451558625270058,0.020326972148922352,-0.025240585048133927,-0.03479916231242091,0.007824540870382942,-0.018051171043997002,-0.02491813928044958,-0.03935306719256256
HKK26_RS00145,-0.04986628838969922,0.00851397594074555,-0.002030029564730742,0.020352156249065532,0.01884891874865138,0.031160432958737626,-0.027725895564603614,0.003595305757480078,-0.005257040114020838,0.015382782251013777,-0.004031327992079526,0.011380279031231693,0.03448173014144083,0.007418888485833841,-0.0026323033863487107,0.015924543043988607,0.005630090380718971,-0.00040161516179606686,-0.007534777748832388,-0.031947232320657076,-0.0064646343505103,-0.018932341795484274,-0.005718348569610721,-0.012544928154902303,-0.03759125392585833
HKK26_RS00150,-0.004662013312389638,-0.0167210169051689,0.009713283111075131,-0.00231666496988675,0.02603811334001218,0.036183413150421256,-0.03756476769678807,0.009436253251424581,0.005031563122567874,0.023103070343687342,-0.0022380951550702312,0.006158139180472651,0.024542474548995316,-0.00588664357733562,-0.0008688892585238047,0.007970533138998892,0.008143493184377201,-0.009715233324096689,0.029287659832736845,-0.020923684515338804,-0.021469590268574375,-0.0014889916446563331,-0.004259177752539236,-0.025923697439393774,-0.006586574968475369
HKK26_RS00155,-0.00894237514145396,-0.00653926594266801,0.009695567275326448,0.018045472031627353,-0.017617575271578055,0.03082336692915065,-0.008555255477749275,-0.021213646445516498,0.04783617972009045,-0.01038558474568338,0.020576509913552133,-0.028698275433351007,0.08258372874493153,-0.012181804147094265,-0.005883314325818595,0.021958863946942776,0.01957368900458714,-0.007922406519285469,0.046205863988988,0.0016782855030655045,0.0016860660132300596,0.00390056628941884,0.009765615071310687,0.009151596310115983,-0.016264130622880364
HKK26_RS00160,-0.00031343091321476847,0.012101577332405055,-0.004591490188532151,0.04355747058632426,0.12019397910243246,0.011199616475884168,-0.010457514254223445,0.0013547178284252818,0.022202015123585758,-0.00798639493093953,0.04137540599331895,-0.009150835362589057,0.01128863851007309,-0.01460310391378726,-0.0037723982068528362,0.02519461777381768,0.07693968947434493,0.013287310639880322,0.0049230258759532354,-0.0327503047736806,-0.02058556794717993,-0.0013788029667653504,0.018776469209679358,-0.0009636075237884976,0.018296795218136316
HKK26_RS00165,-0.04770320627328999,0.024047912161572406,-0.003185559585980064,0.04152966186957217,0.035483145709277575,0.017620875900511934,-0.00627315679323803,-0.014391153944495284,0.03328606498231031,-0.011331910720516765,-0.0015344415115913243,0.004673075486201524,0.022498071248411602,0.001137431148678167,0.00711939141009743,0.00852551320550587,0.0015719122341748383,-0.004642742400224041,0.0054422342740577416,-0.06264766214101387,-0.03053436769923038,-0.011991792213376313,-0.011305519748629424,-0.03316801992797817,-0.02865083488599947
HKK26_RS00170,-0.022571742577626522,-0.01024196805805475,-0.004497137636384103,-0.011484682615610552,-0.01953023001224542,0.00803854638507338,0.003549349425547168,-0.0003369919547050853,0.0293095825546082,0.00041793081519800557,-0.0165984101278719,-0.018298064567877238,0.003371570423558193,0.01918004781037285,0.008884013208967423,0.010181984026261057,0.0749457830832853,0.03314123355766219,-0.010109908544771649,-0.034837401934880725,-0.013790124188280375,0.0037083134947890136,0.011121566462804404,-0.022494569725868597,0.0006853647098841234
