Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
HKK26_RS00005,0.032370114375242946,0.0014491995817608899,0.0022566069159870527,-0.04475538452864062,-0.01189178910084611,-0.03857485128899896,-0.002910869490336807,-0.029799353093967987,0.0194945957498111,-0.011724729279727045,-0.006370905573099086,-0.003994417147366067,-0.015351500939125845,0.014411371752343853,-0.0020480213827243606,0.0535654473607611,0.006197178898312301,0.026433080624826733,-0.005849899196331214,0.005500781675429037,0.004659513587019809,0.06806051091559842,-0.002026069425340348,-0.024020834710306953,-0.0061933931838708154,-0.014433370511237616,0.014034293486515702,0.0160852727776264,0.011878148879502157,0.019751018587690274,0.01017346131552117,-0.0012820170742001938,0.00422529581702014,-0.05045948805631905,-0.031188991410732694,-0.00969349843033469,0.0017114929575175598,-0.00760882146482969
HKK26_RS00010,0.01490477502160189,0.009520580903239656,0.024806430737430184,0.013517968815185102,-0.00459513288797499,-0.009780143877648756,-0.0056159897995830465,-0.024231460209256542,0.0307250609774997,-0.0014544786033767018,0.007955164433531118,-0.004070861267942946,-0.013222485248764073,-0.006597016463657904,-0.015137509978263792,-0.00014197355619166436,-0.01987673618428911,0.01032362264719034,-0.0007424634580640796,-0.0017193751436995913,0.008576666398909527,-0.005245182040186067,0.015323487740650761,-0.0006233740699688125,0.01039288561095644,-0.019024903422352836,0.13641777038851685,-0.012883356518238086,-0.005038361164805505,-0.015069131543731976,-0.0062516598780041266,0.0016871613440629712,0.002690264376140622,-0.024510164836504617,-0.01587392671493804,-0.022791204659615982,0.016007456963027872,-0.038437581037967114
HKK26_RS00015,0.008439479925907314,0.018289566115132685,0.028414044721740278,0.0025901745145339564,0.012979253221571578,-0.013946867668937228,0.011267571857981502,-0.010887846210051382,-0.005010745334441163,-0.020666591510602052,0.06472150660911216,0.012152258745267007,-0.021545860485038877,-0.012737801819366039,0.013826585678500276,-0.006452616625475746,-0.0035715928667388857,-0.016826569909960235,-0.024051460435002253,-0.008544825526918778,0.029806613927575266,-0.0006316579999317501,0.005622295473847346,0.007531309316499413,-0.0018979112794719427,-0.03037328772984796,0.008351519419358853,-0.006702277499893265,-0.03876168247153665,0.008454442982285345,0.0030466602648577057,0.028006104539165216,-0.02261162552773121,-0.005725144801864044,0.005551373340359326,0.06711477327145736,0.020259933194572116,-0.013092172855264162
HKK26_RS00020,0.009831430059208494,0.046667934767090094,0.004075117169632876,0.00812878381827438,0.007034007522174069,0.012971162014208226,-0.019002310818084997,-0.0027433085319100475,-0.01406428606512581,-0.0033807711354607727,0.06573631491949371,-0.007707221894010978,-0.01083183090442534,-0.0224469018015233,-0.018753231536963556,-0.0026898691052743688,0.0020315214984124113,-0.011135388115579037,-0.031156384321496318,-0.0008405772239190123,0.007671891596326943,0.0037239145021031846,0.01775968325331793,-0.0077764460634370276,0.01185649350477682,0.017536336821925225,0.0192996908215579,-0.006000534767206127,-0.014729081980985197,0.006362175517729794,0.020199281398765593,0.0015964295924435206,0.003360149481858774,0.00648357868765249,0.01584261519079124,0.04277447363157388,-0.03141168846776306,-0.008989233658450188
HKK26_RS00025,0.02533143874115955,-0.0009678530542051168,-0.012329795209320718,0.0057299296368890145,-0.0028899962265932643,0.017764780379005102,0.040650204830169845,-0.023838446945350013,-0.060810447481407515,-0.01641524068417736,-0.001434051608639582,0.0002896297747541776,-0.03432336681673876,-0.030928237108142867,0.07143922702106524,-0.003961547206500326,-0.020226719406373713,-0.00047112444204425977,0.016069938173006,-0.00865782737869184,0.03484867855334558,0.028498226447161167,-0.009141491480331103,0.01005754856144035,0.009795706928946392,0.0010954624925850018,0.010515355659081056,-0.022680542925387962,0.006355305934162462,0.01392725274823766,-0.03991623469225162,0.0035320701927890434,0.02965648174598836,-0.0012880913598545343,0.036114589488359355,0.03183998650298093,0.012884268541341093,0.02135660183902151
HKK26_RS00030,0.009153704735364311,-0.007642231776439785,-0.0018998606570839612,-0.008529949528600153,0.007735564752445071,0.0012453250613571514,0.047519840548088416,-0.005293811723216156,-0.011409917639721373,-0.0011845910939973926,0.022967519927377535,0.01200883153857632,-0.01729226037416319,-0.0064357883118567084,0.002595744260257228,-0.012957266937091365,-0.05068806836004236,0.005042327672106172,0.007353788051671788,-0.019270739712725714,0.02835533332230501,0.004472135439629334,-0.011461357554287767,0.01475436846716044,-0.01607746204030001,-0.00827629717337377,-0.015978134672992833,-0.0079511104585126,-0.013639732925252345,0.005073952056457404,-0.02723721016139714,-0.013579289816880006,-0.00602071158453304,0.025265214707547345,0.010965201250567623,0.05857851982833969,-0.013508829803773303,0.00399799417840909
HKK26_RS00035,0.009181716253404158,0.003500924087067505,-0.008652815575534252,-0.014184000104623617,-0.0027927026848266244,0.010646353476906094,0.006764824473569432,-0.009438461435206612,-0.0017600848746827063,0.01616592324945042,0.022794364166890513,0.0222476900361133,0.010949054232009344,-0.008278920533963978,0.06664284147893508,-0.02477520034297735,-0.011608006942781279,0.02065239221771041,0.001259006688178228,-0.015743341840538355,0.00723663415087155,0.10048354678794799,0.007329503343002707,0.016805066157783807,0.057007344946831184,0.013054381975071937,-0.012527024151174937,0.009345781004371776,-0.003632986287624933,-0.021213190363032215,0.01942217708458754,-0.005725350417176283,0.0018172858048793642,-0.01733539292879418,0.026137482907751478,0.009446483083742694,0.009307789215503246,-0.030334078839577627
HKK26_RS00040,0.012035266119198883,0.01218880309558449,0.0010770954327383028,0.03817279178053628,-0.013641555413832065,-0.0436240968363974,-0.023587014935601537,-0.02351473610144865,-0.02485248076382907,0.005286979495798007,-0.03370056979180464,0.015226814283964675,-0.014417528294569978,0.004916070600359868,0.008951247191130902,-0.02236726866577107,-0.0132717925835786,0.008038920661698708,-0.0001367478684223753,0.002772803655782563,-0.005616071976265534,-0.0004850535670029089,0.003632319325758141,0.0057808218628389195,0.003962397240457272,-0.020713933468476723,-0.002566827766987854,0.010336476195508409,-0.01434758552206014,0.0004927002016013031,0.04571227505246953,0.022915911156000567,-0.03178107449607689,0.030660441594381176,0.007257007371951265,0.004137279754010073,-0.03223310537769616,0.03301393083377163
HKK26_RS00045,0.017504488955127594,0.011275826690881216,0.002227532028373254,0.08128583613098268,-0.02325996335998745,-0.0025417618577946114,-0.012479788464121568,-0.034930733309626934,-0.019860743604569808,0.030893144043769766,-0.021635986576724473,0.02616285278577076,-0.017812596724417006,0.002590002324253859,0.00876786418710758,0.003834514628484683,-0.01355194379106152,-0.009526174110964012,0.07832419974879494,-0.004550720135426649,-0.07957957005153948,0.05087683123414018,0.00392397853853205,-0.0019556142504010745,0.006531039928994696,-0.024637562429190813,0.049942757966183665,0.011476097175700263,-0.001510709060748196,-0.00957302152240194,0.017649367712875216,-0.004786787120871242,-0.002493898952039544,-0.008739635338093136,0.005862477027941618,0.012142206282370314,0.0032555356149578697,-0.11648920379023092
HKK26_RS00050,-0.0046710478521724535,0.033850722706025044,0.01406533093729408,0.030726945271099156,0.03560395774897907,-0.004101761432640038,-0.019475637803263737,-0.0324070120686864,-0.0010779701092365973,-0.014727478167375742,-0.018558613294521756,0.033775478646941415,-0.007320649547767467,-0.0022312804770424836,-0.010297691536616149,-0.014566300578872997,-0.020678906936336835,0.02350509624912654,-0.017936181915362785,0.0002460296246215294,-0.005888414053240475,-0.010426366810492083,-0.013272060899633351,0.0057584216624049535,0.008524320958089214,-0.0016167626535765693,0.010097934133032827,0.017971351937384195,0.019099904714009054,0.004048924774975935,0.009935657097005135,0.010288051676115444,-0.019433320540545012,-0.019601890551027568,0.0070996179769335695,0.023478424852365492,-0.009124430523508647,-3.836443219432078e-05
HKK26_RS00055,0.01344192827877382,-0.0003718738743750753,0.0009681914866985392,-0.0086623214069336,-0.01158437005696368,0.02841858728939839,0.01928571572891955,-0.005509470620096608,-0.0461093580508435,0.00841610615000735,0.010847168072556083,-0.003998179755256677,-0.021906835603013923,-0.03784215693472303,0.01576250369654484,-0.02590272702450766,-0.03844320669513681,0.03397444610881518,-0.011599420892361725,-0.00178308841377368,0.015854436557386224,0.008548458331855467,-0.013722297991124779,-0.0024244443648332417,0.04831998344752539,0.0057064907590627075,0.008067394463754396,-0.02088216553303331,-0.004399304458969999,0.0025365769915072817,0.008345982173132916,0.012238774685544015,0.004400846988651577,-0.05785732975747655,0.017354945258266946,0.0015645052440656899,0.006115775649150258,0.0023191064711484523
HKK26_RS00060,-0.004605398665123455,0.023858296544513248,0.0028620304028387582,-0.0054715638937761525,-0.022611290927992994,0.011658335386042202,-0.018871194406134866,-0.006097755234941452,0.010183592513749475,0.0026582700282511726,-0.0008297383754380164,0.006128957196099491,-0.021833543250356732,-0.009437795188688732,0.016320101222464876,0.043295064112474635,-0.017127063608593993,0.005663095271998281,-0.016363344607070836,-0.008393946368502768,-0.021503675132320023,-0.0027821946796773972,-0.02432400695444705,-0.0003170835613756706,-0.01894506454619889,-0.011244109223236452,0.010874182035345025,-0.05036520686145455,-0.0122577815849192,0.003293628917229659,-0.010121564355316595,8.050285515798275e-05,0.005806898002863222,-0.012133337973763163,0.037542258599666624,0.014428461757505298,0.04073607780374851,-0.06093538495383193
HKK26_RS00065,0.017854771182682364,0.01391225473148336,0.012659960434861228,0.30100122640310295,0.015703134559785076,0.004731058077725318,-0.0006553948089673604,-0.008387654052347449,-0.0009433234545738681,-0.002479797942732715,0.0139464143851594,-0.01725654485136819,-0.035302614972046155,-0.0020167625605738183,-0.015062056316354804,0.0067202092295430525,0.0036549576477585815,0.07326486647565711,-0.07928729042436275,0.009960084680095412,0.008727470758999089,-0.010688472013370363,0.04094965583718274,0.00018642958584381676,-0.0020436113269320915,0.03528007067731962,-0.004170068592144684,0.001538631020923331,-0.047866072448768976,0.01848241256238451,-0.02075624290686762,0.026082099315956897,0.0023453938895665934,0.0036237623032777154,-0.0015578401504717345,-0.0069999675394077955,0.007920044753351431,0.015928040587633557
HKK26_RS00070,-0.007268651391565111,0.0019069526836354167,0.0016563969376497537,0.21759779661836037,0.0217817737929153,0.008623181689486696,-0.007143150941690982,-0.003065682679812915,0.00032064485526795024,-0.022925886619364233,-0.0014189786842097268,-0.014998209364775,-0.02318358827050315,0.008197345789406221,0.05721667265024516,0.02446458467811712,-0.01363759697764259,0.05214012161234557,-0.04703016694608534,0.01869160993180917,0.007989635650694561,0.02289004172702088,0.018155378157742937,0.004075822225103189,-0.005707847830324681,0.03326020024296814,-0.011563744274796652,-0.00834972591444453,-0.020529733334585215,0.012601539464625144,-0.0011978056176895823,-0.005468343422485603,0.0015386559230005687,0.024614702276283245,-0.0027549975695260747,0.005835911738707976,-0.007594352486526975,-0.003604465094554862
HKK26_RS00075,0.0019323262762402402,0.020502083472361293,-0.0034859472628466213,0.21470514191415482,0.009371604043347517,0.006428797165823825,0.0021203005858411584,-0.006718881422324758,0.009208310496165458,-0.003620096566804802,0.014260739528797205,-0.01915111741020415,-0.03342102475382339,-0.005058674099674568,-0.02728824722293042,0.01904400788338619,-0.006694967285858932,0.027338422431375974,-0.044483778443970313,0.014345803925753665,0.006658634368152881,-0.0043007865868733555,0.018944155059097273,-0.007153885384846274,0.010835647695211826,0.020577851721699646,-0.008420149920245592,-0.040383791969130764,-0.023299262397715327,0.023149860453982606,-0.014446149800198406,-0.006625458374069388,-0.002683213824187473,0.012179824029767633,0.028608452079032783,0.009834491955799517,-0.00041815835320927077,0.0011917195820396295
HKK26_RS00080,0.00038495965460408994,0.034857365716940536,-0.005687263538681221,0.06550800809941511,-0.029777483989293328,0.0033937716465877034,0.004208455635919955,0.005348295767946466,-0.01731660780285992,0.01761773964952146,-0.009279506209164158,0.008236512557190724,-0.002857369969449133,0.00295868085931022,0.03671898420001863,0.032696090854791464,0.00871540652906305,0.023301674514333865,-0.004951165653009845,-0.0032114038224574106,-0.001952416745969992,-0.004985631737887916,-0.0038743112692082964,0.027009098442233984,-0.011426773810807112,-0.027733796462384164,-0.004087318014594757,0.012747199990849004,-0.004051293878341144,0.004814809684910184,-0.004387906070563345,0.03209212852716321,0.024460271535412977,-0.015108154326368313,-0.01632715545613214,-0.0073046340305547176,-0.01223757899382444,-0.037367988767023595
HKK26_RS00085,-0.0025408216817527874,-0.0292698138837667,0.004624011398605249,-0.0048763117738836485,0.007860074224577523,0.028961243373740838,0.031035182322772453,-0.0035216908448866256,-0.04747501632781544,0.0009266170895286753,-0.014676512981330771,-0.00025800542089288983,0.002055507211822303,0.021025162376633606,-0.006422938179912168,-0.020882418561141994,-0.019766198666719966,0.047307996312392395,0.0483029472766452,0.0008666455809381074,-0.021996801813737123,0.03400827219358472,0.019644159240666804,0.030829774682303045,-0.01709744616670123,-0.010323164010376827,-0.0022738296723156205,-0.007193454300089395,-0.012180103137890686,0.0036693184911676586,-0.011399904818774977,0.02367741653928134,0.043128067135870043,0.01460333221364562,-0.014232333481199932,0.010855796389296193,-0.026281149741333068,-0.015927818239631054
HKK26_RS00090,-0.011676273291252499,-0.0005000545524533808,0.01941656548895276,0.01955372870946866,-0.006613573693593989,-0.0025394402791924513,-0.005248336301615716,-0.021608143682169473,0.0005035236806592508,0.012772200528874358,-0.01603616995850165,0.009704115632468325,0.014334640951328977,0.0066755434312127,0.00502277570289937,0.025218523260795808,-0.014042016285997794,0.01390551844923031,-0.0008712291064475041,-0.00545991668432672,0.0012891591513937528,0.001527625562163136,-0.015042679613222762,-0.007143557774217297,0.020067218267237567,0.00257515543337358,0.0008998484569326449,-0.005800608855582838,0.01143599280066298,-0.012713218871141638,0.01786087679174246,-0.0017787969395232077,0.010568503443561344,-0.007539444487808569,0.030039015405295768,0.029722394801233523,-0.02561519217753152,-0.0084089596190171
HKK26_RS00095,0.0021955475761608377,0.006841811064603412,0.02020298752780542,0.03304966151765014,-0.035048116068899196,-0.007512715218074101,-0.005465187512529184,-0.012575363443725583,-0.0011442087278152728,-0.0012579362500923313,-0.012622826814017303,0.007300919481926702,-0.021521424618798007,-0.0017546600479935006,0.0016961129831278496,0.021455779110108944,-0.021319689349096612,-0.0019087795818269167,0.005270521541356542,-0.0016695073072194896,-1.786505599619838e-05,-0.0015851375209328963,-0.010589321107309282,0.01028884662202677,-0.017612205330023473,0.0034248588529955425,0.002693865274330885,0.01820320040204581,0.027346820623919604,0.013456098402647096,-0.00965730491337648,0.010253368639788474,-0.005635180978851042,0.006800773766351012,-0.004063205255438249,0.018501256298954428,-0.003556425134091684,0.0003571804653945889
HKK26_RS00100,0.0024618804141095735,0.0025091808032606778,0.030873397817356395,-0.004133040516591611,0.003670768113103161,-0.0023612751779600507,0.024123579980690462,-0.0154741410380607,-0.010303711029396844,-0.0020195292607698514,-0.02147712253071482,-0.0032580801303068244,-0.014817503936698357,0.006470227419709422,8.437630842516564e-05,0.002820949789705088,-0.027821009061634542,0.00859890265090142,-0.004395208897508705,-0.012131946312100446,-0.0004513523627763609,0.012664104640592606,-0.005584132295057679,0.02257495328504179,-0.004608530534806063,0.013287414523826526,0.013249980274787883,0.0034672349758391014,0.029114487066181808,0.006986761537497141,0.009501751784813271,-0.004829561311254631,-0.005968052213880922,0.004535105135479197,-0.024142547098092472,0.00748630306304344,0.015706974313663424,0.033565919934804636
HKK26_RS00105,0.001796384185433165,-0.003603796354877538,0.01799047916455777,0.024074150083844236,-0.009334486849382753,-0.0070092483750739485,0.009412383730272356,-0.013453927557991581,-0.005270986138725569,0.002328093458042885,-0.006747762272912547,0.0026291442011438008,-0.0023289908824831417,0.009225395748225918,-0.0010212123534325006,0.02101737575948016,-0.04446088209647691,-0.005103911581754154,-0.00952838695602675,0.003326945689524881,0.0069762968369528715,-0.0009001230117568381,-0.004894387634980894,0.007597616753686849,0.006417385450342702,0.0019816248608522467,0.004229722780224889,-0.002123183969436445,0.007878219210216187,0.004933718516365707,0.014104207379892954,0.010165229523408963,0.017078725140053073,0.0008612069418608737,-0.012462048582442807,-0.0019499845341067936,9.53214616234853e-05,-0.01500136917788631
HKK26_RS00110,0.02434130712145967,-0.005151686448430832,0.006922366907197345,0.04247979453359376,-0.012634380342992326,-0.01623486416858008,-0.002603306192122129,-0.03209988485642768,-0.0002753298096815797,-0.015561201802912776,-0.01893675894619282,-0.0036198354512103023,0.0009838200266910283,-0.012113109962400519,-0.00024900261449227094,0.0054036677615051446,-0.025843992324095687,0.011107358375450191,-0.008169515972475899,-0.009212309530539767,0.0016102685932740809,0.014987213345300714,0.012724911101290825,0.024322577729427648,0.002838793190492967,-0.0015376343543355856,-0.01137837365073471,-0.014942316538165742,-0.0028502205461410956,0.00675372513225318,0.003560719332939525,0.011887800082316779,-0.010785373267773672,-0.009469359205877425,0.009656465719079388,0.01477506554086832,-0.006017566081698673,0.0005040558616729099
HKK26_RS00115,0.023777617691954734,0.03659220701503313,-0.011077927139235994,0.0007048765952279926,0.02253120668039538,-0.006777350256075183,0.010917996027918365,-0.017025498314098955,0.006285391929366155,-0.024116766199064298,-0.0068048286305241405,0.00847920679322038,-0.021839354357634178,-0.010308023459211828,0.009055143147887032,-0.015866736830730033,-0.02978803591274546,0.019294022940207683,0.008800292437756553,-0.011204055833172718,-0.005598454511486522,0.010078068234909492,0.011151804641728498,0.014171665657186196,0.009460690664548634,-0.004235067906251886,-0.025703777300021772,-0.010016260070974371,-0.00011106730498074122,0.012409830760963376,-0.05084801134948085,-0.0038785144763034264,0.007857360864350772,-0.008659544918409482,0.0325736469093283,0.028754417828889593,-0.007272175189306298,0.04649237476158156
HKK26_RS00120,0.0069970849048645225,0.01904313166348011,0.016080233981857685,0.02589686820540236,-0.013873843551602047,0.02109766986636782,-0.006395865857818603,-0.007488810737402811,0.01766504705529903,-0.012034359363411299,0.008149726838820438,0.009094398506739456,-0.004027766687997208,-0.0013882258187112226,-0.01607911082561574,0.009419813073148377,-0.009185883704965965,0.010340974403138675,-0.0014129037233396226,-0.018027636008378888,-0.018771997138374893,-0.0014016557843061295,-0.010610845414898422,0.01049687083406122,-0.0028988676267720746,-0.009183444417440156,-0.010869217260635493,-0.004339561264914911,-0.018170239914222067,-0.01075517803766732,-0.005280794272523871,-0.001512726376515569,-0.011274670927859274,-0.042559346298854536,-0.0041388094596277215,0.018931244889573255,0.05833879205180308,-0.0011871567396661573
HKK26_RS00125,0.011017746845374227,-0.004733930249854748,0.009271570727891011,0.06409607686087646,0.017042240799204328,0.011834706427581696,-0.0025811766283868106,0.00544043763722153,0.0094823493423633,-0.02455264933447196,0.01591798301927932,-0.0035245091417939853,-0.013773487349912477,0.015064546844099221,0.016192397631365964,-0.001791699501441006,-0.023986291317611146,0.019170050383868386,0.011266425556847951,0.012164725886756753,0.013722693738345018,0.005675920232600298,0.011987082117994718,0.012097524861221164,-0.006230858657698212,-0.02039873865245195,-0.00404169014412173,0.029100978047701072,0.0061714800914427995,2.57976972943045e-05,-0.03319079278069109,0.00987633657127522,-0.00663298294351802,0.0016523895763001424,-0.0004788160960681981,-0.0056907504499875685,0.033265697323818,-0.05440841440284643
HKK26_RS00130,0.007265994017130064,-0.014305043226980013,0.027100350480682923,0.021291826412361135,0.008480752310360249,-0.009266800478336185,-0.032715115987580735,-0.018211491439792536,-0.00529518684409139,0.008047183675181757,-0.003602917169111003,0.07802868838792046,0.03554200437156418,-0.028511239497621212,-0.0016823042170913966,0.006219463497453806,-0.058969726359525826,-0.028893452152640508,0.011790140641039925,-0.004242912001908753,0.0018373300242630177,0.011300299309512046,-0.013297275798953439,-0.03771829171773626,-0.03295549827462648,0.01686070847194247,0.011787639613290156,-0.005270520662631644,0.020519897736526835,-0.03987469176663877,0.009547269534494583,0.020408520979718615,-0.02806164783745727,0.02320948278212927,-0.019047592920281933,0.03827412850552495,-0.02523418762569251,0.0343382597590784
HKK26_RS00135,0.0033379637750198337,0.0015113234137122417,0.006536222109266165,0.004233410895816535,-0.029412867664560124,0.016778184199396196,0.03234362582805259,0.0046451468133387195,-0.010060865500365125,0.0013446108554367852,0.029738997551066113,-0.022430260965349624,-0.011108788376531958,0.018442161645062637,-0.0152888866777395,0.005286225568046577,-0.016442047020264673,0.023959456315764543,0.0009478825195171846,-0.0010733321015413686,-0.022428801842923122,0.004351881524290485,0.008956875542393094,0.017849801358339995,-0.018993867527977087,-0.006095297553553421,0.00819300747893648,0.004044556139493306,-0.027965379557134167,0.0033394134762881633,0.008416148812982503,-0.012910509276268453,0.010191411928776395,-0.014375161948049903,-0.011430345357807537,0.011698459159516453,-0.030121495248093925,-0.004687121772421121
HKK26_RS00140,0.009785461137954237,0.029996837716423492,-0.02802932164604627,-0.014708566489551723,0.01593138790243504,-0.005756448885282494,0.029230866494134464,-0.006753061164402267,-0.009856470273654957,0.023632623579625558,0.023140924913761317,-0.023328174546892663,-0.015869415447890892,0.01164438424099538,0.01936978250096867,0.03202854114408182,-0.008597812140379146,0.026830930385299552,0.013396844753016703,-0.017531060025602004,-0.01623191440970957,-0.004834381325222702,0.022203412863148798,0.04771148506356457,-0.012314407860012864,-0.021624213701888953,0.02898597585863629,0.024202510785625988,-0.014543956158288344,0.009890858614385985,-0.01865212191975471,0.0004436810283990934,0.015476947911842419,-0.003065388680871087,0.019011611083702754,0.0794394926842119,-0.04599626990290322,0.019779031474461098
