Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
HKK26_RS00005,0.0022726392083343605,-0.00539390990422455,0.04012123067371846,-0.026623708169187642,0.023364833028853553,-0.0008955221313701366,-0.0016282509190572074,0.042132645700689426,-0.014306728260890357,0.0015180191534342853,-0.016846540057192005,0.018391275273613478,-0.00522835065841994,0.022603918959200952,-0.003645531071404104,-0.019468383231342788,0.06502526885308656,-0.0006751007295220313,-0.0006870876094404227,0.030970320089673625
HKK26_RS00010,0.013990931443656129,0.009519793322143734,-0.001187086529648404,-0.004342547287845649,-0.013361141625919311,-0.012906603020828402,-5.160538804200347e-05,-0.0021822521610350303,-0.03008146437478134,-0.010977396403731162,0.018602664313500775,-0.03707573285296832,0.04425429944719944,0.10052383675743078,0.027305824652762038,-0.014920313971329362,0.021663506366583523,0.0004240226069894628,0.006385233443317454,0.016217403828939773
HKK26_RS00015,0.05143950150921989,-0.010344740897768488,0.0018877379306813714,-0.010142527394868399,-0.033947090232251294,0.03367039284998442,0.023477435458347826,-0.03818168092347183,-0.013968668709471024,-0.013335412390639274,0.021489439879107442,-0.007761125363363324,-0.015925215743580558,0.042704389185597956,0.03670471735634027,-0.03499245277327093,0.003738890538346596,-0.025130873201283457,0.022046437525226403,0.005577351545253729
HKK26_RS00020,-0.00958647503017041,0.03537238570945274,-0.0012780895428187466,-0.002171310305458503,-0.04284985496659311,0.012216560962469047,0.00925713560287167,-0.036845089728531726,-0.04414405767295265,-0.005004519096494182,0.008656295094154368,-0.006908271606334906,-0.012367891955795844,0.068861798901584,-0.0005272117471499676,-0.02080625893755729,0.021208797738136095,-0.029171766663435975,0.010185049239757481,-0.010718543220463726
HKK26_RS00025,8.57890028039702e-05,0.00614504734913145,-0.0005870482275274831,-0.015903997752551646,-0.02164699241125306,0.056108119250121824,0.012817861588665902,-0.00442652981702253,0.04382240264837613,-0.015241473168068056,0.01252759094611576,-0.017377372394988596,-0.0031166817574158406,0.008523901058888153,0.023805906689241957,0.014224986642975501,0.04291933931267578,-0.011531398428660244,0.06105792627421841,0.0042875238624982435
HKK26_RS00030,0.0026233710248456527,0.019093376852130937,0.026236486416293302,-0.01680154294469544,-0.014890370663445375,0.022204326119531534,0.014829068287536456,-0.019477407779586595,-0.013942465204477754,-0.012224443371946048,0.034849498217955716,-0.010372521354834146,0.019128930468872773,-0.0014323395539608786,0.022870733308678247,-0.011694810039523051,-0.0013549985731719622,-0.01624956947359858,0.047444716180747686,0.00558576772700007
HKK26_RS00035,0.006166402186544221,0.009981116684412072,0.038919615632271115,-0.013854160465176851,-0.02448770522095077,0.0005982758206156956,0.010205133283250893,-0.03047883916882352,0.08042460803133443,0.00456673481988671,0.01754501439253684,-0.003510701453032234,0.0016422461874259194,-0.013821649394145975,-0.012314630849220475,-0.004996247730321143,0.10330416580506403,-0.008657873618712534,0.02747579025022045,0.018550610884765742
HKK26_RS00040,-0.018928866778495427,0.01149047395762336,0.010900175273687142,-0.006866984786398446,0.0019285546508994937,-0.003823533860806582,0.004314379031591067,0.006690487135521762,-0.006997461268780104,-0.028238565722054135,-0.0018315762306078212,-0.005477297978929742,0.03459031579115181,-0.011312664708916072,0.027740608917098106,0.023605663209674502,0.007277440978803733,-0.013410755955100771,0.032722723228165045,-0.0008358015699362967
HKK26_RS00045,-0.007069035781270109,0.011422904550079962,0.00976306293167522,-0.03468087000740152,-0.001829576260177699,0.05181181236905691,0.031463351730427275,-0.010097377384614959,0.030779365620293656,0.012073754368465675,0.017572153875672313,-0.01717837284938492,-0.0005199806705212106,0.01837051416106185,-0.011165286159242086,-0.008352852475257034,0.060843623861771015,0.019076759501611883,0.02650011714096298,-0.0004857875522430183
HKK26_RS00050,0.01339157553891372,0.01036505041598208,0.009059341116157435,-0.011987770949631008,-0.0070350663349939765,0.007786056560853067,-0.014216102179161472,-0.02646319011103595,-0.016345813120384568,-0.009976484846521153,0.0046427769554805015,-0.004974652399247902,0.0007158287801776106,-0.0057196219143781195,-0.002207546312627978,-0.005666815509441898,0.003309723390423585,0.005856208192732163,0.0049097366691639305,0.02904756995285318
