Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
HKK26_RS00005,0.009043379464368673,0.06755404264184998,0.002379100329145078,-0.023984214208347572,0.020407635188834757,0.014086990264494646,-0.007047999300474249,0.012182316760576652,-0.017459660149436042,0.014710793776122093,0.006059175694648068,0.05880587904413554,0.0006691183919774915,-0.004177775180634902,-0.034580381840128495,-0.007147869142012996,0.0026747325309295143,-0.0005518541620826191,0.011817617636377502,0.028412029386030914,-0.018654325512508802,-0.01794361417078359,0.010028882898180517,0.004038713074154547,0.0023925934732533446,-0.01810813670467108,-0.01693522553556356,-0.015995936040394072,0.011822344038323232
HKK26_RS00010,-0.018327264746792582,-0.013495647717032728,0.010533875230218875,-0.02945605420370258,-0.005221418832616514,-0.0067304713502934314,-0.002258751329446377,-0.01498225147021126,-0.012008902266183284,0.01975384864626621,0.016975604597910685,-0.0018644223766127656,0.011169284484553484,-0.0027623009889528134,-0.012098484327601857,0.0026275941969508055,0.008453072921125144,-0.0005334782944632857,0.0321144240700364,0.012754274957387268,-0.011462198534154616,-0.014413577919746469,0.13093407927058487,-0.012994364071551958,0.0024788527805553926,0.025007393079395843,-0.022006611250927854,0.03347016683483788,-0.01773773092725479
HKK26_RS00015,-0.021370896345984824,-0.011516037815478268,0.04264230468543039,-0.03588466579195159,0.001745200699710549,-0.03136291705193229,0.0005902895471968418,-0.013435582376578459,-0.01725503249731499,0.012157984679658375,-0.02020936622913165,0.0020405645707852115,-0.005225338682885993,0.030009209678633245,-0.016193940780889694,0.010956850006867313,-0.020254923229054898,-0.009851540939462852,0.026728725258797725,-0.007552672888549625,0.00638876454336686,-0.0673109474432697,0.0003526205718522305,0.03460802882116793,-0.026306480140929123,-0.0011481586183695236,0.020759339549783436,-0.0050889284663222225,-0.005770758598049337
HKK26_RS00020,-0.014577230347871376,-0.01028096533713477,0.060958096876120624,0.008240899679122268,0.01005521216634565,-0.034423702197202595,-0.017039288281832314,-0.0009984170196270794,-0.015978586835623646,-0.015211318905144211,-0.027903408358267465,0.009810480038283654,-0.014479517856246429,-0.008538042210884554,-0.011223893802385247,0.036049193075390146,0.004008785025018422,-0.007354819293947011,-0.01374138873269176,-0.013246001228213636,-0.0336705300673722,-0.05834325449788729,0.007922255433758954,-0.002813039250870463,0.0068516414109610745,0.020372177518601643,0.039991316394159385,0.02310534726654522,-0.024007324871356834
HKK26_RS00025,0.029960392007441956,-0.0044767068668809225,-0.0008857289030734264,-0.0024080705136970116,0.004813298633929627,-0.021590135525003582,0.058640016037850025,-0.0076016199883974815,-0.017152372813765613,0.020082456429509038,-0.03978312440570751,0.026348233912671635,0.007679446383013418,-0.021363267736978643,-0.016582988967399903,-0.016010841155433473,-0.010210547738187026,0.03748389720764433,0.03432322039529508,-0.007144104612161754,0.02508477071401949,-0.007199780094472586,0.004558336464491505,-0.009044475878400501,0.0313859472387742,0.01042073889798739,-0.024460339621035523,0.06351265151656608,0.005095173191701903
HKK26_RS00030,-0.00017733953751199877,0.03153231023790311,0.01824998481484036,-0.00908914634403173,-0.004657476743759578,-0.014103479701770697,-0.003689016521013137,-0.027457999071777775,-0.002988229427745387,0.02563424889479515,-0.006058817581318944,-0.0030317953486038635,0.050029433373111394,-0.004208190564546145,-0.00891078155250511,-0.0004360370124827414,-0.017679848389031624,-0.006191028681749295,0.006497857357561907,0.013122335268848309,0.022567191480583004,-0.015313084806764249,-0.017181397057184907,0.02928662290064135,0.0019193155010859284,-0.01700522578129649,-0.02351644984813221,-0.0191438530894605,0.002361244946910329
HKK26_RS00035,0.006393825694166592,0.017685984232954168,0.013564277999008688,0.011296091606890568,-0.027898739058885163,-0.002576258842332036,0.09762856142305715,-0.020277227593278987,-0.004695880767539719,0.0013155729862023516,-0.0027167796831325287,0.10612696983366153,0.009454538581878858,0.0007216256691019247,-0.002387734485331387,0.02308829564908956,0.0043876080873433195,0.01435894215120716,0.013605205920354897,0.033464495623400696,-0.0008002460513083249,-0.014166471343921015,-0.014379739445956979,0.05738429107029467,0.0027386008866920994,-0.04420726301919096,0.0020888452215884258,-0.03947045632906437,-0.020084665814124658
HKK26_RS00040,-0.009886117754016294,0.02208962466925075,0.04888777809836856,-0.010983926481560507,0.0011442992875747573,0.02601380953080087,-0.0076767197974338865,-0.006880347303462959,-0.005136607189026686,-0.015612300151430423,-0.010245516100401435,-0.009290104542532969,0.0023999537254659202,0.0044545604658408275,-0.02125862532481347,0.019751921399267583,-0.0028547793282064386,-0.010400451549372811,-0.026493723659664667,0.016137533006682137,-0.0065226511754383175,0.010654503945122433,-0.015766517780554004,0.003273773135284599,-0.03722186686275948,0.02014194482601411,-0.016299556574583745,0.02739767150872848,0.035011495691697675
HKK26_RS00045,-0.010562971137337656,0.015409488402851081,-0.03705557272115753,-0.036827771703378795,0.021709465477756006,0.016542748825667964,0.02245783520261286,0.006733731200861749,-0.03714393299485136,-0.014265365900043632,0.1186536462023518,0.07387786067418227,0.04401135918028518,0.01178863284223048,-0.07614171957265235,0.017141383993036132,0.007804369357575178,0.05217984572486897,-0.004175028955395938,0.005623176027750224,-0.028216300576606002,-0.005857825439564556,0.02737101675830716,-0.004812569072069906,0.004807596757395088,0.10291605485173977,-0.004333931440564965,-0.017454006720775066,-0.03310876107178183
HKK26_RS00050,0.025071691166076715,-0.01392212495341933,0.017347370064427423,-0.006391265411432363,0.005246862752859647,-0.013567985733099924,-0.008330242436718953,-0.001889171063860058,-0.01018716398700171,-0.016772153403779768,0.003672084736907479,-0.01382205761730124,0.0027173331582173556,0.008131855069078299,-0.025589925698636908,0.014384350520416995,-0.00455380860592472,-0.004969602127065067,-0.006502727239655795,0.022459315534433456,-0.01791035732100268,0.0031444256395374566,0.0025250905745896413,0.014422719366052628,-0.010809756984337865,0.03478940064064143,-0.013757810691360714,0.003849500521436987,-0.02052991043447111
HKK26_RS00055,-0.011735043532849604,0.017690253073062105,0.052274377128265284,0.006816565130890435,0.011703068547412664,-0.0010757721240164516,0.031167238988923186,-0.004762633792238843,-0.022690339657314415,0.014894262480168417,-0.05516485615195101,0.010737128772692554,0.028858151015527612,-0.00705522266395043,0.0005359189998771518,0.0152838799604152,0.0010086433418698667,0.0022150583267531586,-0.004380675846599245,0.04061859340922466,0.005467852137068811,0.0076085014224748625,-0.006280407202709039,-0.0031472098752219637,0.01798004379194297,-0.020262495863724365,0.045440654037732855,-0.012846288486410758,0.0027508529421617
HKK26_RS00060,-0.015766523768352414,-0.00875971792556651,0.00515986563160652,-0.010746188672996785,0.007353591086220701,-0.024090957269678893,-0.0028718532128281654,-0.0032621328282502015,-0.017709778420840587,-0.02054068496610708,-0.03448939202025635,0.0033658431615750245,0.014572217446290132,-0.007400575375277357,-0.014376304517163749,-0.020172628142504753,-0.012940794889859516,0.009938884527018705,0.027083241313624915,0.006810969359427026,-0.011916599050717402,0.011261841139795684,0.01744000021481308,0.019864680078909666,0.0021100513778934127,0.008419133145171226,-0.002151861992673903,0.012272142381568946,-0.09339296748720724
HKK26_RS00065,-0.031252551903823915,0.024208901216680883,0.003231892216697475,0.006406298357002505,-0.010145110771747916,-0.03465852976608088,-0.007257001721111248,-0.0004324287027897464,-0.018940386244514683,-0.011571773301540727,-0.0006855327872808098,-0.0335477330451363,0.0037668419069890784,0.02993778656548359,-0.0005244433601580361,-0.011652623491112186,0.0034038663254974807,-0.01318166881434554,0.011178696387941039,0.05655889511326786,-0.0029889957490964996,-0.019547752012748148,0.00796007147934425,0.00013045606386521155,-0.009768301099022747,0.2963641736678753,-0.0034172597756685617,0.006389513999651778,0.01088527474377067
HKK26_RS00070,-0.004340134775858203,-0.0008380220594305484,-0.005358987038028093,0.01644258190443485,-0.002596260893187678,-0.018662444405245518,0.049614981044657946,0.0074517294509838,-0.00403364834212163,-0.016485302079618794,0.02427743674100224,0.004173695963855771,0.009537085810645461,0.017881701987890984,-0.006446371713102326,0.0052359649995217935,0.0004669130553488839,-0.020748830340598313,0.004433438171482829,0.04238674150022256,-0.01542799751149049,0.00011785831982249963,-0.0016817555975066584,-0.010645254501768456,-0.006817515572367863,0.19879396966494195,-0.005013161227286124,0.0002688319765880416,0.0015973068246392121
HKK26_RS00075,-0.006037796569055185,-0.003515137404401643,0.006955978516349956,0.007176711456614775,-0.001257555721001235,-0.016726688084424207,-0.005480277947524534,0.0032058923924871835,-0.020557709926681468,-0.009678796193953638,-0.011717826654009368,-0.01801836690139129,0.011375822737373307,0.01839267534892376,0.0004332411213259861,0.012862402324346513,-0.005867779678533713,0.004285313801901539,0.00621311520789052,0.020031966689408532,0.004517617781877013,-0.009284825214445697,-0.002584727177275129,-0.02242700298861181,-0.010621777765367869,0.2035590126090512,-0.008358220969599157,-0.0032945479230570714,-0.009006363381144768
HKK26_RS00080,0.004809058959578714,-0.004439717999126724,0.01742064120715103,-0.021956437997741322,0.013303244951725324,-0.02212466686486648,0.019696740941787468,-0.0016955139473973208,0.001504815440319422,0.011832939373005037,0.018632926197754116,0.0015753127987329731,-0.008077616450610246,-0.0013383283465055128,-0.0049868996486981745,-0.0018594810438508935,0.0012744058781929922,0.001330387890876852,-0.007448980149830489,0.01604481575941967,0.01602483780005834,-0.001481738171278531,0.0032272904932388845,0.0032073396343810573,0.03134952433148563,0.07222813670560173,0.01056181742007667,-0.011559301825736857,0.014293050840156963
HKK26_RS00085,-0.046370389903931615,-0.0002541994023660256,-0.038467901352605645,-0.04484435060780572,-0.009734696204858092,0.06079930517227538,-0.017421194104400066,0.002204018073090735,0.03484514409102569,-0.009959660494933263,-3.565135128393857e-05,0.022683029848288686,0.005965309322233921,-0.008506700875952865,0.011453523314422858,-0.008646401363942848,0.028357274047047302,-0.02456916256736884,-0.04823996923087753,0.029374294844401006,0.028481195760818052,0.005822180017543197,-0.013483775517972555,-0.007451529163337825,0.04961800466152504,0.044975166856340044,0.018224316083776945,0.013123598254476718,0.009005573375777653
HKK26_RS00090,0.014364089935299338,0.007431790843181732,0.014404145635187042,0.00841579524531099,-0.01786288527465011,-0.003418888049031882,0.006084575885858605,-0.0099432941061299,0.01131652458694295,-0.00693685450329514,-0.016206065573209746,0.005266277858446012,0.017649028904465014,0.022253461974282004,-0.03066586937988404,0.029507392847638522,-0.006494228627858699,-0.030989961882138477,-0.028221380437775726,0.02183098391316661,-0.007678965269056996,0.008145692737845323,0.003099120190867016,0.0024974993412373004,0.009593831151915352,0.010655313133767014,-0.014159625938553501,-0.01569604381063473,0.012847235325913793
HKK26_RS00095,0.030012409078492352,0.032681904289914604,0.015589158052191092,0.011174264284592885,0.02399852443287048,-0.004301511693516838,-0.013400523806026585,-0.0045728386556782635,-0.019946648470469418,0.004022599119327444,0.006577518754424161,0.0023604077916200535,0.012825321335375554,0.01954411166600803,-0.022995043195840763,0.0008360068888929408,0.008633978611927504,-0.010276641378073777,0.0024590413913211217,-0.002901955774419601,-0.002576010029640328,0.011750226167556908,-0.003975433468526677,0.00877406590336916,-0.0029219639221119776,0.016900380345306606,-0.003269304932807926,-0.0005788862154248712,0.004080922190423206
HKK26_RS00100,0.05479607327501014,-0.003883183211332899,0.01064236035331855,0.0055930719041001895,0.015190839262377092,-0.0030515706797021843,-0.004419900273471379,-0.015888148516281776,-0.012052121493249482,-0.0019128996454122066,0.00504860227716976,0.005667512725639986,0.017610405564314938,0.014091970047596223,-0.006513961781383662,0.021596398047735405,-0.00021192773533224417,0.0034735317434998352,0.019353840006808457,0.006929382676475343,0.02508261236769274,0.020850774911595916,0.010805754533781707,0.011957107791140613,-0.007518399655766351,-0.0005988641941320622,-0.006629278320428132,-0.032002236354729104,0.018524068090207343
