Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
HKK26_RS00005,0.020785520112043165,0.024646767114575963,-0.021563409735604153,0.007587692960157681,-0.03760715596639553,0.013279442450984214,0.005894768740881866,-0.02265594321327172,-0.008732211202146114,-0.012751883952416729,0.00756646825025845,-0.013825496594919474,-0.014412739824314411,-0.016252353836648283,0.019114017801719885,0.00019692294695073417,-0.0052217701592517565,-0.016313709670216794,0.004241357948461051,0.002986404705194229,-0.0012241177961244505,-0.006071367545531657,-0.029468829703418492,0.01769760741379542,0.05862303062037305,0.010540121503276831,0.017033059816434597
HKK26_RS00010,0.025195763279923414,0.002735723339427108,-0.02724191887219777,0.03007176752186357,0.014617104429241618,-0.005245164343093689,-0.0012541263137093549,0.018043020071782354,0.10520050899514366,0.06816097962550502,0.006416807413392805,-0.02611094279346238,-0.015184115142505011,-0.015980264365279495,0.01457785176112085,0.012147150182794301,0.003669050428153184,-0.007962440141875495,-0.010025219324849248,0.010405643746838084,-0.0020477507475565523,-0.014543839562346618,-0.02121504992033753,0.0019677790763240484,0.00793999862420439,0.0027659766102746093,-0.02489322205793696
HKK26_RS00015,0.04463144272082257,0.010591876860452982,0.0030992724782260227,-0.026801278087242215,0.01153611146371291,0.012025640923848648,-0.005584193624028805,0.022220222866521033,0.03943005939704676,0.012028809427511965,0.013424020642715966,-0.0024107167769224684,0.003613745155814997,0.029863393772685376,-0.009916727788820105,-0.026237266102930118,-0.024149618757815895,-0.025484165679851144,-0.005859047102120711,-0.0025967174397079837,0.0011206949256842794,-0.021913040737147792,-0.02955000810992126,-0.011423733558449922,-0.003998404991527349,0.015010703972583665,-0.001136674515911431
HKK26_RS00020,0.005779435524702879,0.02558519897969558,-0.03649520692360378,0.002177326837716695,-0.0009268240617019863,-0.00973415868701608,0.01435653942509595,0.001026686013745417,0.047772799464831886,0.007419472210697157,0.018413871073199705,-0.013307364853462627,-0.024067641501002206,-0.01607615155126634,-0.010176180540967987,0.005107990626649993,-0.032890686126233776,-0.005166844233017368,-0.0040653545020859425,-0.015134146850008268,0.0357428686161633,-0.01129544993545475,0.01716005301618184,-0.03502929954011294,0.0013179228086909783,0.021562836033283975,-0.011620058564935542
HKK26_RS00025,0.008691258113318001,0.03055485693652813,-0.005990821949229711,-0.0007468651602108233,0.0021076963726742604,-0.016748387161139664,0.03743243442726848,-0.015079348574404582,0.005033672922268267,0.05997306539838031,0.03713460730405783,-0.02136580041722627,0.05396498547987545,0.017332238238065904,9.666730999491953e-05,-0.00578387139854279,0.015147168347257574,-0.002973219666537905,-0.023938404509655616,0.004937736374376706,-0.0022175231901611337,-0.008861218992032363,-0.03399332272141315,-0.03209143511469822,0.0220621226043165,0.023591244827151376,-0.0007356862856503725
HKK26_RS00030,0.0157167587824472,0.009331749133783181,-0.006152819907273585,0.02932094312994539,0.05495350021190197,0.020191227480309507,0.005746959482561405,-0.006723859064253061,0.0031169540196050245,0.006645408342390558,0.0024524076617147695,-0.022637673853726864,-0.00514932139903956,0.014772408805095316,0.004960376533573398,-0.021868078128386,0.0034907149529338505,-0.008791245467584788,-0.012070726552500695,-0.0017819531990218233,0.017309894390695926,-0.005504531742506706,-0.01935989449336236,-0.012858864437190887,-0.00276139813587746,-0.019114775252146984,-0.003842644018631358
HKK26_RS00035,0.024813931918273385,-0.00976041235673057,0.015931067996541374,-0.02760258977199743,0.016733560363276345,0.028386963878517486,0.018496867989261912,-0.01060988654204627,-0.027029620727972242,-0.02114074878100414,0.021997958065434812,-0.014532650532059519,0.0710540558345604,-0.005214435436327639,0.015736028219240302,-0.0018519221889832982,-0.005559869007046181,-0.002195548124300008,-0.005961113792027722,-0.018226433602580052,0.04518341253384807,-0.007673648382366295,0.007254369478454828,-0.006285286330324397,0.1019435981486108,0.015237711965073468,0.006176966364765797
HKK26_RS00040,-0.04604878112102836,-0.026658149218679164,-0.021809381577249605,-0.019212956542367016,0.02433290425813472,0.007191872117504486,0.017564094017804264,0.001269154336298029,0.013560647358946463,0.10371006764711267,0.0033978583082337256,-0.003368682180142569,0.0024667661519658197,0.00800827937478251,0.007903614950738946,-0.007059637517406469,0.015023681424495219,-0.03144300834875494,-0.0016231931730667011,0.0193106908286801,-0.02486133482815794,-0.02037584618516274,-0.005314190427352033,0.01033659683717579,0.0010870488587347684,-0.002649183007332539,0.018802796924334512
HKK26_RS00045,-0.03357704940991414,0.010242188173629286,0.08260866169943762,0.03970847415981648,0.018639701744656782,0.01624560728561482,0.024393363535555036,0.011558469210536606,0.024989604357988512,0.023638915664823186,0.028770347369144984,-0.029016913361244054,0.016045799356068736,0.005231346425144967,0.012057135125329474,0.029212519290968447,0.022680392128878558,-0.016717828976616007,-0.01779388340066673,-0.002016712494260358,0.013876301762366944,-0.021118157177539384,-0.017777663942120086,0.002555575709637877,0.06807525033937403,0.013947832008651895,-0.005919609592442257
HKK26_RS00050,-0.005727362524370516,0.013966728780689388,-0.0023938799322199863,0.0012639281469810138,0.013632434777664182,0.03615166620100197,-0.008537832822542911,0.0059620255608949365,0.0006566067102389539,0.046534338165878784,0.0032613800770591814,-0.017511328030388087,-0.009338534350397837,-0.015219195788387159,0.03486150713052044,0.003931016288732386,-0.017968014535403223,0.0005637243669553365,0.004439160592606439,-0.01583537260074019,-0.0027054130031026326,-0.017246718060973498,-0.005529247850967916,-0.015962121727555047,-0.004799544320810473,0.003755520361526971,0.005830356166874927
