Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
HKK26_RS00005,0.028881751486199588,-1.6337192138921513e-05,0.028432482207280837,0.020070772159162878,-0.005301004721470882,0.06721191919230711,0.00036990111831443855,-0.014481249301466223,0.012801688768210459,-0.018363001080077802,-0.02054578033411365,0.001258873797391226,-0.021644199321012733,0.031224746474039628,-0.02112893209852778,-0.016912051899662734,-0.01852982376849474,-0.0032352697688640283,0.004282336384598598,0.00479090838797539,-0.0009637334748655315,-0.02346785807089638,-0.01937186530267224,-0.016652116410677844,0.010041493903198813,0.02858236622089568,-0.0050603244599982935,0.02444675726502054,0.04131227033073573,0.03861796519399803,0.02593070378897212,0.05645698158955308,0.051870675706411955,-0.017958698503229266,0.012734947881327759
HKK26_RS00010,0.019282740758601532,0.013668679562946734,-0.002641845605722791,0.008194129861356474,0.015128364036373014,0.001725301162481031,0.0031139869621278748,-0.0066494148117778725,-0.01054735885508999,0.0031159056039172235,-0.033751915869878996,0.11773944331065549,-0.015951400019770537,0.01658030908249995,-0.019103522047968915,0.006467821320311936,0.016297399145696355,-0.0008591379384188637,-0.001253626624432596,-0.04416596993132991,-0.005181691243717839,-0.012252595669747146,0.027646333085038947,-0.007580900891518004,-0.0419940466199801,0.021778547807135815,-0.005191095583408069,-0.013501459177791738,0.02397965344792586,0.011221146208657636,-0.01832210943277304,0.007473193853075716,-0.02535118734929268,-0.006809737018643134,0.028462106874546592
HKK26_RS00015,0.008421601521969637,-0.01747200796589602,0.0011589203156607245,-0.007503933922222633,-0.013897181726120908,0.0003748819026900819,-0.006612560435320252,-0.022819275860732437,-0.007230845558885304,0.014759180338512893,-0.0030877041569843527,0.023264390454740286,0.006556991234305723,-0.01039313138673074,-0.02215920745025324,0.011905271332990646,0.013774510163760937,0.013744953004360967,0.00737535611924102,-0.018666630332263442,0.01826421246803741,-0.03368491520467854,0.022349966807087087,-0.04125305727703226,0.008889404060385174,0.03424885998057108,0.03448379061161635,-0.002736312944953792,-0.028614466944793096,-0.01725219215563198,0.026881653409508044,0.015324307955035957,-0.004591266033585759,0.0033359710085014197,0.01588989120636516
HKK26_RS00020,0.015656962343088596,0.003223765188607479,0.022176778733915083,-0.010955420199684594,0.01857735496080676,0.0017386390696047848,-0.02082633229945082,-0.035298519200128206,-0.0036077867770543354,-0.0037390213520761477,-0.012552309831062827,0.027755006096604237,-0.018639928887416262,-0.019387822041921254,-0.016534022243302,-0.0023590088116590222,-0.0029296618989307134,-0.024715146234095986,0.04230098754670118,-0.01728626449206761,-0.0047151538041647215,0.02059004159989684,0.006104733258844755,-0.02004696144106159,0.01887358989704549,0.0004739664355062666,0.03818918981279004,-0.016005730927975005,-0.02797554292904135,0.04792278739264295,-0.029799441819481524,0.005144491696105286,-0.050018420089440754,0.00951408662051326,0.026825862606917165
HKK26_RS00025,0.04005824601545355,-0.013416787124212268,0.023693443686263076,0.001024629491468333,-0.011695991801422641,0.02022224497662183,-0.042180424967319496,0.015810389319442213,-0.021103052126289733,-0.0379067794767887,-0.02043552730801959,0.011400019609525242,0.05583096918975063,-0.0008983435697695347,-0.019810466118201715,-0.02831430969032485,0.005216944954985434,0.012101857436518133,-0.005360267474307895,-0.05304996362434981,-0.01315934837053311,-0.02240708732189618,-0.019047560518349164,0.005933778799865202,0.022072024799747146,0.012448959187338933,-0.004191689132550782,0.005637971038984499,0.011070399222298905,-0.006723987084865632,0.013093418567217074,0.008602157960495276,-0.05917360711125935,-0.004608600933835063,0.026910035175398854
HKK26_RS00030,0.008705700624657892,-0.020409351117960713,0.0040256763715395645,0.008599473781532644,0.05800785355217418,0.00363463750312457,-0.007615705599176577,-0.0021864840890553476,-0.016115899438732907,0.010397872465678682,-0.020744051563087416,-0.004419666260646352,-0.00808029839648305,0.009288166110396954,-0.009515095840496297,-0.0085272587909573,0.050648072139457996,0.012965190563901483,0.014683120778354977,0.004910888489194442,0.020900456499616825,-0.01669269293030484,-0.002260743641009292,-0.024028987195842445,0.006849801795746046,0.009130570999201993,-0.017835816450983213,0.001011209432996589,-0.0006198261569987816,-0.002804054418717975,-0.002980892000054358,0.00804496084216384,0.006831510782710027,0.028324038031965846,-0.006079323446366474
HKK26_RS00035,0.01772993880099978,-0.0010638232162087846,-0.021405168398170655,0.01946454469150724,-0.020362862253878764,0.09888917431668875,-0.01160121887062631,0.003891534816909355,-0.01022764113642043,0.005418703098286213,-0.010058399203389447,-0.016849916324497723,0.08030009826002753,-0.014256496547515473,0.00294530580359223,0.00022125761757780708,0.015313891923148748,-0.002972494059193458,0.03300851849726103,0.03937106293448481,0.032353624926122565,0.008889985552489953,-0.014059174860011823,0.0017077156421397423,-0.015888359739749325,0.029743890648344026,0.00464190998393661,0.005457057188652836,-0.009730772457720246,-0.009243474691004385,0.004936027756923993,-0.007121109341332531,-0.017384685819523592,-0.008398560610918664,0.019256786321388893
HKK26_RS00040,0.0018301462884500728,-0.001219053264937458,-0.029762437542632504,0.004255321490640012,-0.04325988683186253,-0.0012571647999852203,0.0070348256601650595,0.01484103236570703,0.0012629541967436972,0.028833386766266185,-0.00610405873345429,0.01457538941036133,0.005296997673463203,0.012226528999749629,-0.004696909168188665,-0.00214778568830415,0.02414117061279053,-0.004170880250008718,-0.009859373338178774,-0.08446902298392733,0.012390869070553177,0.0007766976790142127,-0.0037581746935000616,-0.019283839238511694,0.002901159410817564,-0.049761788727850725,-0.042490606195577936,0.029737503565807736,0.03181414518457271,0.009789853730026284,-0.021666102387767155,-0.0016169275345173254,-0.013886137344560127,-0.037283156442593675,-0.014000884816240114
HKK26_RS00045,0.010161609115931714,0.03732686812342246,0.04436917428206364,0.009074665090459661,-0.011337383904843169,0.08171076497267096,0.027119722028404326,0.02870963888737508,-0.013063670840496276,0.00525106122425934,-0.03642405523370658,0.030932021562295967,0.007690928858435713,-0.011165352281742147,-0.024176405027192982,-0.027858183822818555,0.008386123914740798,0.026873860399987674,0.045637118610767066,0.02483038013056478,0.012472563633272909,-0.032979877251332466,0.002340763739239892,-0.0055986890025144,0.01546505173238053,-0.032821462440138345,-0.009602412134233837,0.009633726732489934,-0.0070672673044172565,-0.03419483206855321,0.09098523918898822,-0.008662852934494359,0.022828505861673454,-0.1872536057964182,0.001797111727376293
HKK26_RS00050,-0.004453710858572112,0.005806238069338265,0.010840724481667953,0.031424182170651196,0.0015980426708024195,-0.005777566672283673,0.0018317745519189118,-0.015208153024873477,0.0027612426357128588,0.020079342290965894,-0.016834274433776667,-0.0021404396907525793,-0.00470985791870961,-0.022328317399367623,-0.016163709399685356,0.025852191070201064,0.008818857020469643,-0.018953416950627595,-0.0016144404769657663,-0.03141822876672473,0.04238485058583092,-0.007083121519621835,0.00888831674615255,-0.0008415351749818785,-0.02092285132904701,-0.014082659251543912,-0.018738301499850788,0.013312866113728504,-0.0023043803944060182,0.021285544970641546,-0.01202924425872441,-0.004225966166184759,-0.021234041052269906,-0.02113245083258138,-0.0014779571284536
