Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
HKK26_RS00005,0.06630421233929101,0.00470384231560649,-0.008543527779007142,-0.01512295736904796,-0.014379854043130995,-0.017245426758225393,0.0455954954841016,-0.02480787997302334,-0.0052714784111722165,0.02447037930235064,-0.005372392599473326,0.025825070658066527,0.008856261211272398,-0.004166792489253551,-0.0013344745117304631,-0.011604316460407453,-0.009849407325719999,0.014530726444701667,0.025365783922991228,-0.03536892339202668,0.006682676419182674,0.06949927827421103,0.0115162647797309,0.006683587825297597,0.012746866088530366,-0.020059683181239744,0.05409735299581534,0.005026994079689451,0.007753965494173193,0.010405066272062065,-0.027230873468335904,-0.024077645956578218
HKK26_RS00010,0.001030959867573733,0.009142055894379787,-0.018965599749050165,-0.014418282950971407,-0.02007942889228391,-0.008725756734086508,0.007506768487229556,0.03056951478930995,-0.010250374395866714,0.016326723118316715,-0.02754732396730306,0.012847706432328071,-0.0020311437725804454,0.0044946035206732795,0.012960886531255857,-0.005583413468651364,0.0227710491039038,-0.01868257904401134,-0.004960622464741001,-0.018241254165175823,0.12303737262826411,0.025617189729261417,0.0213497849944,0.0015471527356836655,-0.012780629307689372,-0.00351456989254725,0.0069600127532790865,0.018525488082260202,0.011204834401101706,-0.030038286183944538,-0.03273174316813826,0.019327600020934418
HKK26_RS00015,-0.000997009493877497,-0.0297657969193567,-0.058150742698074936,-0.01994062388199951,-0.04704135050308767,-0.004097907663130908,0.004233645333171981,-0.003187497650538366,0.017603286277669793,0.0018666846308130441,0.0002835783597776033,-0.014217009414222452,-0.038884327040851756,0.01711018394253232,-0.0028704385576958603,0.02552423892191163,0.035565966048694574,-0.008296863928274422,-0.0086598517446742,-0.003299537407678656,0.01182997862279762,-0.029235242857928747,0.046805877495953926,0.02431429122812979,0.01837968849023718,0.002422440840977852,-0.035991347836715995,-0.024283033728181476,0.023450347502353548,-0.006903059167566067,-0.026592463674517886,-0.010457325025774906
HKK26_RS00020,0.00916318647727597,0.002110513478753214,-0.030950725877747304,-0.01496577965650365,0.004380034086048555,-0.021165677622140448,0.007861300502124142,0.009886616543283159,-0.016688297426616327,-0.00979672361251299,-0.0035349262908055097,-0.012095453181546326,-0.042100094060943484,-0.014479043060281228,-0.012062527331938876,0.04499657719393459,0.08120921594210913,-0.004466740957450735,-0.006135550591003578,-0.00039695818312648033,0.02801255599896331,-0.03000494047378449,0.0026560833931081364,0.017007037667884476,-0.016775141942398732,0.012434099770662978,-0.007786427207943355,0.039075096251411756,0.017756731769096284,-0.00968922140393869,0.010707137065632229,0.014005947357823722
HKK26_RS00025,0.024863721162906197,-0.011835957920964318,-0.02168751992880461,-0.010583483068287235,-0.02862827830633897,0.05178338255201826,0.030233795935562705,0.019045121460038308,0.026541059492292796,-0.026447162013963865,0.016577349439258655,0.0023936146525721626,-0.013192080874018844,-0.022197004410234387,-0.009642972653138649,0.001471539932300997,0.025170100342075775,-0.018697455878963085,0.031233874075432055,-0.012913352837013857,-0.01242472850930235,-0.039606175690276565,0.01883353824324906,-0.015973404467302194,0.007536791648451648,-0.008760547666550796,-0.003177387439179755,-0.0032975828825719,0.03140118047324916,-0.07130050126612757,0.011240813253110224,-0.010956590730645406
HKK26_RS00030,0.0025333982250606998,-0.024443528327687737,-0.026657466650012892,-0.013749840048075303,-0.013421897193496148,-0.002966091087224264,0.009598253639757663,0.03553500126423508,0.022135968508172985,0.015006807981379072,0.008927785804656668,0.015663370678992903,-0.01918411875956305,-0.0047364738267579795,0.049471460080777574,0.00781935413437114,-0.013700595753511654,-0.023488703413896365,0.02099851471746311,-0.016213546987250492,0.0002766083910565918,-0.02351923056162237,0.014589306939544387,0.013553718752264595,0.03410565112035278,0.023308856054951914,0.023665345966794323,0.022716821701974876,0.011125223662429176,-0.015246790313227513,0.0019950944565983856,0.047802041439334836
HKK26_RS00035,0.10418469326438604,-0.00135381855504288,-0.006066409838367885,-0.010929133669358566,0.010251604398195524,0.09927208320906,-0.012293746252018805,0.011234961667703837,0.008151280648135306,0.00971354963627304,0.01704665592996702,0.02642810150287425,-0.008579003391689209,-0.011994906314382194,0.009593581080473465,0.033367228546970426,-0.004652546341052496,-0.01433744905725421,0.020682715698398114,0.0013670347998268682,-0.01347645370685161,-0.03961307922773954,0.02710524852029456,0.029341219989003152,-0.004207742344127044,-0.008239082159636904,0.011512908705931814,0.0070724059775548785,-0.014649111905821355,0.024918287998335033,-0.004822530429195474,-0.026897342912178563
HKK26_RS00040,-0.0046656075291417855,-0.003952293207148349,-0.016498646390530888,-0.014726942071476932,-0.00522480316280404,-0.0032920380302800135,0.006880435979638989,0.014628840302741666,-0.0105270859410847,0.004107534028548835,0.012171474650033539,-0.002635832006465753,0.011135158787745085,0.0013958916450658929,0.010195304430285263,0.004622507088300161,0.02376360802712994,-0.003835929772287044,0.0007722554886260611,-0.03149510146016664,-0.018348525561833015,-0.005587563058961658,-0.03237740436204665,-0.006136954599234927,0.01606803307027645,-0.012827388003671877,0.021529788850914194,0.038767687111307396,-0.0060419127894835,-0.044924821431346046,-0.06345949536966992,-0.052460707498867346
HKK26_RS00045,0.06698640202711542,0.010714832844089545,-0.0005896819023639293,-0.03237383209569402,-0.044172746135888,0.007327685011991047,0.07311855443533555,0.03762617195856814,0.014368351958941391,0.09471835665665294,-0.00464722683283179,-0.008889994865094371,0.012520869697571322,-0.002222202454637579,0.0036988581528838195,0.0027871998772051685,0.021213350961681372,-0.011556033141115196,0.028702392159171614,-0.03756822375900293,-0.004953712667372435,-0.006599794449448541,-0.0011300547944730769,-0.008774038126718696,-0.03368263546146116,0.0035505911742335057,-0.013913856841459179,-0.10391883965952202,-0.04602644732337322,0.0004037574971423372,0.021738005641959414,0.025959996077320892
HKK26_RS00050,-0.0020795195653983455,-0.004588072630669881,2.672052569805076e-05,-0.01457925611512505,-0.006481073813713524,-0.011515771508989147,0.020429681790105448,0.012909956410964337,-0.008506477201551102,0.00912019117270842,0.025944273154249832,0.026993019949287125,-0.02143050769435574,0.015569417304923831,0.0015793788069156996,0.008677285426447336,0.01724387143051417,-0.003973314224757158,-0.009179934923814114,-0.019410031280624355,-0.002612740222179977,-0.01044813635804563,-0.013932671525847408,0.032575574679534355,-0.023481937092882103,0.0033819203129556805,-0.005762844581309204,0.019299944664567758,0.01245162341707453,-0.022061400734108536,-0.01016668578525563,-0.007489224936910698
HKK26_RS00055,0.009545405667234596,0.006012930068446842,0.020260994259571605,-0.018998011385490163,0.025624032460626504,0.04292225950714701,-0.004643207332167289,-0.032125465333912875,-0.006909748775807963,-0.038885223654366925,-0.011959735798711272,0.03362021114161849,0.0028337848718962637,-0.010937085974353507,0.03250147018494095,0.003439901300588797,0.03988249610677305,-0.008818514309646119,-0.021572804569371714,-0.021751234316595938,-0.009556932109079966,-0.06711667413391276,0.0070605683942152895,-0.004982965555632174,0.04345850324823885,0.004635468761883884,0.013139502465310688,0.04168835521580122,0.009716409810180952,-0.0030829054553169095,0.017623956079308663,0.0005797087895781688
HKK26_RS00060,0.005311047852376535,-0.022091072976992514,-0.0016523266912502174,-0.015264262080452874,-0.016367313123400614,-0.00021342483205533897,0.0008655632241396987,-0.02536604983282244,-0.01788704785235027,-0.01581956525037354,-0.022013941126278233,0.010354173371019093,-0.03552028056460184,0.008161031017653735,0.03192740780201751,0.017817678773499362,0.0384538247177809,-0.009875574361846991,0.0032749309674431166,-0.013560568657592517,0.016537705089550533,-0.0073892888069935795,0.017707613108573324,0.006864073828651756,-0.02937723322728934,-0.0006770692187654618,0.006244433690817057,0.045510642910273916,0.014074011576531818,-0.015501380991105658,-0.026481371877155904,0.0048964806662898765
HKK26_RS00065,-0.03401993492542872,0.007732740554382398,-0.0028884624552500365,-0.01775379444874242,0.004457478080246247,-0.0074998366844354555,0.003344946270773205,0.021106256230656432,0.043043976544242954,-0.0015431154379865857,-0.023188823670012768,0.05362786234827292,-0.04874058743560073,0.04691794833272899,-0.015263822168506039,-0.028653672903568923,0.1310885604609359,-0.02036833286105142,-0.013878214055392968,0.004850296060268408,0.0038504499738080625,-0.015656664827077563,0.008184696562086173,-0.01446302710427449,-0.00868436006496312,0.003974987824771573,0.036019991925742414,0.04914799605345508,-0.006850227749652864,-0.006469904455719948,0.0021655604656353952,0.01036336173621781
