,gene_id,database,kegg_id
1649,SYNPCC7942_RS00500,KEGG_pathway,map05165
1650,SYNPCC7942_RS00500,KEGG_pathway,map05203
1651,SYNPCC7942_RS00500,KEGG_pathway,map05230
1653,SYNPCC7942_RS00515,KEGG_pathway,map00190
1656,SYNPCC7942_RS00535,KEGG_pathway,map00760
1657,SYNPCC7942_RS00535,KEGG_pathway,map01100
1660,SYNPCC7942_RS00540,KEGG_pathway,map00760
1661,SYNPCC7942_RS00540,KEGG_pathway,map01100
1666,SYNPCC7942_RS00585,KEGG_pathway,map00051
1667,SYNPCC7942_RS00585,KEGG_pathway,map00500
1668,SYNPCC7942_RS00585,KEGG_pathway,map00520
1669,SYNPCC7942_RS00585,KEGG_pathway,map01100
1672,SYNPCC7942_RS00590,KEGG_pathway,map00970
1673,SYNPCC7942_RS00590,KEGG_pathway,map01100
1675,SYNPCC7942_RS00630,KEGG_pathway,map00983
1680,SYNPCC7942_RS00635,KEGG_pathway,map00340
1681,SYNPCC7942_RS00635,KEGG_pathway,map01100
1682,SYNPCC7942_RS00635,KEGG_pathway,map01110
1683,SYNPCC7942_RS00635,KEGG_pathway,map01230
1690,SYNPCC7942_RS00640,KEGG_pathway,map00061
1691,SYNPCC7942_RS00640,KEGG_pathway,map00333
1692,SYNPCC7942_RS00640,KEGG_pathway,map00780
1693,SYNPCC7942_RS00640,KEGG_pathway,map01100
1694,SYNPCC7942_RS00640,KEGG_pathway,map01130
1695,SYNPCC7942_RS00640,KEGG_pathway,map01212
1699,SYNPCC7942_RS00685,KEGG_pathway,map00130
1700,SYNPCC7942_RS00685,KEGG_pathway,map01100
1701,SYNPCC7942_RS00685,KEGG_pathway,map01110
1705,SYNPCC7942_RS00695,KEGG_pathway,map00860
1706,SYNPCC7942_RS00695,KEGG_pathway,map01100
1707,SYNPCC7942_RS00695,KEGG_pathway,map01110
1717,SYNPCC7942_RS00705,KEGG_pathway,map00290
1718,SYNPCC7942_RS00705,KEGG_pathway,map00650
1719,SYNPCC7942_RS00705,KEGG_pathway,map00660
1720,SYNPCC7942_RS00705,KEGG_pathway,map00770
1721,SYNPCC7942_RS00705,KEGG_pathway,map01100
1722,SYNPCC7942_RS00705,KEGG_pathway,map01110
1723,SYNPCC7942_RS00705,KEGG_pathway,map01130
1724,SYNPCC7942_RS00705,KEGG_pathway,map01210
1725,SYNPCC7942_RS00705,KEGG_pathway,map01230
1728,SYNPCC7942_RS00715,KEGG_pathway,map03060
1729,SYNPCC7942_RS00715,KEGG_pathway,map03070
1732,SYNPCC7942_RS00720,KEGG_pathway,map03060
1733,SYNPCC7942_RS00720,KEGG_pathway,map03070
1745,SYNPCC7942_RS00725,KEGG_pathway,map00010
1746,SYNPCC7942_RS00725,KEGG_pathway,map00020
1747,SYNPCC7942_RS00725,KEGG_pathway,map00620
1748,SYNPCC7942_RS00725,KEGG_pathway,map01100
1749,SYNPCC7942_RS00725,KEGG_pathway,map01110
1750,SYNPCC7942_RS00725,KEGG_pathway,map01120
1751,SYNPCC7942_RS00725,KEGG_pathway,map01130
1752,SYNPCC7942_RS00725,KEGG_pathway,map01200
1753,SYNPCC7942_RS00725,KEGG_pathway,map04066
1754,SYNPCC7942_RS00725,KEGG_pathway,map04922
1755,SYNPCC7942_RS00725,KEGG_pathway,map05230
1758,SYNPCC7942_RS00760,KEGG_pathway,map00510
1759,SYNPCC7942_RS00760,KEGG_pathway,map01100
1763,SYNPCC7942_RS00770,KEGG_pathway,map00550
1764,SYNPCC7942_RS00770,KEGG_pathway,map01100
1765,SYNPCC7942_RS00770,KEGG_pathway,map01502
1777,SYNPCC7942_RS00790,KEGG_pathway,map00010
1778,SYNPCC7942_RS00790,KEGG_pathway,map00030
1779,SYNPCC7942_RS00790,KEGG_pathway,map00052
1780,SYNPCC7942_RS00790,KEGG_pathway,map00230
1781,SYNPCC7942_RS00790,KEGG_pathway,map00500
1782,SYNPCC7942_RS00790,KEGG_pathway,map00520
1783,SYNPCC7942_RS00790,KEGG_pathway,map00521
1784,SYNPCC7942_RS00790,KEGG_pathway,map01100
1785,SYNPCC7942_RS00790,KEGG_pathway,map01110
1786,SYNPCC7942_RS00790,KEGG_pathway,map01120
1787,SYNPCC7942_RS00790,KEGG_pathway,map01130
1789,SYNPCC7942_RS00800,KEGG_pathway,map04122
1794,SYNPCC7942_RS00840,KEGG_pathway,map00250
1795,SYNPCC7942_RS00840,KEGG_pathway,map00460
1796,SYNPCC7942_RS00840,KEGG_pathway,map01100
1797,SYNPCC7942_RS00840,KEGG_pathway,map01110
1809,SYNPCC7942_RS00860,KEGG_pathway,map00220
1810,SYNPCC7942_RS00860,KEGG_pathway,map00250
1811,SYNPCC7942_RS00860,KEGG_pathway,map00630
1812,SYNPCC7942_RS00860,KEGG_pathway,map00910
1813,SYNPCC7942_RS00860,KEGG_pathway,map01100
1814,SYNPCC7942_RS00860,KEGG_pathway,map01120
1815,SYNPCC7942_RS00860,KEGG_pathway,map01230
1816,SYNPCC7942_RS00860,KEGG_pathway,map02020
1817,SYNPCC7942_RS00860,KEGG_pathway,map04217
1818,SYNPCC7942_RS00860,KEGG_pathway,map04724
1819,SYNPCC7942_RS00860,KEGG_pathway,map04727
1828,SYNPCC7942_RS00870,KEGG_pathway,map00270
1829,SYNPCC7942_RS00870,KEGG_pathway,map00920
1830,SYNPCC7942_RS00870,KEGG_pathway,map01100
1831,SYNPCC7942_RS00870,KEGG_pathway,map01110
1832,SYNPCC7942_RS00870,KEGG_pathway,map01120
1833,SYNPCC7942_RS00870,KEGG_pathway,map01130
1834,SYNPCC7942_RS00870,KEGG_pathway,map01200
1835,SYNPCC7942_RS00870,KEGG_pathway,map01230
1840,SYNPCC7942_RS00880,KEGG_pathway,map00920
1841,SYNPCC7942_RS00880,KEGG_pathway,map01100
1842,SYNPCC7942_RS00880,KEGG_pathway,map01120
1843,SYNPCC7942_RS00880,KEGG_pathway,map01130
1848,SYNPCC7942_RS00940,KEGG_pathway,map00430
1849,SYNPCC7942_RS00940,KEGG_pathway,map00460
1850,SYNPCC7942_RS00940,KEGG_pathway,map00480
1851,SYNPCC7942_RS00940,KEGG_pathway,map01100
1855,SYNPCC7942_RS00960,KEGG_pathway,map00230
1856,SYNPCC7942_RS00960,KEGG_pathway,map00983
1857,SYNPCC7942_RS00960,KEGG_pathway,map01100
1860,SYNPCC7942_RS00965,KEGG_pathway,map00860
1861,SYNPCC7942_RS00965,KEGG_pathway,map01100
1869,SYNPCC7942_RS00985,KEGG_pathway,map00230
1870,SYNPCC7942_RS00985,KEGG_pathway,map00240
1871,SYNPCC7942_RS00985,KEGG_pathway,map01100
1872,SYNPCC7942_RS00985,KEGG_pathway,map03030
1873,SYNPCC7942_RS00985,KEGG_pathway,map03410
1874,SYNPCC7942_RS00985,KEGG_pathway,map03420
1875,SYNPCC7942_RS00985,KEGG_pathway,map03440
1877,SYNPCC7942_RS01005,KEGG_pathway,map00190
1882,SYNPCC7942_RS01030,KEGG_pathway,map00740
1883,SYNPCC7942_RS01030,KEGG_pathway,map01100
1884,SYNPCC7942_RS01030,KEGG_pathway,map01110
1885,SYNPCC7942_RS01030,KEGG_pathway,map02024
1888,SYNPCC7942_RS01040,KEGG_pathway,map00760
1889,SYNPCC7942_RS01040,KEGG_pathway,map01100
1893,SYNPCC7942_RS01045,KEGG_pathway,map00760
1894,SYNPCC7942_RS01045,KEGG_pathway,map01100
1895,SYNPCC7942_RS01045,KEGG_pathway,map04621
1898,SYNPCC7942_RS01070,KEGG_pathway,map00860
1899,SYNPCC7942_RS01070,KEGG_pathway,map01100
1905,SYNPCC7942_RS01075,KEGG_pathway,map00400
1906,SYNPCC7942_RS01075,KEGG_pathway,map01100
1907,SYNPCC7942_RS01075,KEGG_pathway,map01110
1908,SYNPCC7942_RS01075,KEGG_pathway,map01130
1909,SYNPCC7942_RS01075,KEGG_pathway,map01230
1921,SYNPCC7942_RS01125,KEGG_pathway,map00010
1922,SYNPCC7942_RS01125,KEGG_pathway,map00052
1923,SYNPCC7942_RS01125,KEGG_pathway,map00500
1924,SYNPCC7942_RS01125,KEGG_pathway,map00520
1925,SYNPCC7942_RS01125,KEGG_pathway,map00521
1926,SYNPCC7942_RS01125,KEGG_pathway,map00524
1927,SYNPCC7942_RS01125,KEGG_pathway,map01100
1928,SYNPCC7942_RS01125,KEGG_pathway,map01110
1929,SYNPCC7942_RS01125,KEGG_pathway,map01120
1930,SYNPCC7942_RS01125,KEGG_pathway,map01130
1931,SYNPCC7942_RS01125,KEGG_pathway,map01200
1934,SYNPCC7942_RS01145,KEGG_pathway,map00195
1935,SYNPCC7942_RS01145,KEGG_pathway,map01100
1938,SYNPCC7942_RS01150,KEGG_pathway,map03060
1939,SYNPCC7942_RS01150,KEGG_pathway,map03070
1945,SYNPCC7942_RS01180,KEGG_pathway,map00400
1946,SYNPCC7942_RS01180,KEGG_pathway,map01100
1947,SYNPCC7942_RS01180,KEGG_pathway,map01110
1948,SYNPCC7942_RS01180,KEGG_pathway,map01130
1949,SYNPCC7942_RS01180,KEGG_pathway,map01230
1951,SYNPCC7942_RS01215,KEGG_pathway,map00195
1954,SYNPCC7942_RS01220,KEGG_pathway,map00196
1955,SYNPCC7942_RS01220,KEGG_pathway,map01100
1959,SYNPCC7942_RS01240,KEGG_pathway,map00860
1960,SYNPCC7942_RS01240,KEGG_pathway,map01100
1961,SYNPCC7942_RS01240,KEGG_pathway,map01110
1970,SYNPCC7942_RS01245,KEGG_pathway,map00500
1971,SYNPCC7942_RS01245,KEGG_pathway,map01100
1972,SYNPCC7942_RS01245,KEGG_pathway,map01110
1973,SYNPCC7942_RS01245,KEGG_pathway,map02026
1974,SYNPCC7942_RS01245,KEGG_pathway,map04217
1975,SYNPCC7942_RS01245,KEGG_pathway,map04910
1976,SYNPCC7942_RS01245,KEGG_pathway,map04922
1977,SYNPCC7942_RS01245,KEGG_pathway,map04931
1988,SYNPCC7942_RS01250,KEGG_pathway,map00010
1989,SYNPCC7942_RS01250,KEGG_pathway,map00710
1990,SYNPCC7942_RS01250,KEGG_pathway,map01100
1991,SYNPCC7942_RS01250,KEGG_pathway,map01110
1992,SYNPCC7942_RS01250,KEGG_pathway,map01120
1993,SYNPCC7942_RS01250,KEGG_pathway,map01130
1994,SYNPCC7942_RS01250,KEGG_pathway,map01200
1995,SYNPCC7942_RS01250,KEGG_pathway,map01230
1996,SYNPCC7942_RS01250,KEGG_pathway,map04066
1997,SYNPCC7942_RS01250,KEGG_pathway,map05010
1999,SYNPCC7942_RS01255,KEGG_pathway,map02010
2001,SYNPCC7942_RS01260,KEGG_pathway,map02010
2003,SYNPCC7942_RS01265,KEGG_pathway,map02010
2006,SYNPCC7942_RS01270,KEGG_pathway,map02010
2007,SYNPCC7942_RS01270,KEGG_pathway,map02020
2014,SYNPCC7942_RS01280,KEGG_pathway,map00230
2015,SYNPCC7942_RS01280,KEGG_pathway,map00240
2016,SYNPCC7942_RS01280,KEGG_pathway,map01100
2017,SYNPCC7942_RS01280,KEGG_pathway,map03030
2018,SYNPCC7942_RS01280,KEGG_pathway,map03430
2019,SYNPCC7942_RS01280,KEGG_pathway,map03440
2021,SYNPCC7942_RS01325,KEGG_pathway,map01100
2028,SYNPCC7942_RS01335,KEGG_pathway,map00300
2029,SYNPCC7942_RS01335,KEGG_pathway,map01100
2030,SYNPCC7942_RS01335,KEGG_pathway,map01110
2031,SYNPCC7942_RS01335,KEGG_pathway,map01120
2032,SYNPCC7942_RS01335,KEGG_pathway,map01130
2033,SYNPCC7942_RS01335,KEGG_pathway,map01230
2036,SYNPCC7942_RS01345,KEGG_pathway,map00900
2037,SYNPCC7942_RS01345,KEGG_pathway,map01110
2042,SYNPCC7942_RS01380,KEGG_pathway,map00860
2043,SYNPCC7942_RS01380,KEGG_pathway,map01100
2044,SYNPCC7942_RS01380,KEGG_pathway,map01110
2045,SYNPCC7942_RS01380,KEGG_pathway,map01120
2050,SYNPCC7942_RS01385,KEGG_pathway,map00860
2051,SYNPCC7942_RS01385,KEGG_pathway,map01100
2052,SYNPCC7942_RS01385,KEGG_pathway,map01110
2053,SYNPCC7942_RS01385,KEGG_pathway,map01120
2056,SYNPCC7942_RS01390,KEGG_pathway,map00770
2057,SYNPCC7942_RS01390,KEGG_pathway,map01100
2063,SYNPCC7942_RS01405,KEGG_pathway,map00630
2064,SYNPCC7942_RS01405,KEGG_pathway,map01100
2065,SYNPCC7942_RS01405,KEGG_pathway,map01110
2066,SYNPCC7942_RS01405,KEGG_pathway,map01120
2067,SYNPCC7942_RS01405,KEGG_pathway,map01130
2072,SYNPCC7942_RS01410,KEGG_pathway,map03030
2073,SYNPCC7942_RS01410,KEGG_pathway,map03410
2074,SYNPCC7942_RS01410,KEGG_pathway,map03420
2075,SYNPCC7942_RS01410,KEGG_pathway,map03430
2078,SYNPCC7942_RS01415,KEGG_pathway,map00190
2079,SYNPCC7942_RS01415,KEGG_pathway,map01100
2082,SYNPCC7942_RS01420,KEGG_pathway,map00190
2083,SYNPCC7942_RS01420,KEGG_pathway,map01100
2085,SYNPCC7942_RS01425,KEGG_pathway,map00760
2098,SYNPCC7942_RS01435,KEGG_pathway,map00260
2099,SYNPCC7942_RS01435,KEGG_pathway,map00460
2100,SYNPCC7942_RS01435,KEGG_pathway,map00630
2101,SYNPCC7942_RS01435,KEGG_pathway,map00670
2102,SYNPCC7942_RS01435,KEGG_pathway,map00680
2103,SYNPCC7942_RS01435,KEGG_pathway,map01100
2104,SYNPCC7942_RS01435,KEGG_pathway,map01110
2105,SYNPCC7942_RS01435,KEGG_pathway,map01120
2106,SYNPCC7942_RS01435,KEGG_pathway,map01130
2107,SYNPCC7942_RS01435,KEGG_pathway,map01200
2108,SYNPCC7942_RS01435,KEGG_pathway,map01230
2109,SYNPCC7942_RS01435,KEGG_pathway,map01523
2113,SYNPCC7942_RS01465,KEGG_pathway,map00520
2114,SYNPCC7942_RS01465,KEGG_pathway,map01100
2115,SYNPCC7942_RS01465,KEGG_pathway,map01130
2119,SYNPCC7942_RS01470,KEGG_pathway,map02024
2120,SYNPCC7942_RS01470,KEGG_pathway,map03060
2121,SYNPCC7942_RS01470,KEGG_pathway,map03070
2124,SYNPCC7942_RS01475,KEGG_pathway,map00240
2125,SYNPCC7942_RS01475,KEGG_pathway,map01100
2128,SYNPCC7942_RS01490,KEGG_pathway,map00770
2129,SYNPCC7942_RS01490,KEGG_pathway,map01100
2132,SYNPCC7942_RS01500,KEGG_pathway,map00195
2133,SYNPCC7942_RS01500,KEGG_pathway,map01100
2141,SYNPCC7942_RS01505,KEGG_pathway,map00230
2142,SYNPCC7942_RS01505,KEGG_pathway,map00261
2143,SYNPCC7942_RS01505,KEGG_pathway,map00450
2144,SYNPCC7942_RS01505,KEGG_pathway,map00920
2145,SYNPCC7942_RS01505,KEGG_pathway,map01100
2146,SYNPCC7942_RS01505,KEGG_pathway,map01120
2147,SYNPCC7942_RS01505,KEGG_pathway,map01130
2151,SYNPCC7942_RS01535,KEGG_pathway,map03030
2152,SYNPCC7942_RS01535,KEGG_pathway,map03430
2153,SYNPCC7942_RS01535,KEGG_pathway,map03440
2156,SYNPCC7942_RS01575,KEGG_pathway,map00190
2157,SYNPCC7942_RS01575,KEGG_pathway,map01100
2162,SYNPCC7942_RS01580,KEGG_pathway,map00900
2163,SYNPCC7942_RS01580,KEGG_pathway,map01100
2164,SYNPCC7942_RS01580,KEGG_pathway,map01110
2165,SYNPCC7942_RS01580,KEGG_pathway,map01130
2175,SYNPCC7942_RS01600,KEGG_pathway,map00020
2176,SYNPCC7942_RS01600,KEGG_pathway,map00190
2177,SYNPCC7942_RS01600,KEGG_pathway,map00650
2178,SYNPCC7942_RS01600,KEGG_pathway,map00720
2179,SYNPCC7942_RS01600,KEGG_pathway,map01100
2180,SYNPCC7942_RS01600,KEGG_pathway,map01110
2181,SYNPCC7942_RS01600,KEGG_pathway,map01120
2182,SYNPCC7942_RS01600,KEGG_pathway,map01130
2183,SYNPCC7942_RS01600,KEGG_pathway,map01200
2189,SYNPCC7942_RS01605,KEGG_pathway,map00230
2190,SYNPCC7942_RS01605,KEGG_pathway,map00250
2191,SYNPCC7942_RS01605,KEGG_pathway,map01100
2192,SYNPCC7942_RS01605,KEGG_pathway,map01110
2193,SYNPCC7942_RS01605,KEGG_pathway,map01130
2197,SYNPCC7942_RS01630,KEGG_pathway,map00052
2198,SYNPCC7942_RS01630,KEGG_pathway,map00520
2199,SYNPCC7942_RS01630,KEGG_pathway,map01100
2201,SYNPCC7942_RS01635,KEGG_pathway,map02020
2203,SYNPCC7942_RS01650,KEGG_pathway,map04112
2206,SYNPCC7942_RS01655,KEGG_pathway,map00196
2207,SYNPCC7942_RS01655,KEGG_pathway,map01100
2210,SYNPCC7942_RS01660,KEGG_pathway,map00196
2211,SYNPCC7942_RS01660,KEGG_pathway,map01100
2214,SYNPCC7942_RS01665,KEGG_pathway,map00196
2215,SYNPCC7942_RS01665,KEGG_pathway,map01100
2218,SYNPCC7942_RS01670,KEGG_pathway,map00196
2219,SYNPCC7942_RS01670,KEGG_pathway,map01100
2223,SYNPCC7942_RS01685,KEGG_pathway,map00190
2224,SYNPCC7942_RS01685,KEGG_pathway,map00195
2225,SYNPCC7942_RS01685,KEGG_pathway,map01100
2229,SYNPCC7942_RS01690,KEGG_pathway,map00190
2230,SYNPCC7942_RS01690,KEGG_pathway,map00195
2231,SYNPCC7942_RS01690,KEGG_pathway,map01100
2235,SYNPCC7942_RS01695,KEGG_pathway,map00190
2236,SYNPCC7942_RS01695,KEGG_pathway,map00195
2237,SYNPCC7942_RS01695,KEGG_pathway,map01100
2241,SYNPCC7942_RS01700,KEGG_pathway,map00190
2242,SYNPCC7942_RS01700,KEGG_pathway,map00195
2243,SYNPCC7942_RS01700,KEGG_pathway,map01100
2247,SYNPCC7942_RS01705,KEGG_pathway,map00190
2248,SYNPCC7942_RS01705,KEGG_pathway,map00195
2249,SYNPCC7942_RS01705,KEGG_pathway,map01100
2253,SYNPCC7942_RS01710,KEGG_pathway,map00190
2254,SYNPCC7942_RS01710,KEGG_pathway,map00195
2255,SYNPCC7942_RS01710,KEGG_pathway,map01100
2259,SYNPCC7942_RS01715,KEGG_pathway,map00190
2260,SYNPCC7942_RS01715,KEGG_pathway,map00195
2261,SYNPCC7942_RS01715,KEGG_pathway,map01100
2263,SYNPCC7942_RS01720,KEGG_pathway,map00195
2266,SYNPCC7942_RS01750,KEGG_pathway,map00195
2267,SYNPCC7942_RS01750,KEGG_pathway,map01100
2270,SYNPCC7942_RS01760,KEGG_pathway,map00780
2271,SYNPCC7942_RS01760,KEGG_pathway,map01100
2273,SYNPCC7942_RS01770,KEGG_pathway,map03440
2275,SYNPCC7942_RS01780,KEGG_pathway,map02010
2277,SYNPCC7942_RS01785,KEGG_pathway,map02010
2286,SYNPCC7942_RS01800,KEGG_pathway,map00460
2287,SYNPCC7942_RS01800,KEGG_pathway,map00500
2288,SYNPCC7942_RS01800,KEGG_pathway,map00520
2289,SYNPCC7942_RS01800,KEGG_pathway,map00531
2290,SYNPCC7942_RS01800,KEGG_pathway,map00940
2291,SYNPCC7942_RS01800,KEGG_pathway,map01100
2292,SYNPCC7942_RS01800,KEGG_pathway,map01110
2293,SYNPCC7942_RS01800,KEGG_pathway,map01501
2295,SYNPCC7942_RS01875,KEGG_pathway,map03430
2311,SYNPCC7942_RS01880,KEGG_pathway,map00260
2312,SYNPCC7942_RS01880,KEGG_pathway,map00330
2313,SYNPCC7942_RS01880,KEGG_pathway,map00340
2314,SYNPCC7942_RS01880,KEGG_pathway,map00350
2315,SYNPCC7942_RS01880,KEGG_pathway,map00360
2316,SYNPCC7942_RS01880,KEGG_pathway,map00380
2317,SYNPCC7942_RS01880,KEGG_pathway,map00950
2318,SYNPCC7942_RS01880,KEGG_pathway,map00982
2319,SYNPCC7942_RS01880,KEGG_pathway,map01100
2320,SYNPCC7942_RS01880,KEGG_pathway,map01110
2321,SYNPCC7942_RS01880,KEGG_pathway,map04726
2322,SYNPCC7942_RS01880,KEGG_pathway,map04728
2323,SYNPCC7942_RS01880,KEGG_pathway,map05030
2324,SYNPCC7942_RS01880,KEGG_pathway,map05031
2325,SYNPCC7942_RS01880,KEGG_pathway,map05034
2328,SYNPCC7942_RS01885,KEGG_pathway,map00270
2329,SYNPCC7942_RS01885,KEGG_pathway,map01100
2335,SYNPCC7942_RS01890,KEGG_pathway,map00270
2336,SYNPCC7942_RS01890,KEGG_pathway,map00920
2337,SYNPCC7942_RS01890,KEGG_pathway,map01100
2338,SYNPCC7942_RS01890,KEGG_pathway,map01110
2339,SYNPCC7942_RS01890,KEGG_pathway,map01230
2341,SYNPCC7942_RS01925,KEGG_pathway,map02010
2346,SYNPCC7942_RS01965,KEGG_pathway,map00860
2347,SYNPCC7942_RS01965,KEGG_pathway,map00900
2348,SYNPCC7942_RS01965,KEGG_pathway,map01100
2349,SYNPCC7942_RS01965,KEGG_pathway,map01110
2354,SYNPCC7942_RS02010,KEGG_pathway,map00564
2355,SYNPCC7942_RS02010,KEGG_pathway,map01100
2356,SYNPCC7942_RS02010,KEGG_pathway,map01110
2357,SYNPCC7942_RS02010,KEGG_pathway,map04070
2364,SYNPCC7942_RS02020,KEGG_pathway,map00230
2365,SYNPCC7942_RS02020,KEGG_pathway,map00670
2366,SYNPCC7942_RS02020,KEGG_pathway,map01100
