Geneid,0,1,2,3,4
HKK26_RS00005,0.005480959512120287,0.003687247768400219,0.007734751288495672,-0.012631102861328514,-0.017808324897080306
HKK26_RS00010,0.0007294192768505569,0.0346042676723378,-0.014510156310270285,0.02350097825330342,-0.0026913560699086537
HKK26_RS00015,0.017922675041707296,0.055229644330708635,0.001236980649261073,0.040151257709436575,-0.025998545087680527
HKK26_RS00020,-0.0035777069976342525,0.007716504814597383,-0.004309977943255564,0.029790848326140793,-0.049632731197421884
HKK26_RS00025,0.05197672462109202,-0.0011380878902838285,-0.013669130049690774,0.025813371558319233,-0.022902193042494433
HKK26_RS00030,0.013549804598098658,0.01688682561904051,-0.0005152367681534931,0.04451397816327768,-0.027621398291532397
HKK26_RS00035,0.03905449155787026,-0.013658734906507769,-0.00047519913367619196,0.024478126912080546,-0.041705223860487785
HKK26_RS00040,0.0009450724136699469,-0.005567603927959157,0.005924742093408134,0.010842340120552296,-0.0032855228241828165
HKK26_RS00045,0.04082758252988258,-0.0174581007611286,-0.021813120023783456,0.01899784284450457,-0.01951127165381559
HKK26_RS00050,0.008433072993577545,0.017731626025619684,-0.006317204281029201,0.010551439944779402,-0.011554848815026521
HKK26_RS00055,0.010115200206046315,0.001155338861763164,-0.0023602307592364064,0.028680239525768564,-0.021175797479057117
HKK26_RS00060,0.02835712416686433,0.012067891869142717,-0.01749931358476298,0.032992133777395516,-0.010603857000555994
HKK26_RS00065,-0.041329004064681325,0.05853370396915911,-0.016928078423493052,0.06410317817026324,-0.008005502198639691
HKK26_RS00070,0.0002905976747411909,0.014699848631665603,0.0022382824588659546,0.03810919710396935,-0.0029987141909715905
HKK26_RS00075,-0.005118728561519181,0.012954539672193045,-0.000984096698712182,0.06302652771204814,0.007376462846433712
HKK26_RS00080,0.01749002942344059,0.007275347710946718,-0.003512228810241326,0.029549179850535734,-0.014313164737049687
HKK26_RS00085,-0.0015383306708409367,-0.013207265183590295,-0.00018207400275984615,0.004639277787841287,0.028741245060159244
HKK26_RS00090,0.0303951021057765,0.00011371986986829633,-0.0038866683521328054,0.03373883951482206,-0.0068213042250529245
HKK26_RS00095,0.014772781115064228,0.01763425840890416,-0.01894299796800874,0.03992104679570537,-0.015517360151186288
HKK26_RS00100,0.005144025792577409,0.02865883634489221,-0.018770714727338867,0.022714564417658973,-0.008865000427579959
HKK26_RS00105,0.016203864764217316,0.018961515584195735,-0.00873453205820346,0.027187950192187955,-0.003433335709706825
HKK26_RS00110,0.0006496759526560575,-0.012195698032772453,-0.02579277808657836,0.018940950973166174,-0.021588542030510697
HKK26_RS00115,-0.003259707821285052,-0.01324462144050002,-0.02494942173531997,0.014825061112032743,-0.02703729731513798
HKK26_RS00120,0.0026937908680343724,0.037269279775989116,-0.02243139755490353,0.0386194124363245,-0.0015270366645914772
HKK26_RS00125,0.002500937085544077,0.02650762864043407,-0.019553814533411724,0.028555236470996427,-0.002147115551161593
HKK26_RS00130,0.03106421099117058,0.0006932182859831783,-0.010266203042433893,0.00041399705605909317,-0.02004718459231297
HKK26_RS00135,0.01618882988016753,-0.00303010936142401,0.0004507861574917852,0.03535461389554264,-0.015929102643269622
HKK26_RS00140,0.029054876608923186,-0.018390723919817265,0.011166213646361708,0.05519278650949986,-0.02975879664974839
HKK26_RS00145,0.01741127725112631,-0.00952077772260181,0.012693616166303321,0.02930198952379202,-0.02965922092602566
HKK26_RS00150,0.008267874974163984,0.0028198112315374847,0.01410161273624224,0.033535190333582356,-0.02848391274659604
HKK26_RS00155,0.023179505995050243,0.02031534286866515,-0.023236812585065526,0.030143136757126317,-0.024036021857126975
HKK26_RS00160,0.023167665124973685,-0.020009991261413257,0.005435912540797958,0.07625963309684161,-0.021766987007136498
HKK26_RS00165,0.03146902154072277,-0.013994701623857297,0.0061265220417672725,0.07902811644159322,-0.02680066611040389
HKK26_RS00170,0.038310228907115024,-0.010097981930509412,-0.023694103519979914,0.030101536825406762,-0.01562839241572898
HKK26_RS00175,0.003322454193072685,-0.0021922290367834625,-0.018807265573177155,0.032298280152343754,-0.0039834846374234775
HKK26_RS00180,0.030515047975054565,-0.002403832154709738,-0.013001780184541773,0.018042815762977445,-0.01635211556274343
HKK26_RS00185,0.02181664804608253,0.00828952432139509,-0.012253672745894674,0.022025061530486775,-0.02252560274325903
