Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
HKK26_RS00005,-0.030023088850274715,0.013626128526081402,0.0027059384761162564,-0.005966756134753877,-0.012945407390879458,0.01116125461821015,0.01483271381398241,0.006784553453189863,-0.019196728599865466,0.004244343137803764,0.02186688836892658,0.005228742478471569,-0.010573252558364535,0.021966839106152193,-0.01509883837911203,0.048113896628992785,0.00636587645226768,0.07745850271052322,0.02015110996292161,0.0010271315376207566,0.029980897970677507,0.02423622349927062,0.014522425316296977,0.010286543924901664,-0.0015818969153632738,-0.06051538597758923,-0.0013376378712487377,-0.0030847416756139023,-0.0007163248486605188,0.00013280196736035032,0.004197369719145257,0.02053544322588749,-0.01406375493705828,-0.01904476897599933,0.027280181458471914,-0.02650844119994016,-0.00173720337285928,0.014309599323181548,-0.008314211701600282,0.001767482800365499,-0.00758215240909545,-0.03332597261152725,-0.0012189645274393271,0.023573336374286713,-0.024246029753749992,-0.009482950672467514,0.021945083655682353,0.03137302513747189,-0.01590303378155612,0.00040949908008938127,-0.016357313172715337,-0.016513867267362016,0.012323764743775424,0.004322802807502329,0.012339302285652692,-0.03527459233720775,-0.01718890078323151,0.058157252084334574,0.026645295871705863,0.005042671558055157,-0.020019592770573698,0.014783969373991245,0.014310327465617853
HKK26_RS00010,-0.021430603756849333,0.014340077325528718,0.022883954060582967,-0.006617570222753139,-0.004702486629804616,-0.004689845881167418,0.007426757877891498,-0.044542853532833354,-0.0020240976911439232,0.029174169535508564,-0.005566869146456099,-0.006052822928727065,-0.05719914772359903,-0.009179685521483153,0.003673359927055017,0.030312972380120876,0.03872957210279834,0.011507038717481806,-0.014118829455475547,-0.01217340965405428,0.006239181840215673,0.02403408785372595,0.01185138586619732,0.018797799931299656,-0.01907611179944201,-0.015330292806360496,0.006903985099064194,-0.029771926281220162,-0.022022046218947103,-0.012676475786708568,0.009993023032872254,-0.0009132301248724638,-0.04549585989728005,-0.02120452119664907,-0.005083540574322673,-0.008638976052472219,-0.013972600423660799,-0.0011282017870929062,-0.015874729114314468,0.03667864064662011,0.17407988404219643,-0.01748023466490667,0.004039718634725143,0.012671658594716856,-0.023155177614118772,-0.009506622629972879,0.002020999664129392,0.004962282076528838,-0.004023040870009628,0.0024000518462361504,0.003648363617477747,-0.01735984466431205,-0.004520904927652172,0.003347809929100008,-0.014750342976011159,-0.0038428276796296412,0.005629520569889426,0.007136136075102855,-0.03449904858405251,0.004392022473994778,0.00961561351153005,-0.00805691674172077,0.026415249486909622
HKK26_RS00015,-0.008796806303138466,0.010966853193987651,-0.004949022367906061,-0.007564033756060634,0.003409953484326451,-0.002758814445551499,0.013523430331515382,0.006510482983727417,0.015531533958277124,-0.021385070224219975,0.0016240321341219571,0.0028466040539444526,-0.009287470085823245,-0.003909663076854324,0.001637393144996906,0.022590532825230384,0.021675636300827805,0.0050868577907384116,0.008963988327671268,-0.00426971550177003,-0.027510170076306354,0.015680902841197514,0.001217872964101841,0.003565890318942521,-0.027731611841374054,0.0007636785259844251,0.0076402171148627065,0.07182966567530415,-0.009052507457312004,-0.021136933135139008,0.06731431242093355,0.03179646286287541,-0.03785103860764791,0.02027102888634498,-0.006139347992961241,0.02438341930734649,-0.02754355010689906,0.004385278091572776,-0.011108671006226187,0.022152949362071857,-0.002897428754199159,-0.031186071054439282,-0.008266272806109191,-0.003276740327384348,-0.0035174738047477694,-0.012458159610291468,0.004519503056923157,0.020446174410435766,0.011314435417477633,0.014954915690956855,-0.0002013874591789719,-0.015387123189483893,0.010095967873413445,-0.012532220703695997,-0.018214382979064,0.012385323305427211,0.016461464536527824,0.007525959405527606,-0.035756108395397765,-0.018633974910664142,-0.0005044003777789687,0.005687979681019897,-0.028111373396534575
HKK26_RS00020,-0.013634808433988139,-0.0108273883078951,0.0027560408890177773,-0.00793497362229373,-0.0022016763646962403,-0.0219790870563068,0.001224330256392144,0.014715251191491014,-0.020213075811328127,-0.02613921005528236,-0.029697052562334764,-0.0024672235852229575,0.002356793240348707,-0.00032149547759535534,-0.009964191028205142,0.0001019109043888575,-0.0025630876995453096,0.011462434318430194,0.009468046680689174,0.0034759158519576706,0.011267521077461375,-0.005067841413522982,0.009280708298147446,-0.03771037876673971,0.009830206943256196,0.00022548778631542238,-0.005214266535404394,-0.026506044446487298,-0.003978542594496641,-0.014682837720637503,0.06282623729619696,0.018040168126568223,-0.00565270402880907,0.02651323932847338,-0.007881856361213146,0.00876643773307434,-0.0018125985727559463,0.0004837313412201595,0.010951289239029618,-0.002556679832185458,0.018293483791689664,-0.021767222648426676,-0.006923850949915901,-0.021067998122634855,0.0014499516565229136,-0.024458567425322916,0.023683182820681752,0.0034953777294064623,0.024427110185829427,-0.015106361274690526,-0.002004891419449335,-0.0012921224208018386,0.02986345909337773,-0.009752828643608425,-0.020194651004552106,-0.0008826786342313505,0.0017145804736133443,0.014424622229449442,-0.015420344995469522,0.008714444485915927,-0.016578991274447293,-0.0020917891595153533,-0.03234707992830361
HKK26_RS00025,0.002759695058971171,0.023981320771851902,-0.0004991443161490349,0.010031562949032846,0.000703642779626923,0.002916117486359931,0.008738717113358798,0.014236721003570665,0.022645025783402287,0.02015556013786282,-0.003300560279102986,0.059372943968735485,0.007702036714220009,0.003339832609177691,-0.02218867860838676,-0.007172176975739668,0.004591941220521679,0.028732668426475177,-0.005216946674590047,0.0020382991685756343,0.009377979674638107,-0.02096334306063068,0.00994362126981776,-0.038324668915803495,0.0021843063211885155,-0.0012053464439808934,-0.024991844891500123,-0.0012258809473372758,-0.008478328186989025,-0.0007458396688520949,0.0024323190524666665,-0.011429690907888175,0.0797161167933078,-0.01619512380275988,-0.011237870346328284,-0.0006442450257163807,0.004184570887146701,0.007872024732071943,-0.006533772551273647,0.030328851356508695,0.004777628180327354,0.005125701342852265,0.018839404276577768,-0.008447098596087535,-0.01716824028701853,-0.05552375544239336,-0.05349101074237486,-0.00012605896869401443,-0.0027112043752484396,0.029557736452273088,0.01718685940252277,-0.007318888627961361,-0.010344132303246571,-0.024014804044211645,-0.011947564286589055,0.039126964132473116,-0.002439905221130637,-0.033248246690526784,0.00027645951141673676,-0.0010102528729698116,-0.012410655856327281,0.00897343320763391,-0.011301115153933628
HKK26_RS00030,-0.005677665399511346,0.013023213241776077,0.020787615475136367,0.011097579767331939,0.0074333359142124775,0.021230601548259793,-0.02878699784987612,-0.005062451462005754,0.01559949645975956,0.034551989546312806,0.024903249458830327,0.007518782154364903,-0.0005741913575104333,0.004363665263438379,0.0010462811208540978,0.0009553889249916112,0.020613201295005455,-0.005105927211322003,-0.01366092799936205,0.015378942146785876,0.02271579590749697,-0.008257335329311492,-0.04664911129377733,0.0010831731327171357,0.015490933240768985,-0.012388861697279369,-0.000998503014723392,-0.013125637590348538,0.009047197847130399,-0.012964115547598456,0.02000780455039452,0.02396963957056968,0.010888441256903058,1.4971613455480219e-05,-0.001225730471727785,-0.004936378065644095,0.0032930053564988676,-0.01960991256785561,0.016618750392976844,-0.01565731993290009,-0.01781136771356142,-0.0165437775729438,0.016940761551883416,0.01130440277046043,0.010216918744560727,0.015878758675163692,-0.018513609592077557,0.024351328352452718,0.004951860921895373,-0.016250119457653686,-0.01397713206953635,0.02344285616756622,0.001781953804942669,-0.01461252512128611,-0.02170059609440818,0.018571301629718255,-0.0031572457491624707,0.0169267470858583,-0.0001716380901437538,-0.02196111925719194,0.004663715982950575,0.008876232086296253,0.004714703760960038
HKK26_RS00035,0.0013944357960449516,-0.009130555276127751,-0.030304244560473873,0.013648030229011596,0.0037112107815670896,0.024111461101358967,0.009747352185075282,-0.02065226560158042,0.015055561832394995,-0.012134266581957471,0.017376013486351906,-0.027915588773503405,0.017194206725554613,0.006070511505897416,-0.0012408368687063982,0.011143522728936595,0.0378850021227785,0.10990555376475712,-0.0009429706568794063,0.009165641980482921,0.01733279314031202,-0.009111107178784068,-0.03204823347471288,-0.007266870221530982,0.02933345145498016,-0.002192921704199562,0.007552365732967288,0.0028101134375555425,-0.006760413201280706,-0.028217725239219803,0.010852800554689918,0.020087625368549553,-0.021302329922310525,-0.010841133175231598,0.008549303668821466,-0.0107290885459399,-0.04184216821337851,-0.012143343879600126,0.017951182402646104,0.026641200262079157,0.008760588540936138,-0.029494237057802998,-0.011123589276598844,0.03154546494069227,-0.005209113392215893,0.02010849172339785,-0.022709824799784197,-0.010316353517903025,0.005803389100532356,0.01401860700527246,-0.03477221600417835,-0.002238720318328217,0.012508854553855904,-0.010012702677647924,-0.010104258993008623,0.09118398529271374,0.033607717149296834,-0.0029946122137318168,0.007487667342334984,0.002760227768131367,-0.010119746858705932,0.00218882564380992,0.017494203754850272
HKK26_RS00040,0.01036468232931828,-0.011044694511552636,0.012730539829761207,-0.004877716428101349,-0.0019897454858908365,0.0009859130742311524,-0.008339530965080288,0.020830873513659122,-0.021054471829414906,-0.0008233741284976916,-0.0009388458358847776,0.028853910790756516,-0.00670309836926701,0.010043177244229708,0.0014386231469503926,0.03175492399812687,0.04365958280449602,0.0011983561498681331,0.01173183693798437,0.0431358978246211,-0.01285941827113404,0.011592825755906658,0.026777554056509167,-0.0019707799298116562,-0.005220192773016188,0.00537027259759118,0.07109977091530555,-0.014301062235920103,-0.008202144868684272,-0.002981079524670912,-0.01007715993288927,-0.005129635497726104,0.008177979785268867,0.031600430387514866,0.013343051175080218,0.0007092413925577507,0.006972173623665963,0.004157907323893701,-0.00747783341639007,0.0012817542515598545,-0.0022129450182700435,0.0016330238410268774,0.019377711776656426,0.009667502509411542,-0.0339849334829272,-0.012514893298383628,-0.004754464271236475,0.025824882327081335,0.0031774404541429708,-0.01980291379820298,0.048739532704278214,-0.01022041603720122,-0.00887761588306791,0.00015798869408744875,-0.005446482128570078,-0.04625580150772114,-0.027990562369395015,0.02984532066562448,-0.019691849781580794,-0.01166899843908401,0.012187490642947881,0.017921166889119194,-0.011886204879929219
HKK26_RS00045,0.019466676875321744,0.015651695308000594,-0.015911598186561623,-0.004730738251225837,-0.005118903305129731,0.004073416400015367,0.011445093221327404,-0.012394135864149176,-0.012333101124133643,0.0009668052110464825,0.0007298526219101473,0.016060402817411584,-0.013218944492445336,0.009226988815106306,-0.013672719128361915,-0.015609722162577569,0.012186803628415444,0.06054363945293678,-0.00935030077262021,0.0015956634370267748,-0.013436451932221448,0.003065933691077393,-0.012070695345284656,0.01374424009968786,-0.0025525641661733657,-0.008678888089413637,-0.1087071118415998,-0.010949425838236073,-0.0005689262250001076,-0.004736171456409836,-0.00677992527437704,0.004759215376627295,-0.04931763313837427,0.004469975177134936,0.00869832912611246,-0.005737842507827778,0.0008491371137029515,0.01432555586898819,0.0018979594521877383,-0.011193168760584613,-0.0020155518536508744,0.005844327228574618,0.01849785926141143,0.012232829036489543,0.06959794309980843,0.021149436848693418,-0.005127250734476231,0.0034027095917182957,0.003090885049731925,0.6149064920280893,0.0019229844872812956,-0.03482911291419057,-0.017273258389390544,0.006788266189779246,-0.004175426670475481,-0.003907600655160127,-0.0037939040875443596,0.002292901932807717,-0.015999927005768227,0.008401066086615887,0.0026298791698796055,0.0012094241654755779,-0.002877788397563807
HKK26_RS00050,0.0028644446051912125,0.011267326088165558,-0.014206059264726805,-0.032970393187082794,-0.000292632611639582,0.009676891859904953,0.01980292255417001,-0.044504299029675794,-0.02384430737562756,0.02284594646294126,-0.009763204586140295,-0.041889051115314435,0.027983160143263307,-0.003298218679528164,-0.005071452243306356,-0.007515948679563988,0.01638839117388754,-0.003557547964472141,-0.012107762457707717,-0.007683835860446183,0.0063127618459984935,0.0021104766186459158,-0.016262602511740692,0.014509435765531074,-0.005423144656451416,-0.029082075918917743,0.0040532669257673385,0.02726595086784718,-0.03231499387018768,0.008636647226917864,0.0010865003636143403,0.041957500866888514,-0.02031838765773156,0.025641494390362965,-0.004886255618140263,-0.02127477798783136,-0.03572154705539179,0.004401080699000307,-0.022422371726417818,-0.0013120877193760056,-0.00391336144171237,-0.010300552857501408,-0.00837986059748193,0.012876483439861953,0.027217542500485182,-0.031720859255074334,-0.00021408420889798733,-0.0021666880213670942,0.007905481244774637,0.033216463375573185,0.03966051688140661,-0.007163646909134941,0.043918689465785185,-0.017254995557765808,0.017236212376480375,0.0033848356008411903,0.014419113864500824,-0.0003978888774471146,0.041260675925445744,-0.013453954688654762,0.01387198344140228,-0.021754763880650476,-0.030674297952918317
