Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
HKK26_RS00005,-0.0031448524956064236,0.006639590451199137,0.013925156514287333,0.012549419191147753,0.03282197552497532,0.01756082889358385,0.07525098079972338,-0.003559655395870579,0.005037267849861765,-0.014503637880932386,-0.005813777077300071,-0.035918299459185996,0.06915274031948888,-0.013705443191375668,0.014644071722828545,-0.015973969584687803,-0.0009732715892577903,-0.010223707022538915,0.007812051196222977,-0.011490688468507504,0.011723434236241859,0.07037922536135909,0.01759480212539917,0.010841206248987394,-0.00964763170270148,0.03071568256867151,-0.003332802656898377,-0.0031231444113450023,0.004920408371436774,-0.05214378524545305,-0.024467411417353233,-0.0005784111885702693,0.002376617214662639
HKK26_RS00010,0.011577989593967051,0.01082912371207573,0.01940708616563569,-0.0010767104083459148,0.022000818726992638,0.003622499572053387,0.028924813065807627,-0.021745662542590735,0.010374421898107038,-0.011559153027871137,-0.018442796793895364,-0.013804967465018397,0.006346330676946375,-0.003716892103766191,0.0011682743965474502,-0.01705966969280028,0.018469066722648045,-0.0062807364153432636,0.040620265361549716,-0.01929998043764499,-0.010913889385374886,0.0036418573079505428,-0.01766178773028325,0.12748681928075625,0.0058934079189813405,-0.008751813938268058,-0.0067923251956778915,-0.031496320245292385,-0.012649778935958025,0.006548187293568682,0.03049975742026251,0.014244875727646007,0.0035464225426238534
HKK26_RS00015,0.038340453108859675,-0.026114139255226015,0.03914875790929725,0.02772080784481189,-0.014070835464205757,-0.03434159788317926,-0.03057380339528277,0.030202669540370486,-0.0021710346618653235,-0.022967810800471552,-0.05939911799091893,-0.010073653688425506,-0.024542652011136278,-0.002277152414555397,-0.0034327086408732937,0.027495302009186755,-0.024071525292228245,0.022773681376568416,-0.01958250271453027,-0.04511507404993635,-0.005053359662272949,-0.0059161645641856745,-0.00866413268512614,0.010438090333360864,0.02432854510786036,0.004469257684525619,-0.01930049178762397,-0.01364855502040456,0.019208686804208813,-0.013885138915812532,-0.00245162302284932,0.013466230616352333,0.004405049869982054
HKK26_RS00020,0.08221133036620001,0.004587824598521727,0.0015136701950203843,0.010012717565886288,-0.013833804778200374,-0.040643647128475874,-0.028232032060671427,0.0239605910293204,-0.011671740838745727,-0.01749386188433442,-0.03853723250336203,-0.005361225010027493,-0.020096262064511546,-0.023505012338609976,-0.009960986524004182,-0.01869809946825892,0.036530552821070934,0.05053850969410817,-0.0014376441810074888,0.0009926100253912788,-0.003605571018815014,0.007164742765015395,-0.004089405760149869,0.020862071940132263,-0.009364434633151012,0.009579718497629692,0.007413062339713113,-0.008626645362778679,-0.01979566405766352,0.00217499484058428,0.01774790612899006,0.0030621412658326823,-0.0374803512915604
HKK26_RS00025,0.02622544542760271,-0.0056057916662133785,0.025461946528637574,-0.006677367740029563,-0.0009718398754045649,-0.01448194349990816,-0.05281294781129409,-0.002214446116944593,-0.008492072918951378,-0.01998891463271634,-0.011730597230597144,-0.022074027321199275,0.00042982094787768745,0.06099463159469415,-0.04078962951600898,0.0261363665197357,-0.0025658041378735855,-0.01292087770088809,-0.029693985696014297,-0.01793239867192773,0.02518156374452803,0.023132743947251865,-0.011470653694759707,-0.009559607375715505,-0.024965272864187843,0.025126595155858255,0.03808255460560224,0.013911364427130993,0.013668502665496095,-0.008139980930073334,0.012736961710210368,0.03808778259791153,-0.004818013426129721
HKK26_RS00030,-0.006679532724503777,-0.02445772103298249,0.014002877507623655,0.015910590809242727,0.01753186237356048,-0.016248185347485924,-0.020565743170476245,-0.02768453487533613,0.04415288367169494,-0.009618705505156372,-0.028805845714530997,-0.014839762768190339,0.035348728329972816,-0.006091774949021693,0.01146095932967688,0.02139119479306068,0.027639121064618775,0.020314035194538355,-0.02156312212023661,-0.01860579910381133,0.011631927664885565,-0.0011626881839742025,-0.028053761557709066,-0.001687485529494247,-0.0034408917913332144,0.006359145823974124,-0.007372963397877638,0.0003918815792938022,0.03505592938924091,0.031294839419364395,0.058134709274745684,0.012106513085501713,0.015532125550246948
HKK26_RS00035,-8.785068977973444e-05,-0.003615051054688882,0.02903760494520797,0.040902397376368624,0.030376373054633546,-0.007898680433452553,-0.03918079140205116,-0.006123917313374847,0.007930671420742965,-0.010946799012647817,-0.0067745492800624614,0.003853668939131878,0.006224376887946063,0.09560347677418969,0.003515910009404904,0.005985344734317412,0.007683108608871128,0.03762800724767708,-0.05210637656441905,0.007973526884327458,0.016258949785438223,0.10230682068181576,-0.014777266840427745,-0.01166916664636791,-0.009643603689016492,-0.022715363612674427,0.004644307151590752,0.009290877092930212,-0.003959613786340536,0.003944082474107563,-0.025267968354420703,-0.025464981355925887,0.005331787865314358
HKK26_RS00040,0.02696616114776251,-0.002709181112713438,-0.033104930220506756,-0.004324291698038539,-0.0008130044843565624,0.016328308580629447,-0.014574604761661019,-0.028278115706526566,0.002338764849380791,-0.009817425500045279,-0.010808609542968523,-0.031583465749637114,0.05249221352519429,-0.00048205911904408455,-0.0002855519649284151,0.0005292078668772068,0.043470571231615455,0.0031821303690543353,0.013558389753457346,-0.006661779978955541,-0.013483878626317738,-0.006771034624594685,-0.0089254269673357,-0.01494327856881827,0.0038719269620817553,0.00047468010935715165,-0.04319270276606504,0.008177322943009248,0.026399019663935826,0.009518100790067692,-0.04074172078495605,0.09719066963991752,-0.0008639751080159526
HKK26_RS00045,0.011027377712968115,0.011723523636865836,-0.00881439561239619,-0.007728507426658378,0.007466415821567327,0.02533222018683501,0.004758940885733524,0.01908426815193164,0.01622513953334186,-0.028689939191023427,0.0013896323351111348,-0.041289820491961955,-0.001134384485807413,0.008602750869829584,0.07988052434970719,-0.00764857261455065,-0.11516714599773828,0.01095804473722095,0.05478723954454576,-0.04341142268420291,0.028252163287417743,0.07161428293752838,-0.011311080772008632,-0.013282636025599655,0.0033873617825230314,0.033066199747021435,0.031457378956556765,-0.01882224880966731,-0.03290763982975265,0.009266138645152078,0.01781173334084555,-0.009749233575170602,0.011287650023301465
HKK26_RS00050,0.012781370838531871,-0.004118145815173082,-0.013630397351214782,0.03031115124976995,0.02612104489963392,-0.01939543501119263,-0.0052125635265562855,-0.007766086558796113,0.0022580928512599967,-0.015929567222248364,-0.0018456095725870748,-0.021603659894964388,-0.0075639848235051375,-0.012213517005702623,0.009972377523201341,-0.010423863108623492,0.019645197336963904,0.011009081309684081,0.024253206430056875,-0.007477881755403479,-0.009490870910213034,-0.00317531122149694,-0.0025883703870638462,-0.0066324399385660525,0.016378178869794216,0.017957704899742265,-0.015964692212168726,0.02248035247703867,-0.012644683191898619,0.013491886576702378,-0.006513463205069585,-0.022547038343826105,-0.021673447650929413
