Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
HKK26_RS00005,0.01991156015745608,-0.0018793314677986541,0.013434812634940183,0.06970860476153465,0.016448859241989588,-0.012861328722044178,-0.0377547486128589,0.008418574186124794,-0.03182651898166825,0.003205504609917317,-0.00996279864065065,0.0076237783204252604,0.012748342498166426,0.0025258447460417516,0.014065581996474237,-0.015956022327365725,0.04736415947478539,-0.016962094588722915,0.0021985779057180715,0.00802374030536397,-0.01377734767947532,-0.016552130398817144,0.060170076671341555,0.0014411252882467573,0.01414123683215402,0.014439104751712917,-0.018943367183326246,-0.007221776097325695,-0.03120268295407144,0.014274645708786131,-0.01204813045241135,0.0068392701357716116,-0.003406405083992511,0.06026421224041059
HKK26_RS00010,-0.006363775888187433,-0.019284676907453085,1.4825598735792602e-06,-0.0011302908596250614,0.014604616161440351,-0.014048496392309588,-0.021516363515051037,0.018610929806455356,-0.029494382382141845,-0.01870156549667787,-0.015119593702895928,-0.04618469653566737,0.1101185998184286,0.008373709169738142,0.006635340329170038,-0.02961998732098297,0.004868237258003852,0.004735574261985512,0.025666335357903466,-0.027396616488723487,0.025102215897535366,0.008157445010590805,0.004225468023430683,0.00897478932245802,-0.006118857320293753,-0.021616515589956854,-0.010240529352495404,-0.0002094549094812506,0.01123997546147803,0.02248036228649051,0.014147970149035698,-0.006828271308885667,0.01357590299278415,0.028901296142416
HKK26_RS00015,0.00703175541367046,-0.057913630916271795,0.029135090998432315,0.0038583815970713153,-0.00929649726867968,-0.024174428112585845,-0.0021565321105842432,0.04363237185840471,-0.01663605062960471,0.004214861098307301,0.011841325445283752,-0.0030479303067197983,0.0253614538051467,-0.03365560748860219,0.012019497115133802,-0.03844629475370429,0.010614979898445316,0.02368152602109706,0.02697790791612854,0.009830990708074118,0.005341514636890219,0.01488756457248293,0.0044798640390027135,0.0021043494237236284,-0.02887352056665168,-0.007158549702406892,-0.005528894887135174,0.008279677815907676,-0.009536808175083759,-0.0024822717873670785,0.023862418687765164,-0.03173377288975395,0.0064601231606818636,-0.05335326966614407
HKK26_RS00020,0.0005499079283394235,-0.03206540149943399,-0.0017606948233152367,0.005746975942944146,-0.011386464446091493,-0.014607467029870778,0.0011111603510229066,-0.0033408237279873836,0.007430713479030207,-0.03192708085559944,-0.022894539343327774,-0.010466426901847554,0.04483990141053032,0.0021370537340025457,0.01975454284046901,0.0073866515459545925,-0.01275835440583658,-0.004166201996101764,0.07005393260111477,0.004354231337368979,0.059228775702316,0.040878200144665276,0.004390034215396547,-0.013681923024866028,-0.03564956763139569,-0.0031716294237726654,-0.014470836954792557,0.0066299693472054964,-0.0012532261264017394,0.007618635400463778,0.02397746487745013,-0.0005502987198643516,0.027844415987645997,-0.0022413321781692254
HKK26_RS00025,0.04275349853140249,-0.032507374199231685,-0.011851331656362618,0.029779707306593538,0.002809691838493924,-0.002982971008497397,-0.011770323379711803,0.0091906022277837,-0.02015704441105547,0.002957284752850982,0.01162675639861938,-0.05518365559523572,-0.0022176749204739074,-0.015112694284945135,-0.02070863506327342,-0.02994943271647719,0.006946756965257403,-0.018263651943739547,0.012014617730000274,0.02588310503664959,0.06590052868621396,0.0004434140907986525,0.04014197137175101,-0.004522137418706846,-0.0057260451428099235,-0.019201401816759354,0.05147260918083076,-0.01111525004753878,0.022925793142912456,0.0100262706680273,0.01871619719524117,0.0004459563131113899,0.022622117630377366,-0.020807968050183857
HKK26_RS00030,0.013561241920710463,-0.016367530748930804,0.022312321583346808,-0.0007428985212349017,0.010050998338376757,-0.00885593089232387,-0.012050043860713263,0.014245520887284056,0.013360665941264987,0.006309696171220249,0.024080221316960495,-0.02190694352931429,0.00613232273487489,-0.023192910412060282,0.017107614053518294,-0.015227542454761213,-0.03352123283842744,-0.012675680606086127,-0.0071935246699594505,0.017054855336940705,0.011085695261228197,-0.007362733750333041,0.006505233612736682,0.0404370966763335,-0.009741288692125125,-0.025121157600618584,-0.005946419366048628,0.022602832160791547,0.0346362943558755,0.026881074840270594,-0.0024177684407743873,-0.02154306245236221,-0.017213883444168132,-0.005005835295947049
HKK26_RS00035,0.03250220823089432,-0.004437290884062014,0.011392318626617659,0.10719160849608775,0.024173860395534055,-0.01693006430940862,0.0024937451401605896,0.03838801113091271,0.002859935630811692,-0.008041313317761466,-0.002318421555853495,0.03307418492818791,-0.01883462843140911,-0.0053185368009759796,0.013267248282754891,0.006998933818733359,-0.02162570452032837,-0.027814374129532516,-0.004585341831729084,0.020421272953827483,0.02268611040088906,0.015379716082023442,-0.009967121332072712,0.010561126201203492,-0.007407446074497828,-0.009848137058436035,0.09426945453359621,-0.024993403617784574,0.02070774001699757,-0.016771630824544317,0.005136732117224079,-0.0011174975458486443,-0.01263555958287935,-0.021585515893378943
HKK26_RS00040,-0.008977244340978477,-0.02538283930223081,0.009915288868152277,0.0018309699466556148,-0.00975959647198426,-0.0030461490689458514,-0.019624321600415086,-0.03964666318280206,-0.08884582368947158,-0.03284098807335721,0.003974061835148444,-0.018400097292281422,-0.0009364827136331827,-0.004646382900396243,0.0018286125779984055,-0.008057571335195414,0.0758220808250679,0.004959986104555381,0.014939100214523389,0.01645946644836195,-0.0020449325008052343,0.027196339939790645,0.0006991300795086444,0.004967587995639608,0.008196217766777756,-0.006850210336304206,0.0005538858037194398,0.024615674029441013,0.04964470247118731,-0.007315660600223532,-0.015669981343032092,-0.010501828304159938,-0.015946480978921727,0.022011560144496754
HKK26_RS00045,0.04146920934382,-0.013387544344302206,0.060128291905247,0.06538714268111913,0.008923174664896796,-0.025644967168690278,-0.045254763436630416,-0.013257637027633195,0.019082778524765323,0.004345841666783587,-0.02378818310886529,0.012108358778827578,0.0025018150822455976,0.009783184969826601,-0.02624617619174956,-0.015028314225525682,-0.015806141278824074,0.010404628726936725,0.017401909056579318,-0.0076505031810456285,-0.003509012359031789,-0.008303038084965679,0.04800452497634795,0.018510106995652024,0.028665338957351415,-0.018876221054379548,0.032251314204429476,-0.025243815124509496,0.05435410816776337,0.034576692089029894,0.00040009467872573743,-0.03452245110330588,0.00764219866745951,0.01429147714118427
HKK26_RS00050,-0.012807399654609107,-0.001314742897485424,0.006705668413943398,-0.006894779218718524,0.0267524308999733,-0.0146489783297502,-0.01500860741341681,-0.006247226022895465,-0.018441430977258363,-0.008978383105627532,-0.012332681413375597,0.0003294235903166377,-0.008574101110621875,-0.00046531793125204177,0.026613994802114346,-0.009194541736497442,-0.0009544238556463907,0.011980745485694864,0.016584171948671345,0.02465375117920557,0.003922473662435113,0.012735161300530998,0.014861418760902034,-0.008130084091278068,-0.02199784446263131,-0.002784311432423797,-0.008978854434913858,0.0015508155248856604,0.019939931101402218,0.003673736227166076,0.024408724048888688,-0.017762646334747546,0.0062234272721155524,0.01467357420414811
