Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
HKK26_RS00005,0.011953121453903754,-0.020094926534127318,0.020721897072778564,0.04044400881406938,0.030233710001347728,0.006962730555141991,0.001639684100188712,-0.004134895477553257,0.0009136934763113279,0.020206542149862526,-0.00893334899449274,-0.00910402713545005,-0.016397201725331573,-0.02640297503650979,0.052930903195182004,0.02481031683428814,-0.028293957522315078,-0.01709790767961015,-0.011166501678754659,-0.0008999332346941094
HKK26_RS00010,0.008604529855693974,-0.011440749622065108,-0.0076028441696169005,0.013378218692490791,0.09212293284709883,-0.0008997036962858359,-0.0038352896839634176,0.0337189657845709,-0.009563987936245726,-0.027605872810413407,0.016669561326068123,0.009998866001662188,0.04321661754702084,-0.010546905487260085,0.028689464990674575,-0.00039341189590185577,0.020546633402587132,0.028951785043183707,-0.03121376370897333,-0.0074470921335231255
HKK26_RS00015,0.006982136963467873,-0.044315246390257135,-0.021479518747710265,-0.0034996108125632227,0.04645772243371685,-0.02064808921065739,0.037308973024653254,-0.01994103266114619,-0.031677202474351976,-0.01078911107012441,0.03901064135053295,0.012149566351873087,-0.01278654620500648,-0.010813762679526377,0.001143067507269938,0.017229660837797523,0.03051713718148016,0.04775323735464272,-0.0023109791127591786,0.01077242729171119
HKK26_RS00020,0.02063667433250678,-0.03220676959356519,-0.042159002029989553,-0.024063464090024543,0.06335172879848977,-0.02588305980566124,0.015742283450626903,0.02561700098614084,-0.02682946987741338,-0.005311053869991526,-0.0031771823625953823,0.027647140499888024,0.008925170187148222,-0.007480184548467033,0.03295363382266722,0.008664376299550906,0.03142843338418294,-0.00017064241632209036,-0.020909389628318835,0.02607827049399687
HKK26_RS00025,0.000697500809426653,-0.020186529640766643,-0.010095142426193084,0.004459771160279597,0.0025387052469491174,-0.021300853561576166,0.03138465656408937,0.0057701920576020286,-0.008754426828298916,-0.024259993440044723,0.0027802805746812596,0.0067808331092810885,-0.004140022030798429,-0.024323616021289983,0.028180885709006377,0.020079019604635266,0.03553783918809554,0.026605248937995412,0.07277576694482076,-0.01646270950930988
HKK26_RS00030,0.0340835321519585,-0.03051701493409073,-0.02851819666148818,0.010224095985955512,-0.002051433824470121,-0.0071971321436171635,0.017215443952160295,-0.010053479915420396,-0.008640402260115941,-0.013648090434768287,0.0041041667932775645,0.02093413389233112,0.018050603076051504,-0.023746555206625795,-0.007170230044116561,0.005051546040947795,0.03771993693352847,0.035232059373721036,0.0001819993806908024,-0.0009529664165467092
HKK26_RS00035,0.03836400469891018,0.0015194506061609445,-0.004745659434286253,0.02068516308707751,-0.0072356423300057315,0.003135148268058341,-0.015232882619635742,-0.03058852250376781,-0.019747166383025337,-0.007627875531631669,0.00522931445637606,0.0126313756446061,-0.009873836756365217,-0.02382664052386897,0.08417872516722795,0.011096531694741953,0.031155309881887236,0.008472510672102418,0.08548163097007537,0.004384111998557569
HKK26_RS00040,0.004479148884779791,-0.012443522005586086,-0.023968765525507058,0.01804378830603396,-0.0008724854567146033,-0.006576693457088232,0.006112274509127771,0.021675588867674612,0.0020053641445421273,0.0019175224568006508,-0.010346528916821333,-0.00011255113303607958,0.03469161374573144,-0.009871640526900417,-0.005499164150973402,-0.022809710863409157,-0.005754229626316138,-0.0018113256229134107,0.0052969908005415425,-0.0038286702798949798
HKK26_RS00045,0.0023781005177328017,-0.026665403318326123,-0.009902061837065969,0.009297978875110184,0.03218918889777763,0.007576598698777735,0.051437627333652536,-0.034687674141795834,0.0029936296281106427,-0.013223040173227318,-0.011766743020146388,-0.0001299953471487866,-0.003338033302615468,-0.027754623748254385,0.03571293062362715,0.014933425732611734,0.021377527767713005,-0.005531002521587376,0.05910480740829595,-0.02300611009839959
HKK26_RS00050,0.017260622077433826,-0.0010816558500249544,-0.02634722150416526,0.021023663716770752,0.0037619483766580487,-0.011366017811328856,0.002584841345105224,-0.005761398589253709,-0.009877461333422306,-0.003845251246209646,-0.0011906272308387542,0.01545299135141397,0.011109183904536905,-0.017589271538642263,0.0018894130859792289,0.030428479690486086,-0.0006863536737803015,-0.0022831463166602625,-0.016152888516682836,-0.015157287453797368
